Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
sec_contact_asym_mig_size	Round_1_Replicate_1	-120305.13	240626.26	620026.93	9487.1	1.1557,0.4705,2.9905,0.2777,0.2788,0.4519,0.1361,5.0435
sec_contact_asym_mig_size	Round_1_Replicate_2	-106527.21	213070.42	572362.75	10031.18	3.1451,1.7402,5.8598,0.4023,2.3613,0.3519,1.4476,0.1862
sec_contact_asym_mig_size	Round_1_Replicate_3	-87656.83	175329.66	505972.35	12508.24	1.0242,1.279,1.9669,1.5736,0.2533,1.586,0.1307,1.1119
sec_contact_asym_mig_size	Round_1_Replicate_4	-287695.07	575406.14	2412468.46	12746.41	1.4125,1.5764,0.1599,5.9667,0.3627,0.1221,0.3699,1.1725
sec_contact_asym_mig_size	Round_1_Replicate_5	-56462.3	112940.6	132083.53	28343.61	0.3311,0.2593,0.4483,0.2821,0.8918,3.1149,4.2918,1.2755
sec_contact_asym_mig_size	Round_1_Replicate_6	-100027.22	200070.44	398023.61	13521.02	6.3348,1.3173,0.3546,0.1622,0.9686,1.2312,3.1891,0.1891
sec_contact_asym_mig_size	Round_1_Replicate_7	-232578.74	465173.48	1131291.37	11889.18	2.5298,0.8044,0.1708,3.437,0.472,0.2097,2.0106,2.1033
sec_contact_asym_mig_size	Round_1_Replicate_8	-57463.1	114942.2	215508.44	19082.35	2.0066,0.3116,1.6333,0.321,3.482,3.4727,0.4735,0.1793
sec_contact_asym_mig_size	Round_1_Replicate_9	-96383.89	192783.78	281808.85	9797.32	0.4997,1.2965,0.7742,3.4659,0.7229,0.2013,0.4992,2.5145
sec_contact_asym_mig_size	Round_1_Replicate_10	-92678.74	185373.48	3441780.13	9775.98	0.1786,0.4211,2.7401,2.1157,0.832,2.1624,2.1523,1.1551
sec_contact_asym_mig_size	Round_2_Replicate_1	-59792.77	119601.54	147618.69	14101.98	0.0843,0.0827,0.3839,0.2647,1.8237,0.9847,7.452,0.5714
sec_contact_asym_mig_size	Round_2_Replicate_2	-75161.55	150339.1	349537.42	47793.94	1.1277,0.3873,0.3499,0.3843,0.8913,7.286,4.3657,3.2684
sec_contact_asym_mig_size	Round_2_Replicate_3	-38600.77	77217.54	86918.12	8283.72	0.8319,0.0628,0.4763,0.1485,2.6883,2.42,16.8967,0.5411
sec_contact_asym_mig_size	Round_2_Replicate_4	-95605.93	191227.86	280899.29	21839.09	0.4287,0.1448,0.5335,0.9214,0.3453,2.2282,17.2258,3.2815
sec_contact_asym_mig_size	Round_2_Replicate_5	-45660.58	91337.16	119573.78	43227.87	1.2593,0.1115,0.4375,0.1533,2.1981,5.4897,3.324,2.9099
sec_contact_asym_mig_size	Round_2_Replicate_6	-82471.36	164958.72	270253.79	10914.03	0.1253,0.6175,1.6686,0.2182,0.4145,1.2575,7.4164,0.746
sec_contact_asym_mig_size	Round_2_Replicate_7	-110094.32	220204.64	377594.58	8447.57	0.9908,0.5397,0.6216,0.1535,0.6431,0.8445,15.6046,0.9162
sec_contact_asym_mig_size	Round_2_Replicate_8	-52640.35	105296.7	109893.93	14650.61	0.3293,0.2369,0.2629,0.6718,3.1259,1.4406,15.4519,1.5945
sec_contact_asym_mig_size	Round_2_Replicate_9	-89383.01	178782.02	263789.06	55022.84	0.6588,0.1051,0.2935,0.2959,0.4244,5.1442,1.6298,4.0918
sec_contact_asym_mig_size	Round_2_Replicate_10	-71328.98	142673.96	211341.37	18904.46	0.598,0.1361,0.8976,0.1387,0.4659,3.1719,4.1983,0.4775
sec_contact_asym_mig_size	Round_2_Replicate_11	-74216.7	148449.4	390788.36	22647.49	0.1114,0.8915,0.5134,0.8577,0.802,4.2254,5.2463,1.2767
sec_contact_asym_mig_size	Round_2_Replicate_12	-151785.5	303587.0	748420.17	61339.34	0.1449,0.3122,0.2038,0.1061,0.4871,1.6167,8.2009,2.6774
sec_contact_asym_mig_size	Round_2_Replicate_13	-100238.69	200493.38	284706.99	8442.68	0.3705,0.6906,0.7184,0.1367,0.6556,1.7571,13.3923,0.3941
sec_contact_asym_mig_size	Round_2_Replicate_14	-127791.62	255599.24	738764.6	21141.19	0.1972,0.2033,1.695,0.106,0.3287,3.696,2.8244,0.3778
sec_contact_asym_mig_size	Round_2_Replicate_15	-58931.66	117879.32	197451.73	21547.83	0.4426,0.514,0.7145,0.5048,0.6464,3.5212,2.6874,0.9036
sec_contact_asym_mig_size	Round_2_Replicate_16	-42771.56	85559.12	120099.69	21909.86	0.1268,0.3965,1.0232,0.1951,1.1539,4.8581,3.3968,2.959
sec_contact_asym_mig_size	Round_2_Replicate_17	-79142.91	158301.82	235019.06	30922.5	0.2758,0.489,0.2909,0.7533,1.7927,3.2011,5.7084,3.0703
sec_contact_asym_mig_size	Round_2_Replicate_18	-128228.81	256473.62	423549.69	25743.96	0.2696,0.4477,0.2241,1.1107,0.8846,3.4502,3.5554,0.938
sec_contact_asym_mig_size	Round_2_Replicate_19	-72371.44	144758.88	1658862.3	22261.4	0.9075,1.0197,0.5203,1.0561,2.2526,6.8959,1.8877,1.0495
sec_contact_asym_mig_size	Round_2_Replicate_20	-94620.08	189256.16	355782.36	32158.6	0.247,0.2331,0.4496,0.0925,1.1729,1.6773,1.7957,0.6299
sec_contact_asym_mig_size	Round_3_Replicate_1	-98941.49	197898.98	386834.88	10247.91	0.3784,0.0156,0.467,0.0749,4.0743,1.3037,22.2888,0.5773
sec_contact_asym_mig_size	Round_3_Replicate_2	-168353.18	336722.36	552903.17	6153.54	2.0494,0.0388,0.1439,0.4143,0.986,3.1045,17.4184,0.2103
sec_contact_asym_mig_size	Round_3_Replicate_3	-29275.74	58567.48	215748.15	6317.28	0.2059,0.0249,1.2033,0.1045,10.1109,10.401,18.796,0.3104
sec_contact_asym_mig_size	Round_3_Replicate_4	-69223.78	138463.56	345520.28	8314.82	0.9014,0.0953,0.2959,0.3446,2.4657,8.1537,13.0061,0.204
sec_contact_asym_mig_size	Round_3_Replicate_5	-125646.31	251308.62	598456.22	6427.73	1.7199,0.0718,1.0615,0.0683,1.1433,1.1347,27.8703,1.2903
sec_contact_asym_mig_size	Round_3_Replicate_6	-58866.54	117749.08	151049.06	6182.23	2.2903,0.0676,1.0362,0.3083,1.9159,0.8775,14.2595,0.3705
sec_contact_asym_mig_size	Round_3_Replicate_7	-145445.48	290906.96	625889.05	4398.61	0.369,0.0175,0.4958,0.0593,2.1093,1.0882,27.8703,0.3005
sec_contact_asym_mig_size	Round_3_Replicate_8	-48041.86	96099.72	131714.73	27933.69	0.4389,0.0332,0.4029,0.2083,3.2683,1.2619,26.2176,1.7642
sec_contact_asym_mig_size	Round_3_Replicate_9	-46191.61	92399.22	101732.39	10444.7	0.7452,0.0539,0.3717,0.1209,1.9604,3.1869,16.0889,0.5656
sec_contact_asym_mig_size	Round_3_Replicate_10	-119540.82	239097.64	333595.61	4406.81	0.3215,0.0746,0.5476,0.0981,1.1078,2.4581,27.8703,0.2139
sec_contact_asym_mig_size	Round_3_Replicate_11	-150093.19	300202.38	604348.44	21654.96	1.8427,0.0279,0.1995,0.0589,0.7503,2.118,24.4097,1.0506
sec_contact_asym_mig_size	Round_3_Replicate_12	-34724.21	69464.42	123010.34	17680.01	2.624,0.0947,0.2403,0.444,8.0426,3.276,6.8808,0.5536
sec_contact_asym_mig_size	Round_3_Replicate_13	-35934.98	71885.96	265461.98	15139.32	1.0946,0.0189,0.2995,0.4287,9.2006,4.8523,8.4804,0.6067
sec_contact_asym_mig_size	Round_3_Replicate_14	-37380.52	74777.04	82472.03	53459.82	0.2293,0.1139,0.2048,0.0923,3.9131,8.2373,13.3472,1.0521
