Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
sec_contact_asym_mig_size	Round_3_Replicate_7	-58794.52	117605.04	161146.78	21798.46	3.2846,1.046,0.2958,0.7444,3.6702,0.7446,0.5297,0.1187
sec_contact_asym_mig_size	Round_3_Replicate_8	-73776.51	147569.02	1004392.91	19005.49	2.7492,0.2954,1.2382,1.0751,3.5623,3.2038,0.2538,0.1934
sec_contact_asym_mig_size	Round_3_Replicate_9	-69773.01	139562.02	203189.84	24611.45	1.1378,0.3882,1.5453,0.2196,4.618,0.4896,0.137,0.2012
sec_contact_asym_mig_size	Round_3_Replicate_10	-54487.98	108991.96	146249.07	41556.48	1.0427,1.2627,0.3135,0.173,2.4991,2.2204,0.2215,0.5394
sec_contact_asym_mig_size	Round_3_Replicate_11	-48180.41	96376.82	131618.46	23452.03	1.9597,1.7721,0.7146,0.4035,2.8995,0.7231,0.4995,0.5551
sec_contact_asym_mig_size	Round_3_Replicate_12	-60429.58	120875.16	192472.34	33052.27	1.1685,0.3055,0.2654,0.1374,9.6824,1.2023,0.9458,0.1086
sec_contact_asym_mig_size	Round_3_Replicate_13	-113123.34	226262.68	526888.52	10547.09	4.8526,1.9061,3.1576,0.3883,1.4431,0.5032,1.0335,0.1407
sec_contact_asym_mig_size	Round_3_Replicate_14	-98526.22	197068.44	373198.48	17598.73	3.3881,2.0358,0.2748,0.4108,1.2607,0.7755,1.3388,0.146
sec_contact_asym_mig_size	Round_3_Replicate_15	-43232.72	86481.44	163651.74	22589.88	2.1182,0.9984,0.8861,0.1215,7.1952,7.2944,0.4906,0.1261
sec_contact_asym_mig_size	Round_3_Replicate_16	-61346.33	122708.66	304408.8	39630.84	1.01,0.308,0.6945,0.299,8.1656,0.9091,0.0955,0.7539
sec_contact_asym_mig_size	Round_3_Replicate_17	-43562.78	87141.56	175282.52	33782.4	7.1696,0.3177,0.2878,0.3935,5.5387,4.7557,0.1045,0.2981
sec_contact_asym_mig_size	Round_3_Replicate_18	-104949.87	209915.74	476252.25	18549.4	1.7031,0.3172,1.8269,0.2033,1.7345,0.668,0.6609,0.4031
sec_contact_asym_mig_size	Round_3_Replicate_19	-53041.83	106099.66	144546.89	36873.49	5.9753,0.2614,0.2359,0.1687,3.2187,1.8479,0.1366,0.1194
sec_contact_asym_mig_size	Round_3_Replicate_20	-57001.8	114019.6	276386.66	22675.92	3.0666,0.3026,1.3028,0.4645,2.8573,2.7209,0.0843,0.0991
