Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, TB, TF)
three_epoch	Round_1_Replicate_1	-190221.38	380450.76	357208.36	465172.77	0.2513,0.9093,1.0772,0.6621
three_epoch	Round_1_Replicate_2	-93739.54	187487.08	167098.16	580401.04	0.2324,0.5578,0.161,1.4939
three_epoch	Round_1_Replicate_3	-434248.74	868505.48	902294.56	269590.84	0.3418,2.8513,0.3506,0.3589
three_epoch	Round_1_Replicate_4	-116077.06	232162.12	207983.51	108774.47	3.6308,3.2353,0.2709,5.5593
three_epoch	Round_1_Replicate_5	-313296.31	626600.62	656735.11	132340.23	0.3549,3.8427,0.5505,1.9443
three_epoch	Round_1_Replicate_6	-96143.88	192295.76	171412.69	269127.22	1.0468,1.2152,0.9527,3.6154
three_epoch	Round_1_Replicate_7	-33282.88	66573.76	66009.26	1135389.06	0.6431,0.1436,1.1348,0.1381
three_epoch	Round_1_Replicate_8	-68765.61	137539.22	123478.67	397263.02	2.7711,0.7153,1.1681,1.25
three_epoch	Round_1_Replicate_9	-172043.01	344094.02	324364.22	171454.94	2.8587,2.1129,1.1162,0.1781
three_epoch	Round_1_Replicate_10	-94842.01	189692.02	169073.98	2114805.94	0.2142,0.1538,4.5485,1.1306
three_epoch	Round_1_Replicate_11	-9370.35	18748.7	18147.9	133444.59	5.1176,0.5264,4.7989,0.1139
three_epoch	Round_1_Replicate_12	-106612.1	213232.2	190311.58	304276.36	1.0384,1.1378,2.3045,0.181
three_epoch	Round_1_Replicate_13	-48404.91	96817.82	88204.23	229391.02	1.8142,1.0306,7.0417,0.3514
three_epoch	Round_1_Replicate_14	-278638.97	557285.94	560386.99	152195.51	0.7916,3.2534,2.4176,1.3763
three_epoch	Round_1_Replicate_15	-94882.35	189772.7	169146.36	2053875.02	0.2099,0.1584,0.4855,2.7435
three_epoch	Round_2_Replicate_1	-8880.96	17769.92	17374.45	165994.66	2.6965,0.2425,13.3445,0.0319
three_epoch	Round_2_Replicate_2	-38234.68	76477.36	71269.69	231520.12	3.0584,0.8971,2.2383,0.4347
three_epoch	Round_2_Replicate_3	-59476.2	118960.4	106283.93	154914.15	2.7567,1.5312,3.7766,0.2373
three_epoch	Round_2_Replicate_4	-10569.94	21147.88	20263.3	129906.15	16.9329,0.2236,2.891,0.0574
three_epoch	Round_2_Replicate_5	-9679.62	19367.24	18074.85	123988.7	10.5906,0.6442,3.7169,0.1859
three_epoch	Round_2_Replicate_6	-33506.7	67021.4	66683.6	958236.71	16.5903,0.1654,2.8994,0.4212
