Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, TB, TF)
three_epoch	Round_1_Replicate_1	-168305.42	336618.84	310956.43	104230.01	2.6306,3.875,0.2277,3.4343
three_epoch	Round_1_Replicate_2	-125239.44	250486.88	225285.99	166720.89	0.3838,2.1723,2.0584,3.6559
three_epoch	Round_1_Replicate_3	-225726.7	451461.4	437361.6	355244.49	0.1673,1.2624,0.8931,0.9437
three_epoch	Round_1_Replicate_4	-93090.17	186188.34	165936.4	501389.84	5.8474,0.6439,1.619,3.4354
three_epoch	Round_1_Replicate_5	-58049.04	116106.08	105374.93	360410.34	1.7065,0.7281,1.5459,0.7092
three_epoch	Round_1_Replicate_6	-94882.34	189772.68	169146.35	1206317.38	4.172,0.2697,0.3347,4.7658
three_epoch	Round_1_Replicate_7	-109071.8	218151.6	195019.33	204082.84	3.1689,1.6753,0.7034,1.0546
three_epoch	Round_1_Replicate_8	-94391.68	188791.36	168266.4	1486737.07	0.6955,0.2184,3.1216,1.4347
three_epoch	Round_1_Replicate_9	-358356.71	716721.42	756622.2	117615.25	1.292,4.8529,0.6736,1.2867
three_epoch	Round_1_Replicate_10	-239103.62	478215.24	459808.88	110042.48	3.881,4.7862,2.3394,0.1668
three_epoch	Round_1_Replicate_11	-171579.25	343166.5	309978.55	191516.43	1.5137,2.5391,3.2121,0.2066
three_epoch	Round_1_Replicate_12	-94881.04	189770.08	169144.0	1169332.08	0.9321,0.2782,0.6819,3.5111
three_epoch	Round_1_Replicate_13	-196756.57	393521.14	372763.91	105940.38	4.36,3.9951,1.9943,0.9036
three_epoch	Round_1_Replicate_14	-77882.63	155773.26	139151.17	464464.33	3.284,0.6458,0.3004,1.2337
three_epoch	Round_1_Replicate_15	-290278.52	580565.04	566356.66	529553.62	0.3644,1.0662,2.4454,0.19
three_epoch	Round_2_Replicate_1	-36603.0	73214.0	70871.92	357525.22	5.6622,0.5389,3.2601,0.8088
three_epoch	Round_2_Replicate_2	-94720.3	189448.6	168855.64	1150818.84	3.6809,0.2825,1.7681,2.4616
three_epoch	Round_2_Replicate_3	-28457.83	56923.66	55695.95	459157.57	2.0262,0.3475,0.4759,0.1785
three_epoch	Round_2_Replicate_4	-39327.79	78663.58	75014.78	681811.89	1.2937,0.3036,0.6491,0.3452
three_epoch	Round_2_Replicate_5	-63373.6	126755.2	113424.25	244283.27	1.9756,1.0969,1.6559,0.4003
three_epoch	Round_2_Replicate_6	-270699.1	541406.2	523814.71	239282.54	0.7194,2.2395,0.8266,0.4714
three_epoch	Round_2_Replicate_7	-166903.51	333815.02	314697.01	188366.84	3.9768,1.9157,0.6125,0.3199
three_epoch	Round_2_Replicate_8	-14180.72	28369.44	27589.37	183814.5	7.7793,0.5688,2.4959,0.2156
three_epoch	Round_2_Replicate_9	-32962.64	65933.28	65759.81	468791.24	4.9545,0.3239,1.4768,0.3617
three_epoch	Round_2_Replicate_10	-83571.66	167151.32	149076.58	228811.51	2.6387,1.3503,2.0867,2.1912
three_epoch	Round_2_Replicate_11	-28314.98	56637.96	53336.51	153333.14	3.6383,1.1179,5.0148,0.3452
three_epoch	Round_2_Replicate_12	-114865.99	229739.98	205718.63	297592.02	0.6457,1.1779,0.9523,1.4902
three_epoch	Round_2_Replicate_13	-257180.48	514368.96	504758.65	294355.61	0.4564,1.6538,1.0017,0.6249
three_epoch	Round_2_Replicate_14	-25019.68	50047.36	47151.06	219168.84	5.2009,0.731,1.827,0.2983
three_epoch	Round_2_Replicate_15	-129592.8	259193.6	233599.43	154890.49	1.5033,2.3697,1.6987,2.2176
three_epoch	Round_2_Replicate_16	-153207.68	306423.36	278003.15	214692.21	1.427,1.898,1.471,0.3562
three_epoch	Round_2_Replicate_17	-16976.27	33960.54	33584.96	287827.24	6.7459,0.3634,1.2529,0.1605
three_epoch	Round_2_Replicate_18	-129801.98	259611.96	234556.93	198893.69	5.9432,1.8193,0.4312,0.8456
three_epoch	Round_2_Replicate_19	-78364.78	156737.56	139988.22	670062.3	1.5791,0.4488,5.6174,1.3508
three_epoch	Round_2_Replicate_20	-61116.46	122240.92	109056.24	222717.41	2.4904,1.1509,1.5034,0.3492
three_epoch	Round_2_Replicate_21	-113387.23	226782.46	203021.78	146430.71	3.7638,2.3729,1.52,1.5652
three_epoch	Round_2_Replicate_22	-99463.48	198934.96	177403.39	478796.93	0.515,0.6923,3.457,1.5347
three_epoch	Round_2_Replicate_23	-42890.27	85788.54	80104.11	663336.53	0.5406,0.3345,0.5516,0.1605
three_epoch	Round_2_Replicate_24	-121682.68	243373.36	218559.06	209391.59	2.377,1.7091,0.4733,1.1475
three_epoch	Round_2_Replicate_25	-44415.36	88838.72	83045.62	1166543.88	0.5211,0.194,2.0794,0.1884
three_epoch	Round_2_Replicate_26	-82692.92	165393.84	147536.52	1018625.09	1.0406,0.302,5.9188,1.0103
three_epoch	Round_2_Replicate_27	-95482.85	190973.7	170224.46	545650.98	0.5363,0.5977,2.4465,1.927
