Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, TB, TF)
three_epoch	Round_1_Replicate_1	-72197.63	144403.26	129316.11	399648.71	0.263,0.5429,0.7513,0.7254
three_epoch	Round_1_Replicate_2	-86074.61	172157.22	155966.82	71655.52	0.2896,3.2333,1.1099,4.8361
three_epoch	Round_1_Replicate_3	-197518.28	395044.56	418698.98	89570.94	0.3364,3.4965,3.8091,1.8767
three_epoch	Round_1_Replicate_4	-77838.35	155684.7	139863.08	173386.63	1.5047,1.2971,0.1252,0.2998
three_epoch	Round_1_Replicate_5	-174450.96	348909.92	327801.09	145427.56	0.8769,2.8946,0.297,0.2406
three_epoch	Round_1_Replicate_6	-97854.61	195717.22	179492.98	118358.61	0.6129,2.0539,0.6846,1.8259
three_epoch	Round_1_Replicate_7	-205761.36	411530.72	399349.56	295177.29	0.4271,1.4926,8.4285,0.1373
three_epoch	Round_1_Replicate_8	-58809.94	117627.88	104715.62	859177.61	0.4746,0.2332,1.3019,3.0856
three_epoch	Round_1_Replicate_9	-371027.92	742063.84	812712.87	158346.37	0.4115,4.6587,0.5808,0.2912
three_epoch	Round_1_Replicate_10	-144165.62	288339.24	268160.2	67968.45	2.7607,5.1628,3.3981,0.3999
three_epoch	Round_1_Replicate_11	-57675.62	115359.24	102679.27	785742.84	0.6551,0.253,2.0847,1.2534
three_epoch	Round_1_Replicate_12	-58810.15	117628.3	104716.0	1044843.43	0.4991,0.1918,2.2123,3.5564
three_epoch	Round_1_Replicate_13	-76116.88	152241.76	136722.05	71446.9	0.2085,3.098,0.1322,5.339
three_epoch	Round_1_Replicate_14	-82712.2	165432.4	149383.81	36120.75	4.0687,6.3242,5.9117,5.9293
three_epoch	Round_1_Replicate_15	-58810.16	117628.32	104716.02	389070.12	0.1455,0.515,0.9636,8.1487
three_epoch	Round_2_Replicate_1	-131450.96	262909.92	249855.12	295761.25	0.3685,0.9334,2.6189,0.3976
three_epoch	Round_2_Replicate_2	-31473.72	62955.44	57498.3	256703.13	1.238,0.5891,1.1819,0.3976
three_epoch	Round_2_Replicate_3	-62623.94	125255.88	111617.03	463636.47	0.2695,0.443,3.8019,1.0491
three_epoch	Round_2_Replicate_4	-58546.57	117101.14	104242.15	1322549.68	0.4755,0.1512,6.017,1.0123
three_epoch	Round_2_Replicate_5	-58809.59	117627.18	104714.99	1548843.83	0.2807,0.1294,1.1232,1.5963
three_epoch	Round_2_Replicate_6	-59306.11	118620.22	105608.69	730667.25	0.2628,0.2751,8.5178,0.6052
three_epoch	Round_2_Replicate_7	-58798.42	117604.84	104694.91	1046395.08	0.2965,0.1915,3.4835,1.6179
three_epoch	Round_2_Replicate_8	-58034.09	116076.18	103322.0	531977.35	1.2505,0.3747,2.9682,2.122
three_epoch	Round_2_Replicate_9	-57632.48	115272.96	102601.97	1011679.34	0.505,0.1965,7.6531,0.9565
three_epoch	Round_2_Replicate_10	-51505.47	103018.94	91730.92	816229.06	2.9888,0.2327,2.5813,1.0718
three_epoch	Round_2_Replicate_11	-29554.05	59116.1	54452.59	320632.74	1.0259,0.4562,4.6066,0.3716
three_epoch	Round_2_Replicate_12	-51142.73	102293.46	91093.98	678663.1	1.2466,0.279,2.2454,1.0163
three_epoch	Round_2_Replicate_13	-36975.03	73958.06	66798.54	1568172.34	2.0871,0.1047,0.6678,0.371
three_epoch	Round_2_Replicate_14	-41332.5	82673.0	74148.57	753583.4	0.4987,0.2293,4.9925,0.3649
three_epoch	Round_2_Replicate_15	-47746.49	95500.98	85079.28	182189.45	1.3992,1.0047,1.2349,0.5203
three_epoch	Round_2_Replicate_16	-58810.15	117628.3	104716.0	2860656.59	0.1867,0.07,7.6492,2.4907
three_epoch	Round_2_Replicate_17	-58810.15	117628.3	104716.0	1276103.45	0.2,0.157,4.4297,4.8569
three_epoch	Round_2_Replicate_18	-60198.96	120405.92	107219.3	246918.13	0.2526,0.819,0.5515,3.0759
three_epoch	Round_2_Replicate_19	-55287.62	110583.24	98416.33	362065.21	0.8114,0.5399,4.5185,1.4026
