Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, TB, TF)
three_epoch	Round_4_Replicate_71	-4152.43	8312.86	8022.95	250445.68	2.1987,0.1044,0.3178,0.0211
three_epoch	Round_4_Replicate_72	-2271.69	4551.38	4325.25	223417.82	3.703,0.0492,0.4979,0.0111
three_epoch	Round_4_Replicate_73	-3197.2	6402.4	6040.39	189127.67	4.5376,0.1372,0.8097,0.0346
three_epoch	Round_4_Replicate_74	-4748.23	9504.46	9176.24	261537.97	1.5709,0.1047,0.2328,0.0178
three_epoch	Round_4_Replicate_75	-3128.58	6265.16	5979.78	221694.06	4.7719,0.1014,0.4822,0.0253
three_epoch	Round_4_Replicate_76	-3706.09	7420.18	7141.79	255144.56	1.4895,0.0644,0.3339,0.01
three_epoch	Round_4_Replicate_77	-2626.47	5260.94	4934.98	196263.74	3.7316,0.0913,0.7393,0.0205
three_epoch	Round_4_Replicate_78	-2898.83	5805.66	5517.31	228663.52	2.8313,0.0746,0.4525,0.0153
three_epoch	Round_4_Replicate_79	-3029.26	6066.52	5819.06	222051.28	1.8176,0.0633,0.7676,0.0108
three_epoch	Round_4_Replicate_80	-3789.01	7586.02	7236.52	240882.03	2.3422,0.0981,0.3483,0.0189
three_epoch	Round_4_Replicate_81	-3114.92	6237.84	5939.36	242446.09	3.8954,0.0684,0.2806,0.0141
three_epoch	Round_4_Replicate_82	-4946.8	9901.6	9627.64	262097.66	1.4147,0.1095,0.3589,0.0195
three_epoch	Round_4_Replicate_83	-1523.65	3055.3	2821.82	179873.01	6.5682,0.0392,0.8832,0.0101
three_epoch	Round_4_Replicate_84	-1995.03	3998.06	3735.62	187578.26	4.8308,0.0658,0.8224,0.0159
three_epoch	Round_4_Replicate_85	-4416.9	8841.8	8501.35	253569.83	2.4574,0.1099,0.24,0.0217
three_epoch	Round_4_Replicate_86	-3902.35	7812.7	7480.74	225256.43	3.6421,0.1312,0.4786,0.0319
three_epoch	Round_4_Replicate_87	-3014.59	6037.18	5776.77	227823.69	1.7913,0.0608,0.656,0.0102
three_epoch	Round_4_Replicate_88	-4055.54	8119.08	7822.46	244334.61	5.2515,0.1144,0.2968,0.028
three_epoch	Round_4_Replicate_89	-4645.82	9299.64	8986.5	239249.34	1.3932,0.1114,0.7898,0.0178
three_epoch	Round_4_Replicate_90	-3043.62	6095.24	5817.12	242582.85	2.5813,0.0632,0.3279,0.0121
three_epoch	Round_4_Replicate_91	-2300.72	4609.44	4363.78	199165.0	2.9354,0.0642,0.8196,0.0134
three_epoch	Round_4_Replicate_92	-2038.52	4085.04	3874.72	189958.89	4.2803,0.0588,0.8784,0.0144
three_epoch	Round_4_Replicate_93	-3325.62	6659.24	6298.18	205507.1	3.1049,0.1196,0.6818,0.0263
three_epoch	Round_4_Replicate_94	-2700.24	5408.48	5157.59	191442.1	4.9975,0.107,0.8231,0.0284
three_epoch	Round_4_Replicate_95	-4566.17	9140.34	8851.65	254934.08	1.3801,0.1007,0.462,0.0167
three_epoch	Round_4_Replicate_96	-2570.89	5149.78	4853.79	232321.68	4.7363,0.0505,0.3377,0.0107
three_epoch	Round_4_Replicate_97	-2442.69	4893.38	4626.38	233598.32	4.9429,0.0469,0.3415,0.0102
three_epoch	Round_4_Replicate_98	-3091.32	6190.64	5904.73	230208.81	4.4931,0.089,0.4003,0.021
three_epoch	Round_4_Replicate_99	-2451.26	4910.52	4673.9	217991.14	2.4625,0.054,0.6412,0.0106
three_epoch	Round_4_Replicate_100	-3722.28	7452.56	7020.71	196444.05	4.0102,0.1518,0.7228,0.0369
