Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, TB, TF)
three_epoch	Round_1_Replicate_1	-86299.58	172607.16	153876.36	1075415.12	4.7688,0.2911,0.513,1.2118
three_epoch	Round_1_Replicate_2	-33831.04	67670.08	67773.01	1054572.35	2.8678,0.1338,0.8945,0.2208
three_epoch	Round_1_Replicate_3	-118451.08	236910.16	212430.71	119980.97	2.0469,2.9566,4.5705,3.0229
three_epoch	Round_1_Replicate_4	-102263.98	204535.96	182487.91	434521.34	0.5578,0.7713,0.8359,0.9385
three_epoch	Round_1_Replicate_5	-124666.94	249341.88	224195.71	141416.56	0.1308,2.5566,0.2899,4.6069
three_epoch	Round_1_Replicate_6	-93131.13	186270.26	166009.63	1145767.71	0.5255,0.2818,6.2733,1.2255
three_epoch	Round_1_Replicate_7	-24235.45	48478.9	46028.54	171542.19	3.5348,0.8996,3.9633,0.2711
three_epoch	Round_1_Replicate_8	-982150.2	1964308.4	3836522.69	200848.59	0.1207,4.3624,2.1285,0.7692
three_epoch	Round_1_Replicate_9	-738484.73	1476977.46	2395067.05	122779.18	0.1862,5.9103,1.5965,1.5064
three_epoch	Round_1_Replicate_10	-112648.72	225305.44	201593.24	96177.27	6.2469,3.6165,2.111,4.163
three_epoch	Round_1_Replicate_11	-186137.63	372283.26	341236.57	125607.38	2.3338,3.7088,3.8405,0.4835
three_epoch	Round_1_Replicate_12	-95874.14	191756.28	170927.63	199145.89	0.2373,1.6404,4.1811,8.0891
three_epoch	Round_1_Replicate_13	-86632.17	173272.34	154463.26	1058805.6	0.4162,0.2962,0.9716,0.7
three_epoch	Round_1_Replicate_14	-356705.89	713419.78	741820.96	158948.03	0.5188,3.6875,0.1798,0.9191
three_epoch	Round_1_Replicate_15	-115295.3	230598.6	206521.81	227409.25	0.3147,1.5435,0.4363,2.8248
three_epoch	Round_2_Replicate_1	-27310.3	54628.6	54377.92	181342.48	8.0634,0.7466,3.6398,0.4635
three_epoch	Round_2_Replicate_2	-13764.88	27537.76	26784.64	127339.36	3.5901,0.6896,13.6293,0.1169
three_epoch	Round_2_Replicate_3	-33746.78	67501.56	60702.73	116002.1	9.4057,1.4639,3.4304,0.4313
three_epoch	Round_2_Replicate_4	-40469.66	80947.32	73313.27	184782.1	3.1073,0.8083,2.0366,0.1131
three_epoch	Round_2_Replicate_5	-140354.75	280717.5	255645.57	133351.45	3.1987,2.7653,2.2558,0.5343
three_epoch	Round_2_Replicate_6	-15797.02	31602.04	29951.48	89667.14	5.0092,1.0891,13.8702,0.1577
three_epoch	Round_2_Replicate_7	-18167.71	36343.42	34672.02	130827.54	4.0209,0.9361,6.5773,0.2022
three_epoch	Round_2_Replicate_8	-31703.43	63414.86	63313.06	292872.67	8.3898,0.4935,2.2818,0.4456
three_epoch	Round_2_Replicate_9	-21650.85	43309.7	40434.68	46869.54	11.6545,2.9728,17.4228,0.6429
three_epoch	Round_2_Replicate_10	-23021.37	46050.74	42392.65	65136.63	13.8689,2.2852,8.5516,0.7026
three_epoch	Round_2_Replicate_11	-21941.65	43891.3	43639.69	54553.34	16.3587,2.1253,15.3209,0.9042
three_epoch	Round_2_Replicate_12	-30389.91	60787.82	59727.23	226768.99	2.6876,0.7185,5.841,0.3801
three_epoch	Round_2_Replicate_13	-33463.56	66935.12	66761.66	453672.94	14.6294,0.3384,4.4378,0.6787
three_epoch	Round_2_Replicate_14	-81646.09	163300.18	145522.47	312050.84	1.0986,0.965,2.5375,0.1938
three_epoch	Round_2_Replicate_15	-33332.82	66673.64	66561.89	606999.84	2.4497,0.2485,1.8452,0.3125
three_epoch	Round_2_Replicate_16	-34693.23	69394.46	67663.55	723239.42	0.9234,0.2525,9.4089,0.2075
three_epoch	Round_2_Replicate_17	-45731.46	91470.92	83183.73	98495.94	7.3674,2.3209,5.6774,1.0277
three_epoch	Round_2_Replicate_18	-9423.56	18855.12	17960.77	209496.82	3.6576,0.3538,2.2082,0.0789
three_epoch	Round_2_Replicate_19	-34015.75	68039.5	68199.3	257332.68	4.1512,0.4865,5.4037,0.4286
three_epoch	Round_2_Replicate_20	-59549.6	119107.2	107935.16	695816.72	1.1093,0.382,10.2664,0.6627
three_epoch	Round_2_Replicate_21	-148981.44	297970.88	265616.09	182681.67	1.6221,2.7861,8.9669,0.1228
three_epoch	Round_2_Replicate_22	-204741.81	409491.62	372653.64	216009.72	1.4496,2.7618,1.0788,0.1321
three_epoch	Round_2_Replicate_23	-33889.51	67787.02	66936.86	448723.34	2.1539,0.3785,7.9825,0.4584
three_epoch	Round_2_Replicate_24	-33501.97	67011.94	66451.17	403217.51	3.193,0.4057,3.3998,0.4929
three_epoch	Round_2_Replicate_25	-115356.02	230720.04	205031.3	243800.14	1.2887,1.7312,17.0469,0.0535
three_epoch	Round_2_Replicate_26	-49196.06	98400.12	87838.5	183180.83	10.7403,1.2007,1.4167,0.4668
three_epoch	Round_2_Replicate_27	-94161.8	188331.6	167839.5	160628.38	2.1409,2.0153,5.0373,0.8245
three_epoch	Round_2_Replicate_28	-21158.25	42324.5	42137.34	127270.97	7.335,0.8507,5.8109,0.3576
