Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1m, nu2m, nu1f, nu2f, T1, T2)
bottle_schange	Round_3_Replicate_48	-806967.71	1613951.42	1869687.13	298284.87	0.2817,3.9383,1.5995,0.7988,2.6099,0.3213,0.1972,0.096
bottle_schange	Round_3_Replicate_49	-309252.73	618521.46	596929.03	384781.69	0.4812,1.7594,0.5502,0.2614,1.4777,0.0181,0.1513,0.0137
bottle_schange	Round_3_Replicate_50	-390851.66	781719.32	735588.04	439469.21	0.1335,0.579,0.5651,3.1286,14.062,0.0288,0.0571,0.0352
bottle_schange	Round_4_Replicate_1	-399775.14	799566.28	813813.43	324420.46	0.9024,1.496,0.4616,0.1618,1.7293,0.0246,0.2307,0.0131
bottle_schange	Round_4_Replicate_2	-327697.66	655411.32	634889.71	373583.04	0.5095,1.655,0.3173,0.2899,2.0513,0.0174,0.1736,0.0114
bottle_schange	Round_4_Replicate_3	-249082.23	498180.46	474086.3	438897.09	0.2934,2.7709,0.4503,0.2196,0.9088,0.0184,0.079,0.0179
bottle_schange	Round_4_Replicate_4	-290626.12	581268.24	560990.64	427313.57	0.3089,1.9582,0.8312,0.2744,1.8868,0.0189,0.1007,0.0204
bottle_schange	Round_4_Replicate_5	-399072.75	798161.5	823317.66	348435.11	0.9552,3.1422,0.6856,0.146,0.9698,0.0184,0.1449,0.0164
bottle_schange	Round_4_Replicate_6	-355591.21	711198.42	726266.52	352536.92	0.9465,1.0919,0.2392,0.4371,1.0543,0.0171,0.1733,0.0169
bottle_schange	Round_4_Replicate_7	-398016.11	796048.22	878009.0	367428.4	0.7299,2.6093,0.6792,0.4183,1.5762,0.017,0.097,0.0194
bottle_schange	Round_4_Replicate_8	-314951.3	629918.6	598801.81	398000.56	0.3887,2.8368,1.0401,0.332,3.0172,0.0215,0.1004,0.0201
bottle_schange	Round_4_Replicate_9	-311077.23	622170.46	602942.23	381878.02	0.5123,2.4944,0.4799,0.2876,2.4795,0.0144,0.1525,0.0138
bottle_schange	Round_4_Replicate_10	-365832.19	731680.38	735097.71	355741.35	0.7905,1.1512,0.6696,0.3565,1.0608,0.0162,0.1663,0.0162
bottle_schange	Round_4_Replicate_11	-322382.57	644781.14	646847.22	372662.27	0.5509,2.6516,0.3054,0.166,2.6307,0.0135,0.1935,0.0111
bottle_schange	Round_4_Replicate_12	-332683.56	665383.12	684143.43	364996.54	0.9386,0.9381,0.2369,0.2618,0.8436,0.0486,0.1575,0.0307
bottle_schange	Round_4_Replicate_13	-284745.45	569506.9	547502.64	410003.24	0.4017,2.4043,0.87,0.1102,1.6402,0.0186,0.1185,0.0141
bottle_schange	Round_4_Replicate_14	-317435.19	634886.38	611359.98	383691.93	0.4972,2.7361,0.5503,0.468,2.266,0.0178,0.1353,0.0199
bottle_schange	Round_4_Replicate_15	-290893.28	581802.56	570424.59	396684.49	0.5089,1.9326,0.4558,0.202,1.4268,0.0114,0.1335,0.0121
bottle_schange	Round_4_Replicate_16	-253727.19	507470.38	480466.19	434274.63	0.3077,3.2059,0.7666,0.1829,1.8084,0.0113,0.0912,0.0116
bottle_schange	Round_4_Replicate_17	-279757.49	559530.98	538363.33	405664.62	0.4275,0.9728,0.3079,0.4201,1.6577,0.0146,0.1218,0.0125
bottle_schange	Round_4_Replicate_18	-323668.45	647352.9	635936.13	379753.2	0.5368,1.1549,0.769,0.3676,1.3969,0.0188,0.1528,0.0166
bottle_schange	Round_4_Replicate_19	-314161.19	628338.38	613103.67	380845.44	0.5592,1.4976,0.296,0.1977,2.3146,0.0255,0.1371,0.0177
bottle_schange	Round_4_Replicate_20	-464136.77	928289.54	1025201.19	359104.36	0.9515,2.4192,0.735,0.1655,1.5101,0.0215,0.0876,0.0205
bottle_schange	Round_4_Replicate_21	-251252.33	502520.66	486920.51	426687.99	0.3762,1.1212,0.4332,0.2861,0.7709,0.0109,0.0982,0.0114
bottle_schange	Round_4_Replicate_22	-344415.63	688847.26	683213.61	359533.27	0.6924,2.7703,0.8868,0.2136,1.4979,0.0109,0.1782,0.0118
bottle_schange	Round_4_Replicate_23	-305240.34	610496.68	582900.28	392081.0	0.4413,1.6798,0.979,0.2982,2.8568,0.0137,0.1363,0.0117
bottle_schange	Round_4_Replicate_24	-265673.57	531363.14	511941.0	429236.31	0.3273,2.8485,0.4721,0.1155,1.1089,0.0223,0.1081,0.0159
bottle_schange	Round_4_Replicate_25	-266396.37	532808.74	514634.14	421638.28	0.374,1.5027,0.6622,0.245,0.9518,0.0141,0.1062,0.0144
bottle_schange	Round_4_Replicate_26	-288931.82	577879.64	560464.86	398284.86	0.4585,1.3334,0.6639,0.232,0.7699,0.0216,0.1307,0.0163
bottle_schange	Round_4_Replicate_27	-341702.16	683420.32	740758.67	398028.04	0.4319,2.5234,0.7673,0.1757,1.2416,0.0167,0.1877,0.0159
