Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1m, nu2m, nu1f, nu2f, T1, T2)
bottle_schange	Round_1_Replicate_1	-6119216.08	12238448.16	18837804235.57	80616.04	0.6768,1.499,0.4126,1.9429,3.4077,2.5547,0.1767,5.974
bottle_schange	Round_1_Replicate_2	-2178913.67	4357843.34	27974737.79	153640.14	6.0613,0.5876,0.2503,0.4205,7.9816,0.9254,1.324,0.1283
bottle_schange	Round_1_Replicate_3	-2634820.25	5269656.5	56811544.22	111335.47	2.3462,1.2558,8.1818,0.5218,2.4035,2.0057,1.685,0.9012
bottle_schange	Round_1_Replicate_4	-6937919.28	13875854.56	52922639052.04	124070.7	2.3586,0.2931,1.2493,2.023,4.3092,7.6308,2.6987,0.2874
bottle_schange	Round_1_Replicate_5	-10345307.62	20690631.24	157213902050735.88	97162.86	1.448,0.2796,5.0942,0.5269,2.491,1.5111,3.7327,1.7477
bottle_schange	Round_1_Replicate_6	-1317226.46	2634468.92	5396247.59	221068.75	1.3528,0.3138,0.5882,0.38,5.2918,2.0244,0.2905,0.2455
bottle_schange	Round_1_Replicate_7	-2755465.13	5510946.26	3.5448502574761786e+17	78790.19	0.4662,0.1777,0.5879,1.375,1.9152,0.5011,4.48,3.1799
bottle_schange	Round_1_Replicate_8	-759988.09	1519992.18	2528343.89	289406.2	0.3199,1.6083,4.0541,3.4784,0.4379,0.3867,0.1493,0.3991
bottle_schange	Round_1_Replicate_9	-5309828.28	10619672.56	2007201148.49	394666.73	1.669,0.2162,0.3034,0.1355,0.2393,0.511,0.7869,0.5461
bottle_schange	Round_1_Replicate_10	-3187309.12	6374634.24	2041568210843799.2	63562.03	0.1429,0.6645,0.7888,0.6624,2.4814,5.2959,3.7834,2.3316
bottle_schange	Round_1_Replicate_11	-12445567.88	24891151.76	3041512041437046.0	175347.86	0.2232,0.1569,0.5481,6.1127,4.3988,5.5965,2.0074,0.389
bottle_schange	Round_1_Replicate_12	-6767151.94	13534319.88	22363461791.04	143945.47	1.0463,0.7829,0.1461,8.1485,0.9335,2.5319,3.2987,0.7404
bottle_schange	Round_1_Replicate_13	-7094559.15	14189134.3	40280330865.97	101289.57	4.9265,0.2462,7.4138,0.2294,6.3309,0.1921,0.3136,1.7773
bottle_schange	Round_1_Replicate_14	-5405242.79	10810501.58	4974436078.46	103835.29	4.2379,4.0473,4.9175,0.2885,2.0206,1.6422,0.6974,3.8929
bottle_schange	Round_1_Replicate_15	-1262779.32	2525574.64	3944917.19	108522.55	3.4521,5.9464,4.0949,2.4484,1.4306,3.5729,1.2333,0.1514
bottle_schange	Round_2_Replicate_1	-957967.45	1915950.9	2668270.45	308434.95	0.6951,1.5214,1.0332,8.9342,0.1382,0.4644,0.3125,0.178
bottle_schange	Round_2_Replicate_2	-1767126.04	3534268.08	8027737.45	257850.2	0.2684,1.9411,1.7186,9.7599,0.1577,1.5342,0.3004,0.2917
bottle_schange	Round_2_Replicate_3	-716930.59	1433877.18	1499803.17	303744.78	0.2036,1.2423,10.7454,13.3034,1.2966,0.265,0.0693,0.1056
bottle_schange	Round_2_Replicate_4	-2309241.17	4618498.34	18900918.31	306167.8	0.2157,0.7413,2.3353,12.8857,0.1118,0.9043,0.3362,0.338
bottle_schange	Round_2_Replicate_5	-1524120.03	3048256.06	6502535.31	315149.0	0.1624,0.4496,13.9129,3.0442,1.0277,1.1949,0.2349,0.1179
bottle_schange	Round_2_Replicate_6	-813718.65	1627453.3	1979028.32	197867.99	0.5664,1.7776,4.745,9.8321,1.3887,0.6536,0.1307,0.4657
bottle_schange	Round_2_Replicate_7	-739092.44	1478200.88	2671811.77	292623.43	0.4165,2.9048,18.0244,3.7749,0.3008,0.3232,0.1185,0.5541
