Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1m, nu2m, nu1f, nu2f, T1, T2)
bottle_schange	Round_1_Replicate_1	-6370634.57	12741285.14	8550083943.03	139682.41	1.8918,2.0887,6.4113,2.1584,0.3233,1.3963,0.674,5.2136
bottle_schange	Round_1_Replicate_2	-1837012.24	3674040.48	8820689.23	223343.8	0.1963,2.4186,5.1384,0.4397,3.2971,4.7342,0.3244,0.1837
bottle_schange	Round_1_Replicate_3	-7144706.38	14289428.76	54291378969.16	225443.95	0.3045,0.2461,0.2191,6.3311,1.5615,1.5091,1.3857,0.4271
bottle_schange	Round_1_Replicate_4	-3871773.32	7743562.64	279149046.45	201783.98	0.587,1.9749,8.0307,0.2371,1.4141,0.2649,1.8254,0.3419
bottle_schange	Round_1_Replicate_5	-9176628.52	18353273.04	3328041185635.53	120009.96	0.3062,2.0618,0.3976,0.4769,5.64,0.3671,1.9684,2.2692
bottle_schange	Round_1_Replicate_6	-6752507.75	13505031.5	71968043339.85	148182.74	0.1654,0.1761,5.5342,0.1558,1.255,1.2524,0.1563,2.9569
bottle_schange	Round_1_Replicate_7	-5944929.49	11889874.98	3613407890.78	272716.13	1.3998,2.5891,0.5329,0.1346,0.1858,2.5803,0.262,1.4575
bottle_schange	Round_1_Replicate_8	-12397837.42	24795690.84	753742954453933.6	202580.17	1.1122,5.7991,1.4359,0.2197,0.1238,0.6283,2.0613,3.2133
bottle_schange	Round_1_Replicate_9	-9732255.07	19464526.14	25035057286943.42	80757.41	0.4483,4.5668,0.129,1.5214,2.7531,4.8003,2.4047,3.8122
bottle_schange	Round_1_Replicate_10	-3563341.72	7126699.44	152813296.66	184200.96	0.3458,0.4832,0.1791,0.2136,6.7946,0.8777,0.1353,1.0233
bottle_schange	Round_1_Replicate_11	-6415293.0	12830602.0	18655402501.2	311997.02	0.1306,2.6488,0.7699,0.2798,0.4836,0.3082,0.26,1.6511
bottle_schange	Round_1_Replicate_12	-3492219.88	6984455.76	3279521973374451.0	78899.9	0.2167,1.1244,2.9344,3.5137,0.459,0.1845,6.5648,0.759
bottle_schange	Round_1_Replicate_13	-1175179.79	2350375.58	5478318.17	282874.43	2.6707,3.4549,5.1744,2.5924,0.2356,0.5028,0.2725,0.7512
bottle_schange	Round_1_Replicate_14	-7926927.15	15853870.3	210541391563.77	268050.16	1.2091,1.5962,3.8652,0.219,0.2583,0.3572,0.8282,2.3234
bottle_schange	Round_1_Replicate_15	-8672944.1	17345904.2	487366893774.95	227228.77	2.6756,0.4052,4.2496,0.1368,0.1405,1.7714,0.4401,2.6191
bottle_schange	Round_2_Replicate_1	-788319.25	1576654.5	2166443.02	175638.62	10.5031,3.3655,13.6984,5.4261,0.4404,1.1444,0.4628,0.5545
bottle_schange	Round_2_Replicate_2	-3611980.17	7223976.34	118306464.47	216938.55	3.3978,2.3261,20.4479,2.3721,0.1468,0.8838,0.9402,1.9093
bottle_schange	Round_2_Replicate_3	-6688927.18	13377870.36	8154689430.34	400452.38	0.7082,9.1623,3.6927,1.8305,0.1169,0.1597,0.1078,2.0392
bottle_schange	Round_2_Replicate_4	-1127545.63	2255107.26	4564017.47	183205.24	5.2823,8.7306,4.8091,2.0802,0.2708,1.2725,0.8802,0.5901
bottle_schange	Round_2_Replicate_5	-678065.74	1356147.48	1877995.7	407383.05	7.6337,2.5057,6.3327,6.461,0.0877,0.1811,0.1087,0.3178
bottle_schange	Round_2_Replicate_6	-865664.73	1731345.46	2359629.64	168313.3	3.6713,4.5919,17.9038,7.9687,0.8062,1.2538,0.202,0.5729
bottle_schange	Round_2_Replicate_7	-3930939.87	7861895.74	230651141.76	197191.99	3.8973,1.5464,4.1383,9.5391,0.2919,0.6034,0.8852,2.555
bottle_schange	Round_2_Replicate_8	-570421.6	1140859.2	1076686.45	314959.64	1.2297,2.213,20.7652,7.5719,0.115,0.5838,0.072,0.2011
bottle_schange	Round_2_Replicate_9	-1184962.13	2369940.26	4668223.27	184228.99	0.9991,4.2409,12.4298,1.4034,0.273,1.6569,0.8469,0.2009
bottle_schange	Round_2_Replicate_10	-1107117.72	2214251.44	4954367.96	226223.63	2.8449,4.8219,15.3598,3.3549,0.8475,0.1806,0.0972,0.7076
bottle_schange	Round_2_Replicate_11	-467227.04	934470.08	1205715.81	254744.66	6.6302,10.4132,2.3483,3.4748,0.4196,0.1669,0.3729,0.2318
bottle_schange	Round_2_Replicate_12	-1746402.49	3492820.98	10656323.5	196078.67	1.6104,8.3388,5.5413,7.3553,0.2928,1.3486,0.1243,1.3855
bottle_schange	Round_2_Replicate_13	-962336.29	1924688.58	3011500.05	149685.01	8.2163,2.022,1.5934,5.2452,0.6245,1.9537,0.9341,0.2109
bottle_schange	Round_2_Replicate_14	-660580.28	1321176.56	2187454.02	329307.25	3.6085,0.8926,3.3702,0.7873,0.3552,0.2458,0.1233,0.3384
bottle_schange	Round_2_Replicate_15	-717038.78	1434093.56	2090814.45	182035.73	7.3244,4.0541,4.1845,1.657,0.4252,0.7875,0.7148,0.2991
bottle_schange	Round_2_Replicate_16	-6314472.41	12628960.82	6583023067.62	292891.82	1.3414,1.3099,1.6912,6.4466,0.3274,0.1301,0.4136,2.5305
bottle_schange	Round_2_Replicate_17	-3354634.95	6709285.9	109164348.2	305420.61	2.4378,2.0141,3.6421,4.9954,0.246,0.298,0.1141,1.8999
bottle_schange	Round_2_Replicate_18	-796670.49	1593356.98	2273743.46	188849.56	5.1557,11.3776,5.202,1.552,0.7376,1.5255,0.234,0.661
bottle_schange	Round_2_Replicate_19	-1637779.99	3275575.98	9421576.94	346952.95	7.6355,11.558,8.8043,3.6849,0.1031,0.2493,0.4561,0.6904
bottle_schange	Round_2_Replicate_20	-3996152.16	7992320.32	216038271.2	199355.8	2.5974,13.7755,1.5353,9.1211,0.241,0.907,0.4045,2.1901
bottle_schange	Round_2_Replicate_21	-865800.94	1731617.88	3408109.23	219090.79	1.1605,7.8521,13.8792,7.2622,0.3638,0.3793,0.5335,0.4989
bottle_schange	Round_2_Replicate_22	-556063.73	1112143.46	1348276.54	248237.22	4.4458,8.1367,5.4685,6.0765,0.6242,0.3591,0.1063,0.3082
bottle_schange	Round_2_Replicate_23	-1290014.7	2580045.4	5163305.57	214908.17	1.4006,7.0786,12.0413,3.9057,0.1123,0.6644,0.8129,0.3287
bottle_schange	Round_2_Replicate_24	-1245776.43	2491568.86	5692299.6	343612.68	4.1215,3.0024,3.1879,3.8301,0.0966,0.1648,0.6288,0.3675
bottle_schange	Round_2_Replicate_25	-1016386.14	2032788.28	4416518.11	215065.29	9.4755,1.8073,1.364,1.6089,0.2032,0.6718,1.0194,0.2569
bottle_schange	Round_2_Replicate_26	-3708959.99	7417935.98	93358525.24	244430.17	1.5552,5.1935,7.9567,4.7375,0.0959,1.0361,0.1929,1.547
bottle_schange	Round_2_Replicate_27	-673982.5	1347981.0	1848777.41	232138.91	1.5274,9.8162,10.52,8.9045,0.3986,0.6381,0.0896,0.6763
bottle_schange	Round_2_Replicate_28	-1193319.14	2386654.28	5935996.73	179238.32	0.8852,0.8767,11.8203,6.3247,0.5659,1.1198,0.0959,1.3669
bottle_schange	Round_2_Replicate_29	-709934.77	1419885.54	2607627.5	185955.27	4.3419,10.7287,7.6126,1.6366,0.2545,0.1817,1.0476,0.2017
bottle_schange	Round_2_Replicate_30	-2545757.23	5091530.46	49529216.25	230414.09	0.8312,7.0585,2.5538,0.9345,0.9172,0.3412,0.1691,1.4117
bottle_schange	Round_3_Replicate_1	-2126219.16	4252454.32	20537760.27	382492.56	10.1266,5.6202,2.2494,1.8618,0.1742,0.068,0.6926,0.5057
bottle_schange	Round_3_Replicate_2	-984391.37	1968798.74	5709785.89	198846.54	3.5539,12.667,5.1868,11.8326,0.4738,0.4551,0.3393,0.1467
bottle_schange	Round_3_Replicate_3	-1225352.32	2450720.64	6369412.79	279920.22	23.8268,11.1803,3.4695,2.1141,0.4942,0.1082,0.3773,0.5109
bottle_schange	Round_3_Replicate_4	-420650.84	841317.68	1168536.48	306268.39	5.6644,25.3865,2.0187,1.1748,0.131,0.1086,0.4592,0.1409
bottle_schange	Round_3_Replicate_5	-1732939.49	3465894.98	11792793.92	380232.71	11.5895,25.3864,2.6197,4.6676,0.1461,0.1202,0.536,0.6285
bottle_schange	Round_3_Replicate_6	-355163.64	710343.28	928822.64	369635.08	11.2196,19.6607,3.4184,3.7196,0.1555,0.0897,0.1846,0.1963
bottle_schange	Round_3_Replicate_7	-3044064.43	6088144.86	64699615.01	175112.64	12.5832,2.9831,3.1716,0.9843,1.4179,0.0665,0.9696,0.5904
bottle_schange	Round_3_Replicate_8	-1499339.36	2998694.72	8180634.54	490206.82	2.6953,8.0699,0.6917,3.0207,0.1373,0.061,0.3357,0.3384
bottle_schange	Round_3_Replicate_9	-1086690.21	2173396.42	3646690.06	123045.69	17.9148,8.0833,7.7906,0.9804,0.7698,0.3925,0.913,0.1517
bottle_schange	Round_3_Replicate_10	-895442.85	1790901.7	3578545.89	335434.83	5.0651,6.1733,0.6287,3.3262,0.4814,0.2026,0.1641,0.4823
bottle_schange	Round_3_Replicate_11	-848938.73	1697893.46	3499947.99	296804.78	7.691,24.4097,7.4863,4.8633,0.2203,0.0963,0.5213,0.3946
bottle_schange	Round_3_Replicate_12	-1508938.06	3017892.12	10530003.35	269584.11	1.802,6.1066,0.6397,1.9041,0.8146,0.2983,0.3668,0.7502
bottle_schange	Round_3_Replicate_13	-274447.38	548910.76	570115.36	385166.74	2.5668,23.3914,0.7939,0.891,0.2641,0.0665,0.0896,0.0818
bottle_schange	Round_3_Replicate_14	-779742.26	1559500.52	2142681.52	162995.02	3.8372,24.4097,1.57,7.74,1.3871,0.0581,0.811,0.0915
bottle_schange	Round_3_Replicate_15	-793238.25	1586492.5	1859655.56	193179.81	3.0836,15.048,0.5924,6.5178,1.0238,0.5471,0.5096,0.2501
bottle_schange	Round_3_Replicate_16	-961719.05	1923454.1	4161593.47	201337.21	2.9603,3.2148,1.536,13.9955,1.3784,0.5167,0.294,0.1481
bottle_schange	Round_3_Replicate_17	-796039.5	1592095.0	3155447.52	183876.86	8.5744,6.0033,5.3668,1.0308,0.385,0.2634,0.9869,0.2832
