Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1m, nu2m, nu1f, nu2f, T1, T2)
bottle_schange	Round_1_Replicate_1	-9645353.08	19290722.16	22810417747668.64	112335.68	2.6712,0.327,2.1446,0.202,1.9483,1.0682,2.2395,3.1509
bottle_schange	Round_1_Replicate_2	-2983797.2	5967610.4	2114320262941387.0	69106.07	0.2133,3.589,0.5199,0.2132,0.4445,3.239,4.9881,0.2202
bottle_schange	Round_1_Replicate_3	-6401194.3	12802404.6	19710913667.4	72091.77	5.7314,0.1756,3.7972,0.7407,7.7335,0.5747,0.2784,4.2852
bottle_schange	Round_1_Replicate_4	-6393544.39	12787104.78	28612978168.18	90672.4	1.7454,2.168,0.1634,2.933,6.4162,1.1954,0.2978,4.2831
bottle_schange	Round_1_Replicate_5	-1926106.23	3852228.46	12191555.68	327074.85	1.7493,5.5169,0.236,1.6378,0.2241,0.8068,0.1448,0.5
bottle_schange	Round_1_Replicate_6	-1367158.38	2734332.76	8789287.84	270513.23	1.4346,1.0,3.6443,0.7569,0.3869,0.4354,0.552,0.4847
bottle_schange	Round_1_Replicate_7	-7095684.0	14191384.0	26075258903.86	178873.91	0.1886,0.2024,1.0791,0.5647,0.2018,4.5228,0.3164,2.2116
bottle_schange	Round_1_Replicate_8	-1008697.08	2017410.16	4314958.92	353431.72	3.4431,0.4097,0.1796,2.1502,0.9297,0.1454,0.2875,0.224
bottle_schange	Round_1_Replicate_9	-3405322.27	6810660.54	3618933218937293.0	51143.3	2.1134,0.2368,0.1461,0.3466,0.2173,5.6894,0.5326,6.323
bottle_schange	Round_1_Replicate_10	-6419492.84	12839001.68	32903701898.09	120998.84	0.6348,0.181,1.0299,0.3417,2.8495,1.2425,0.4247,3.126
bottle_schange	Round_1_Replicate_11	-9083775.94	18167567.88	2934130035627.16	209990.36	1.4963,4.1147,0.2295,1.228,0.4839,0.6071,0.1925,3.5494
bottle_schange	Round_1_Replicate_12	-1974092.83	3948201.66	11200086.06	131369.97	0.1777,1.048,6.9601,2.2448,5.4912,2.4891,0.2009,0.712
bottle_schange	Round_1_Replicate_13	-5897583.54	11795183.08	6130176841.92	251864.83	0.2295,0.7217,1.3799,0.51,0.3584,7.434,1.5003,0.2175
bottle_schange	Round_1_Replicate_14	-9166915.59	18333847.18	1284293591345.23	216154.76	1.532,1.025,0.1606,1.245,0.3041,0.29,3.2911,1.4031
bottle_schange	Round_1_Replicate_15	-4553850.24	9107716.48	808873415.05	172696.36	0.31,0.4601,0.3009,1.4456,3.1719,0.3793,0.2235,1.9564
bottle_schange	Round_2_Replicate_1	-1092207.53	2184431.06	4389864.77	472870.5	1.2939,1.3063,0.0672,2.1731,0.4963,0.07,0.2168,0.1783
bottle_schange	Round_2_Replicate_2	-3717232.06	7434480.12	250103298.01	242581.96	4.5645,0.1784,0.2406,2.4877,0.6091,0.4262,0.902,0.0781
bottle_schange	Round_2_Replicate_3	-361055.32	722126.64	760831.36	365068.75	5.0683,1.3372,0.6846,1.3953,0.4675,0.0553,0.0766,0.0826
bottle_schange	Round_2_Replicate_4	-978607.81	1957231.62	3857069.22	446328.93	2.0607,0.2161,0.0681,1.5863,0.2337,0.1674,0.2868,0.054
bottle_schange	Round_2_Replicate_5	-1325361.87	2650739.74	6404702.84	405417.89	1.2022,0.1308,0.1728,3.276,0.3748,0.51,0.2376,0.0693
bottle_schange	Round_2_Replicate_6	-2315081.42	4630178.84	25790301.86	383596.9	4.1545,1.5918,0.0488,3.4587,1.6947,0.0625,0.508,0.3365
bottle_schange	Round_2_Replicate_7	-2131463.5	4262943.0	23896097.3	290237.41	3.0922,0.1992,0.6203,0.6643,0.7203,0.0819,0.4734,0.1134
bottle_schange	Round_2_Replicate_8	-344240.95	688497.9	721726.41	347823.02	2.4463,1.2264,0.1022,1.9578,0.8576,0.0815,0.2172,0.0639
bottle_schange	Round_2_Replicate_9	-2148811.56	4297639.12	24733681.74	266747.42	1.0055,0.432,0.2098,1.3033,2.7258,0.2825,0.5696,0.3878
bottle_schange	Round_2_Replicate_10	-3108456.46	6216928.92	82022500.7	289654.68	2.7157,0.8375,0.2973,1.0586,1.7615,0.1093,0.2302,0.8047
bottle_schange	Round_2_Replicate_11	-482928.52	965873.04	1117387.83	337872.75	3.2962,0.4972,0.1434,1.5209,3.0022,0.1962,0.0731,0.077
bottle_schange	Round_2_Replicate_12	-1200708.01	2401432.02	6811218.79	317910.37	1.7434,0.6059,0.4374,5.549,0.3212,0.0549,0.6829,0.1064
bottle_schange	Round_2_Replicate_13	-1174557.24	2349130.48	5953643.64	177245.62	13.0402,0.8967,0.3161,6.0756,1.2131,0.1001,0.9639,0.0956
bottle_schange	Round_2_Replicate_14	-656323.94	1312663.88	1939678.8	449240.33	1.7462,0.8307,0.1397,1.1094,0.263,0.1247,0.1735,0.1431
bottle_schange	Round_2_Replicate_15	-663814.39	1327644.78	1416836.26	265161.96	5.0104,0.3876,0.3546,7.1257,2.4752,0.457,0.143,0.1729
bottle_schange	Round_2_Replicate_16	-719635.68	1439287.36	2511893.45	289064.36	6.9129,0.7512,0.3308,0.6381,0.5764,0.2988,0.4443,0.1494
bottle_schange	Round_2_Replicate_17	-2167555.12	4335126.24	21311464.24	554444.6	1.3199,0.2804,0.0953,1.3991,0.3996,0.0528,0.2178,0.2587
bottle_schange	Round_2_Replicate_18	-1488470.05	2976956.1	8252262.02	268483.38	5.2848,0.2502,0.2595,0.9356,3.2511,0.2366,0.0888,0.495
bottle_schange	Round_2_Replicate_19	-1159090.8	2318197.6	5418644.31	219952.89	4.3688,1.235,0.446,1.4017,2.8357,0.2362,0.5154,0.3766
bottle_schange	Round_2_Replicate_20	-522368.83	1044753.66	1173339.45	334489.09	2.6538,0.5516,0.3808,0.7196,1.6509,0.1279,0.0743,0.1435
bottle_schange	Round_2_Replicate_21	-5167328.65	10334673.3	1113700321.02	381248.54	1.7907,1.1793,0.2229,1.6814,0.2919,0.1069,1.0403,0.8718
bottle_schange	Round_2_Replicate_22	-2262086.01	4524188.02	26944700.72	242900.14	3.1136,0.127,0.1309,1.9074,3.4618,0.4653,0.0996,0.7162
bottle_schange	Round_2_Replicate_23	-1098368.96	2196753.92	3822396.38	418352.41	2.0785,0.5062,0.1285,2.0177,0.2541,0.3334,0.1054,0.2357
bottle_schange	Round_2_Replicate_24	-1881200.28	3762416.56	16349983.65	258715.52	4.8992,0.5746,0.1722,3.4456,2.4896,0.2422,0.1831,0.7099
bottle_schange	Round_2_Replicate_25	-543893.58	1087803.16	1306822.34	304588.96	4.5248,0.524,0.0823,6.7634,3.1775,0.1784,0.2723,0.0765
bottle_schange	Round_2_Replicate_26	-3157349.05	6314714.1	95030128.14	231933.95	5.4109,0.4711,0.0772,2.7135,3.5377,0.3972,0.3542,0.8325
bottle_schange	Round_2_Replicate_27	-555684.5	1111385.0	1466279.89	384871.46	0.8906,0.1848,0.2196,2.695,1.1148,0.1133,0.0792,0.1415
