Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1m, nu2m, nu1f, nu2f, T1, T2)
bottle_schange	Round_1_Replicate_1	-1083485.05	2166986.1	4052544.16	352604.31	0.5259,0.1689,0.1327,1.7278,4.6237,0.1816,0.1482,0.1607
bottle_schange	Round_1_Replicate_2	-7598721.07	15197458.14	83582920435.53	160341.9	0.7004,1.4166,0.1636,1.0832,0.2776,5.2197,0.3649,2.0121
bottle_schange	Round_1_Replicate_3	-805688.87	1611393.74	2678921.6	387273.11	0.2931,6.0166,1.1085,0.3087,0.2652,0.4225,0.1765,0.2097
bottle_schange	Round_1_Replicate_4	-3970320.32	7940656.64	254583347.49	208043.07	1.7236,2.418,0.2089,0.2649,0.3767,0.6228,3.0552,0.3941
bottle_schange	Round_1_Replicate_5	-1579339.32	3158694.64	9138810.82	117687.08	5.4751,1.9118,2.8608,1.8275,5.6467,0.7745,0.3854,1.1065
bottle_schange	Round_1_Replicate_6	-9775636.61	19551289.22	15829976574811.53	150453.61	0.1247,0.2467,4.5632,0.1846,2.4461,0.2535,0.5119,2.1413
bottle_schange	Round_1_Replicate_7	-2914118.64	5828253.28	82288143.95	164624.1	1.9108,0.4496,2.4337,1.5213,2.7623,0.4391,1.2482,0.331
bottle_schange	Round_1_Replicate_8	-1723732.49	3447480.98	10135169.3	166070.07	0.4348,6.3322,0.8921,0.2211,2.7095,8.0464,0.1977,0.7588
bottle_schange	Round_1_Replicate_9	-1187185.46	2374386.92	3456356.74	267622.31	0.7932,1.64,0.5492,5.9277,0.2095,1.5068,0.3169,0.2275
bottle_schange	Round_1_Replicate_10	-9970542.41	19941100.82	21970398288909.74	191104.29	0.1865,2.2361,0.3989,2.0482,0.457,0.6282,1.3761,2.8449
bottle_schange	Round_1_Replicate_11	-4248226.08	8496468.16	615901840.48	74937.96	1.1119,1.1247,0.8663,1.3616,3.647,4.5623,0.1859,4.9367
bottle_schange	Round_1_Replicate_12	-5926488.25	11852992.5	15970036141.95	71412.76	0.1212,1.6096,1.7919,4.9152,2.9427,3.1968,0.5511,5.6396
bottle_schange	Round_1_Replicate_13	-11087865.84	22175747.68	390974492476277.1	91666.98	0.5672,2.253,0.5625,0.3318,1.9419,2.5624,6.2838,2.4345
bottle_schange	Round_1_Replicate_14	-1082559.18	2165134.36	4704721.35	226632.38	6.2773,0.5362,1.171,2.6259,0.2981,1.4353,0.6354,0.1208
bottle_schange	Round_1_Replicate_15	-2055376.67	4110769.34	20331151.37	172116.83	0.22,0.7866,6.2467,2.5464,1.354,1.8536,0.347,0.7237
bottle_schange	Round_2_Replicate_1	-1421354.92	2842725.84	8316110.61	330999.78	0.227,11.7282,0.9053,0.2327,0.5232,0.7977,0.0915,0.5134
bottle_schange	Round_2_Replicate_2	-3087387.38	6174790.76	59504053.43	313005.2	0.1855,2.1029,2.2586,0.5317,0.0778,0.4779,0.6776,0.0608
bottle_schange	Round_2_Replicate_3	-1776398.95	3552813.9	12327405.77	280780.11	0.3708,1.8177,0.2815,1.2006,0.9396,0.3328,0.6876,0.1023
bottle_schange	Round_2_Replicate_4	-1046891.86	2093799.72	4227235.13	310409.29	0.508,23.0678,2.6049,0.1254,0.1231,0.265,0.6075,0.0676
bottle_schange	Round_2_Replicate_5	-3062013.83	6124043.66	57591486.11	457952.92	0.2874,13.9577,0.2889,0.1319,0.1329,0.8529,0.2733,0.4245
bottle_schange	Round_2_Replicate_6	-865004.49	1730024.98	3194009.47	298790.35	0.7529,13.4529,4.3456,0.1414,0.5092,0.5913,0.2714,0.2531
bottle_schange	Round_2_Replicate_7	-1951046.55	3902109.1	18018334.38	376615.19	0.3663,2.4073,0.3361,0.0997,0.7747,0.479,0.0445,0.4445
bottle_schange	Round_2_Replicate_8	-2511817.56	5023651.12	26938762.94	326922.04	0.1007,12.3001,2.1411,0.3361,0.2056,1.085,0.3088,0.1198
bottle_schange	Round_2_Replicate_9	-485156.53	970329.06	1009380.71	323295.35	0.5418,1.8569,1.4822,0.241,0.5688,0.3451,0.2312,0.0572
bottle_schange	Round_2_Replicate_10	-1977836.25	3955688.5	21196351.08	325243.99	0.2903,5.4618,3.4151,0.5607,0.5217,0.2296,0.2907,0.599
bottle_schange	Round_2_Replicate_11	-1847344.58	3694705.16	11493262.35	250968.9	0.3226,5.2622,1.7093,1.1466,0.2163,1.4507,0.5131,0.2688
bottle_schange	Round_2_Replicate_12	-1788398.66	3576813.32	14617526.82	261579.28	0.3858,2.7988,3.5912,0.8509,0.3229,0.7547,0.6533,0.3293
bottle_schange	Round_2_Replicate_13	-2916472.34	5832960.68	48841090.09	428501.78	0.5445,9.3423,2.4829,0.4362,0.106,0.4742,0.1554,0.8101
bottle_schange	Round_2_Replicate_14	-1551305.81	3102627.62	9262388.42	378634.6	0.5893,20.3091,2.7203,0.2054,0.1845,0.7955,0.1261,0.5355
bottle_schange	Round_2_Replicate_15	-491735.32	983486.64	1083679.73	344192.78	0.4036,7.304,3.1015,0.6067,0.2286,0.5257,0.1249,0.184
bottle_schange	Round_2_Replicate_16	-2631409.2	5262834.4	32169351.57	387940.33	0.1582,2.7357,0.7612,0.445,0.0783,0.1283,0.5001,0.0562
bottle_schange	Round_2_Replicate_17	-2415024.59	4830065.18	26977479.87	302883.94	0.2278,2.3429,0.7348,0.2433,0.2782,0.8194,0.65,0.0711
bottle_schange	Round_2_Replicate_18	-1301048.05	2602112.1	7043478.54	368928.74	0.3292,3.5675,2.5018,0.1417,0.3747,0.4239,0.0476,0.4059
bottle_schange	Round_2_Replicate_19	-794728.04	1589472.08	2348624.81	300356.87	0.3594,4.7742,1.7574,0.1804,0.6796,1.4776,0.2167,0.2002
bottle_schange	Round_2_Replicate_20	-720709.99	1441435.98	1947679.76	327293.27	0.5234,13.5708,0.3843,0.2245,0.2221,0.2311,0.3834,0.0588
bottle_schange	Round_2_Replicate_21	-3629630.09	7259276.18	196984120.57	315303.64	0.2403,5.3048,3.4382,0.1056,0.333,1.1093,0.4552,0.7519
bottle_schange	Round_2_Replicate_22	-2542872.66	5085761.32	28200878.44	465688.8	0.5005,15.9129,0.718,0.2811,0.1052,0.5731,0.1126,0.5452
bottle_schange	Round_2_Replicate_23	-590359.25	1180734.5	1311595.78	481945.22	0.1465,4.5374,0.4013,0.3944,0.0817,0.2051,0.0569,0.0765
bottle_schange	Round_2_Replicate_24	-2168641.31	4337298.62	13037099.68	224434.41	0.2377,10.4077,1.6368,1.0043,0.3987,1.4587,0.5195,0.0708
bottle_schange	Round_2_Replicate_25	-1391178.98	2782373.96	5539293.97	481273.13	0.1391,17.0068,0.4101,0.1584,0.1083,0.8453,0.0781,0.219
bottle_schange	Round_2_Replicate_26	-4221415.94	8442847.88	272731901.59	346411.74	0.1037,12.7985,1.027,0.5055,0.0898,1.014,0.4112,0.3718
bottle_schange	Round_2_Replicate_27	-543292.9	1086601.8	1229623.63	294512.32	0.8652,3.8459,1.2885,0.7942,0.9262,0.4817,0.0767,0.161
bottle_schange	Round_2_Replicate_28	-1084366.25	2168748.5	4006639.14	333509.16	0.4522,5.0921,0.5244,0.1985,0.1775,0.5823,0.4587,0.1018
bottle_schange	Round_2_Replicate_29	-497271.86	994559.72	881800.3	364542.26	0.5834,1.6497,0.2814,0.2472,0.1918,1.4701,0.1269,0.0558
bottle_schange	Round_2_Replicate_30	-991351.03	1982718.06	3669426.06	391269.14	0.7963,21.5812,2.2245,0.0814,0.0756,0.6479,0.4599,0.142
bottle_schange	Round_3_Replicate_1	-326442.86	652901.72	652911.77	376183.46	0.633,7.0152,0.9429,0.5941,0.5027,0.0947,0.0712,0.0888
bottle_schange	Round_3_Replicate_2	-349809.85	699635.7	697094.38	377849.9	0.3984,2.6065,3.9722,0.1803,0.3664,0.1726,0.1065,0.0686
bottle_schange	Round_3_Replicate_3	-516292.4	1032600.8	1049741.98	287363.07	0.9889,1.3691,4.0315,0.4374,0.3133,0.8865,0.23,0.0821
bottle_schange	Round_3_Replicate_4	-367107.31	734230.62	766640.82	421655.71	0.2303,1.5786,3.1681,0.1794,0.4562,0.0961,0.0969,0.0499
bottle_schange	Round_3_Replicate_5	-887826.55	1775669.1	3205274.13	350927.31	0.4137,0.9848,0.5601,0.4155,0.9354,0.1486,0.3886,0.0612
bottle_schange	Round_3_Replicate_6	-962104.21	1924224.42	4087365.13	226281.88	1.5446,0.967,0.4211,0.0609,0.8793,0.7806,0.7929,0.0204
bottle_schange	Round_3_Replicate_7	-2110964.56	4221945.12	13250860.23	246394.59	0.267,3.9381,4.2809,0.1889,1.2485,0.8827,0.6125,0.0193
bottle_schange	Round_3_Replicate_8	-1016676.75	2033369.5	3191881.45	225793.19	0.6267,4.3786,1.2107,0.4502,1.6672,0.8493,0.5519,0.0968
bottle_schange	Round_3_Replicate_9	-780839.78	1561695.56	2209306.02	181268.25	1.9324,4.7879,4.6169,0.9572,0.7635,0.2527,0.7648,0.0957
bottle_schange	Round_3_Replicate_10	-1495317.99	2990651.98	9778451.99	349153.3	0.4453,0.6804,4.0627,0.3579,0.2164,0.5332,0.5079,0.1969
bottle_schange	Round_3_Replicate_11	-471075.58	942167.16	890725.67	382999.06	0.2311,3.1523,4.9642,0.2384,2.1922,0.1157,0.1081,0.0387
bottle_schange	Round_3_Replicate_12	-1614383.93	3228783.86	11140512.07	279205.32	0.563,0.9417,1.0384,0.5465,0.3941,0.9248,0.837,0.0515
bottle_schange	Round_3_Replicate_13	-542961.08	1085938.16	1031219.12	306918.02	0.2521,1.2455,4.0119,0.7942,0.3636,1.2222,0.0432,0.2115
bottle_schange	Round_3_Replicate_14	-592234.28	1184484.56	2370793.92	307543.48	2.0294,1.9569,1.6304,0.0949,0.2569,1.1935,0.1467,0.0428
bottle_schange	Round_3_Replicate_15	-680111.84	1360239.68	1638693.05	374441.73	0.1987,4.3737,0.8618,0.1811,0.3903,0.79,0.1431,0.0911
bottle_schange	Round_3_Replicate_16	-471937.38	943890.76	924041.59	358057.75	0.1993,4.4371,5.6874,0.5349,0.7481,0.1797,0.0748,0.1003
bottle_schange	Round_3_Replicate_17	-922413.88	1844843.76	2769765.56	299527.79	0.387,0.658,1.734,0.6158,1.4672,1.2458,0.2959,0.094
bottle_schange	Round_3_Replicate_18	-681755.99	1363527.98	1892217.41	283369.18	0.8383,1.4335,2.9831,0.2878,1.9027,0.7507,0.1786,0.0403
bottle_schange	Round_3_Replicate_19	-387444.84	774905.68	707463.22	385410.58	0.3414,0.5397,5.3478,0.0608,1.7373,0.9394,0.1214,0.0172
bottle_schange	Round_3_Replicate_20	-2301720.13	4603456.26	31018349.31	389696.4	0.8023,0.5848,0.5449,0.1522,0.2353,0.1429,0.8385,0.1419
bottle_schange	Round_3_Replicate_21	-717248.67	1434513.34	3219658.0	299249.19	1.8616,1.7474,2.729,0.6818,0.8691,0.2528,0.0661,0.0897
bottle_schange	Round_3_Replicate_22	-715230.74	1430477.48	2315780.95	242091.39	1.1661,2.2022,2.3796,0.1495,0.6223,0.1129,0.6535,0.033
bottle_schange	Round_3_Replicate_23	-547390.67	1094797.34	1168565.66	318409.29	0.868,0.5623,1.5579,0.1214,0.7216,1.2451,0.083,0.1363
bottle_schange	Round_3_Replicate_24	-404285.49	808586.98	906251.36	308092.24	1.861,5.2354,0.4304,0.0748,0.3941,0.4631,0.231,0.0454
bottle_schange	Round_3_Replicate_25	-644711.7	1289439.4	1860564.38	287708.3	0.7634,2.6397,1.3576,0.0793,1.8852,0.1525,0.4629,0.0361
bottle_schange	Round_3_Replicate_26	-392817.91	785651.82	792135.89	342410.25	0.6833,2.2695,0.6627,0.1395,0.4721,0.277,0.1651,0.0387
bottle_schange	Round_3_Replicate_27	-479131.74	958279.48	891366.7	353362.39	0.2545,4.5113,2.1564,0.4852,1.8632,0.1466,0.0834,0.0743
bottle_schange	Round_3_Replicate_28	-672793.19	1345602.38	1378509.42	337910.64	0.2603,3.7773,0.4382,0.6074,0.9898,0.7516,0.0913,0.0546
bottle_schange	Round_3_Replicate_29	-452826.85	905669.7	902782.33	304086.23	1.0634,4.3106,0.7204,0.1427,0.191,0.5039,0.2845,0.0438
bottle_schange	Round_3_Replicate_30	-2058921.63	4117859.26	19239027.91	357291.3	0.1941,1.9125,0.9542,0.3331,0.3352,0.4218,0.4644,0.1453
bottle_schange	Round_3_Replicate_31	-643244.1	1286504.2	1675991.36	360898.08	0.5044,3.3463,0.7546,0.103,1.7147,0.1361,0.1381,0.0941
bottle_schange	Round_3_Replicate_32	-338539.43	677094.86	641822.77	386446.03	0.3886,1.909,2.8123,0.2252,0.1912,0.5266,0.0687,0.1114
bottle_schange	Round_3_Replicate_33	-335349.04	670714.08	666898.56	365792.04	1.2443,0.6607,0.7819,0.2012,0.2331,0.4739,0.1312,0.0695
