Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1m, nu2m, nu1f, nu2f, m12, m21, T1, T2, T3)
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_1	-877827.32	1755676.64	2202268.97	226530.43	2.7635,4.9751,2.6155,0.4022,0.9373,2.4053,2.8785,0.9122,5.3277,4.1199,0.2081
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_2	-1176882.79	2353787.58	4644781.88	133912.21	6.3013,2.8862,1.4155,1.058,6.259,0.6821,0.4228,0.1287,0.1833,2.2715,0.4389
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_3	-710233.25	1420488.5	1599313.27	92206.37	0.6186,5.6155,7.3183,3.54,0.1935,3.898,6.5629,3.6145,0.7508,3.5677,0.2594
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_4	-688175.12	1376372.24	1670387.99	77543.78	6.1128,2.0872,8.1543,2.5819,0.4115,4.9412,0.9427,0.3565,6.9872,0.985,0.8711
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_5	-7752913.69	15505849.38	1.3066539566412773e+22	151989.86	0.6363,0.8084,0.1305,0.415,0.1457,5.3231,6.9966,0.1623,0.1287,0.7538,2.5705
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_6	-4349931.59	8699885.18	433786990.29	162013.62	1.8474,0.8745,0.9652,0.1967,1.2976,0.2025,3.5368,4.4878,7.7141,0.5467,1.1361
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_7	-962436.13	1924894.26	6822481.42	138832.3	0.8352,5.6575,1.7537,0.8845,4.3922,2.9772,7.4685,0.2741,3.3274,0.7229,0.2074
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_8	-2992924.73	5985871.46	87081402.11	257487.63	1.6226,0.8421,0.5419,1.1612,0.6671,0.585,7.4215,0.2568,0.132,0.1377,1.496
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_9	-1662686.5	3325395.0	13270984.96	154850.32	0.3011,1.0091,2.0031,0.8904,2.0246,0.8672,5.3378,0.6494,1.7999,1.1903,1.3464
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_10	-9736984.08	19473990.16	2446004761629.1	155751.56	0.3864,0.3352,4.628,1.7551,0.177,0.9096,3.6815,0.3131,2.5616,1.141,5.9679
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_11	-3970873.06	7941768.12	341960087.28	85786.07	1.772,0.2706,2.0148,0.9729,1.6095,7.2637,2.9778,0.1261,0.3646,0.6903,4.3028
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_12	-4935594.14	9871210.28	1352281189.72	127356.86	2.4211,0.2243,7.1845,0.423,2.8445,0.2623,0.9675,1.8506,0.1489,0.2703,1.9451
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_13	-5600364.45	11200750.9	2.6883530910842228e+20	67332.43	1.0734,5.0371,0.1316,1.9541,3.7493,0.2908,1.0771,1.169,4.1617,1.3205,8.3428
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_14	-1619176.83	3238375.66	10748649.64	193962.29	0.6213,0.2465,0.698,0.8009,1.944,1.6947,0.153,6.8538,0.2731,6.1081,0.9432
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_15	-9792673.47	19585368.94	14233494884027.23	136754.2	3.6092,0.679,1.7607,0.4842,0.8801,0.6889,1.9441,0.1365,0.1897,0.6387,6.1803
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_1	-4175582.54	8351187.08	120751496.72	71396.26	12.508,1.8559,3.3369,6.7535,0.2635,13.4078,2.5136,0.328,4.4061,0.5501,2.8804
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_2	-396887.93	793797.86	678484.7	41036.97	12.4156,4.3935,4.7152,4.6896,0.9055,6.8183,0.899,0.4216,16.2863,2.2444,0.6904
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_3	-2811832.1	5623686.2	72231378.83	108022.55	5.9404,1.7755,7.081,1.0603,1.1002,1.3456,1.6475,0.0931,3.5613,0.5129,2.9111
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_4	-366775.62	733573.24	671232.65	34505.22	11.9212,2.07,6.0607,5.2842,1.3078,6.5759,0.5071,0.3353,19.3514,2.157,0.6071
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_5	-700808.35	1401638.7	1365546.17	113890.82	2.0964,2.2298,2.7394,2.0306,0.5563,7.8657,3.7325,1.0161,2.9962,0.439,0.6174
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_6	-1222393.04	2444808.08	4698667.86	109674.84	1.7739,0.9539,3.4025,1.0743,0.3995,1.4136,3.0839,0.8139,16.6533,1.0191,1.2474
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_7	-1542834.8	3085691.6	7536332.59	55015.23	12.5256,0.7043,5.9141,3.9189,0.7095,1.7741,0.5549,0.1381,26.1472,2.6222,2.5304
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_8	-781999.84	1564021.68	2540665.21	70253.05	10.5816,1.6737,12.1554,1.8366,0.7598,3.453,0.3891,0.6578,3.701,3.689,1.4313
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_9	-904289.26	1808600.52	2961076.85	65136.82	2.0057,2.6507,24.6996,1.8479,0.4384,8.7657,0.5476,0.216,10.4295,0.3357,0.2533
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_10	-1093730.93	2187483.86	3414193.18	74413.05	11.1914,1.154,8.4579,0.8526,0.5185,16.7614,1.7211,0.8095,10.8666,1.1675,1.485
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_11	-3261407.51	6522837.02	54604887.69	80968.09	2.9788,0.6112,24.6325,1.3452,0.299,16.6114,1.3681,0.1282,6.4918,0.7416,3.0106
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_12	-1118500.31	2237022.62	3140348.29	67009.64	1.5515,5.2023,2.2792,4.9507,0.1994,1.7543,0.3217,0.3574,10.5422,1.6035,0.4712
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_13	-290703.18	581428.36	514420.58	53993.45	2.7353,4.4542,16.5293,4.0993,0.332,1.8184,2.0055,0.4525,20.8249,3.4685,0.4817
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_14	-1590730.17	3181482.34	7150168.58	107457.36	3.9885,6.3336,10.1674,1.4432,0.2304,1.3799,1.4703,0.831,11.5353,3.8075,1.4567
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_15	-1244812.29	2489646.58	4186445.77	48887.51	12.4451,0.8171,6.862,3.4741,0.4753,1.2868,0.321,0.7976,20.0731,0.7936,1.6885
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_16	-505488.97	1010999.94	1246105.6	70017.96	3.637,3.4968,5.9826,1.0149,1.4005,2.7804,2.1734,0.7732,7.8725,0.3186,0.741
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_17	-999401.69	1998825.38	3268680.35	69349.38	11.237,5.7306,26.3704,9.1364,0.3763,1.8784,0.813,1.219,5.1111,0.9049,1.507
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_18	-851178.23	1702378.46	2322677.94	68594.71	2.6002,8.1484,17.5579,1.3444,0.2128,16.1315,0.787,0.1099,7.0822,0.2527,0.3493
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_19	-309372.09	618766.18	555346.68	68970.38	21.1696,1.3149,9.9265,1.5629,0.2566,3.6833,0.798,0.8284,7.1171,2.5081,0.3525
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_20	-969603.52	1939229.04	3434956.13	81975.6	20.8001,1.1626,9.7066,3.3216,0.2267,3.8993,0.2437,0.234,4.3754,0.9408,0.4776
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_21	-3838369.67	7676761.34	104132032.85	98024.36	2.5658,2.3905,3.4509,0.8664,0.3134,19.6353,2.1436,0.58,3.161,1.7632,2.6701
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_22	-1641634.82	3283291.64	6966479.02	63750.91	4.5768,3.6888,9.3404,5.7286,0.4285,9.0479,0.5024,0.0875,5.1699,2.0755,1.8814
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_23	-972519.58	1945061.16	2647370.84	103926.61	7.6108,3.6896,2.754,4.9272,0.2679,1.6296,2.0063,0.245,4.4204,1.7958,0.7091
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_24	-834438.16	1668898.32	2174768.71	105903.63	12.0296,4.0661,6.3064,5.3284,0.2418,1.5418,1.4429,0.1236,2.7865,1.9827,0.69
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_25	-906010.11	1812042.22	2220373.23	75447.65	4.8158,0.7916,3.0392,3.5825,0.1382,5.7119,0.4039,0.975,8.3416,0.8934,0.3192
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_26	-1484227.34	2968476.68	5442401.77	116978.85	5.5338,6.5422,2.7818,1.1159,0.2164,7.2762,1.5734,0.1536,6.3536,1.2067,0.8761
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_27	-2591706.85	5183435.7	33593186.57	121986.03	5.9136,1.2044,10.4099,2.4916,0.3158,2.1854,0.8278,0.4371,3.1693,0.3062,2.137
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_28	-873164.84	1746351.68	2628834.86	49748.9	17.0296,5.1353,21.4037,2.8523,1.1669,13.5289,1.1013,0.4026,6.2235,0.4358,1.7254
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_29	-756361.73	1512745.46	1742502.9	77084.99	14.8596,1.3556,11.0143,5.0502,0.1893,1.6006,0.2992,1.0521,2.773,2.4095,0.4934
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_30	-1596613.1	3193248.2	7770967.78	85417.93	4.9757,0.9014,4.355,10.1673,0.5152,2.4985,0.6546,0.3042,5.161,0.977,1.8562
sec_contact_bottle_schange_thr_epoch	Round_3_Replicate_1	-1926287.51	3852597.02	9526266.1	117695.53	1.7663,11.3036,28.3579,3.3863,0.1304,0.5947,2.4812,0.1648,22.466,5.3065,1.4379
sec_contact_bottle_schange_thr_epoch	Round_3_Replicate_2	-261139.09	522300.18	478134.89	118845.28	6.4303,12.3253,4.6617,1.4236,0.1206,0.7581,1.4978,0.5108,9.5094,5.5455,0.1446
sec_contact_bottle_schange_thr_epoch	Round_3_Replicate_3	-491823.58	983669.16	2845301.01	47558.06	1.2047,14.4267,22.7207,7.7319,0.9517,0.827,5.6891,0.5226,8.5167,2.4229,0.4082
sec_contact_bottle_schange_thr_epoch	Round_3_Replicate_4	-1080972.11	2161966.22	3286026.41	68350.6	6.3675,2.5085,5.1274,5.7908,0.4349,2.6564,0.9851,0.2625,7.1935,5.7666,1.3937
sec_contact_bottle_schange_thr_epoch	Round_3_Replicate_5	-529494.66	1059011.32	3193407.96	67283.6	1.5705,3.3252,9.1251,4.7909,0.231,0.7581,2.56,0.3062,13.9185,2.8938,0.1525
sec_contact_bottle_schange_thr_epoch	Round_3_Replicate_6	-3098453.64	6196929.28	26459133.36	72133.75	4.3941,17.1618,7.2914,1.143,0.1203,6.8585,0.4964,1.1028,28.3579,12.8405,1.5753
sec_contact_bottle_schange_thr_epoch	Round_3_Replicate_7	-1925792.67	3851607.34	8096680.29	52692.56	7.6595,3.5689,10.2387,16.888,0.2118,3.4737,0.8077,0.2192,10.395,2.4438,1.5037
sec_contact_bottle_schange_thr_epoch	Round_3_Replicate_8	-2944099.97	5888221.94	20148313.35	42700.32	2.021,8.0083,7.7404,4.1846,0.1309,5.5222,1.1645,1.0329,23.2585,1.5194,1.6716
sec_contact_bottle_schange_thr_epoch	Round_3_Replicate_9	-409619.29	819260.58	1026450.24	30396.35	4.886,8.7031,9.9783,4.065,0.514,5.4027,1.6089,0.5475,28.3579,1.2528,0.3983
sec_contact_bottle_schange_thr_epoch	Round_3_Replicate_10	-851116.05	1702254.1	14770791.34	20284.11	8.4955,7.5439,26.6249,9.6775,0.8121,6.079,0.7894,1.1101,13.6127,12.0182,0.4443
sec_contact_bottle_schange_thr_epoch	Round_3_Replicate_11	-323875.54	647773.08	578495.01	58234.14	0.7789,1.5757,4.7256,2.593,0.7383,4.7556,0.8644,0.3297,16.4696,3.3914,0.4388
sec_contact_bottle_schange_thr_epoch	Round_3_Replicate_12	-1126372.33	2252766.66	3223981.87	48980.0	6.3133,3.2883,12.6829,4.4502,0.2219,6.394,0.7222,0.1144,28.3579,3.0976,1.1449
sec_contact_bottle_schange_thr_epoch	Round_3_Replicate_13	-595210.89	1190443.78	2465644.67	63259.3	0.7973,12.1,23.997,2.7399,0.8564,6.8113,7.7334,0.2139,14.0177,1.917,0.5612
sec_contact_bottle_schange_thr_epoch	Round_3_Replicate_14	-793677.54	1587377.08	3177821.97	43455.29	1.1596,3.7269,25.9316,11.1545,0.2717,5.8111,6.12,1.1644,19.9488,0.9328,0.3496
sec_contact_bottle_schange_thr_epoch	Round_3_Replicate_15	-765640.95	1531303.9	1704721.38	53484.28	1.2275,4.4877,6.4058,13.2431,0.1504,0.928,4.672,0.3476,28.3579,1.747,0.4279
sec_contact_bottle_schange_thr_epoch	Round_3_Replicate_16	-989620.8	1979263.6	3405897.21	165605.05	0.941,1.6371,18.979,2.6009,0.2102,0.4565,8.0994,0.3908,28.3579,3.3055,1.0081
