Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1m, nu2m, nu1f, nu2f, m12, m21, T1, T2, T3)
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_44	-129321.87	258665.74	234747.12	83731.01	0.495,9.0331,1.5723,2.5162,0.1402,0.1565,7.2951,0.319,5.3446,1.6147,0.1263
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_45	-142454.34	284930.68	259822.37	79436.82	0.4014,5.2573,1.6506,2.6102,0.2107,0.2299,2.5327,0.5816,2.4683,6.4636,0.1238
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_46	-119409.91	238841.82	226438.96	131079.5	1.0506,9.5295,3.7371,1.7746,0.0769,0.1061,7.4537,0.3219,5.4789,4.3838,0.088
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_47	-118022.25	236066.5	240415.11	105518.87	0.4278,3.2058,2.6378,3.4013,0.1822,0.0972,8.9386,0.2812,1.9062,2.1333,0.139
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_48	-126489.58	253001.16	242504.41	88889.21	0.3775,6.1583,3.1985,2.6712,0.1749,0.1898,5.4648,0.4142,3.9722,4.49,0.1458
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_49	-151940.23	303902.46	298846.18	126794.07	0.3917,7.6805,2.4984,1.8741,0.2195,0.265,8.0783,0.3273,2.7514,3.7199,0.2119
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_50	-125100.06	250222.12	272198.93	66725.29	0.9851,10.9994,6.6439,5.7067,0.1343,0.0856,4.2537,0.3614,2.9755,3.2698,0.1714
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_51	-152058.13	304138.26	272549.99	92680.67	0.5546,9.3499,3.1778,2.3367,0.0892,0.2006,6.1467,0.7683,4.8472,4.6993,0.1164
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_52	-161566.99	323155.98	296975.46	52626.96	0.4938,9.2935,3.0879,5.6016,0.0856,0.1347,3.9689,0.7236,5.3368,2.9073,0.104
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_53	-154520.48	309062.96	275349.12	110741.62	1.2126,9.8872,1.641,1.6753,0.0772,0.1737,3.5114,0.7732,2.1447,1.9877,0.0748
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_54	-144889.75	289801.5	262320.67	85776.94	0.6171,8.6855,3.8987,2.5397,0.1469,0.2861,4.4178,0.6999,2.924,6.7173,0.1748
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_55	-279174.01	558370.02	664510.88	119007.21	1.012,5.5648,2.3271,1.8158,0.0942,0.1638,2.3652,0.5413,2.8678,3.3873,0.1976
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_56	-132835.72	265693.44	259374.24	63159.31	0.9701,6.0343,1.91,5.8666,0.1002,0.0775,5.0561,0.4723,6.4651,1.9476,0.1188
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_57	-116793.09	233608.18	223014.33	74211.92	0.9542,3.9301,2.1944,2.8736,0.233,0.1722,2.9795,0.7879,4.7666,2.2829,0.1638
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_58	-135972.97	271967.94	276111.13	74944.52	0.944,6.0906,2.9688,5.2346,0.2186,0.1585,6.2887,0.7185,1.8109,2.4471,0.1707
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_59	-125165.03	250352.06	259714.31	73694.65	1.1623,10.3329,4.8295,4.4774,0.1574,0.1217,3.9259,0.7045,2.2404,1.9614,0.1512
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_60	-130633.27	261288.54	239759.63	103998.46	0.3444,5.7118,6.8495,2.1483,0.0944,0.191,6.4984,0.7422,4.4899,5.6225,0.1344
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_61	-121340.86	242703.72	241528.67	114426.55	1.2604,4.4783,2.8664,2.0121,0.1331,0.1234,4.7321,0.3907,2.5526,1.8701,0.1233
