Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1m, nu2m, nu1f, nu2f, m12, m21, T1, T2, T3)
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_1	-2307351.63	4614725.26	26387326.01	80246.43	7.3239,0.4432,0.8202,5.6018,4.2542,6.1938,0.319,1.268,0.1727,0.2999,2.3603
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_2	-1359071.43	2718164.86	4413453.08	85362.2	0.134,5.1391,2.5168,6.5783,5.8477,4.2195,3.9623,2.3167,0.2187,0.541,1.2195
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_3	-1049557.59	2099137.18	3967390.49	97972.92	0.671,2.9377,5.8433,0.1589,5.1034,6.0139,7.0825,3.7608,5.7439,0.129,0.2815
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_4	-2183170.63	4366363.26	21820049.5	584389.55	0.2814,0.3741,0.1701,0.4739,0.1957,0.24,6.1142,4.3326,4.4327,1.7945,0.3981
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_5	-6470932.64	12941887.28	9973516079.4	162090.03	0.3431,4.9698,5.966,0.7639,0.3018,1.1686,5.3855,0.9771,1.1967,0.5799,4.4893
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_6	-2343498.39	4687018.78	27427092.61	84725.08	0.1321,3.6471,0.4607,3.1412,2.0038,3.4998,4.6982,0.8485,5.4994,0.6486,2.3207
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_7	-864514.45	1729050.9	2129930.46	132079.15	0.2958,0.3779,5.3592,1.339,2.0778,0.1806,0.4406,4.098,2.3642,1.2568,0.1932
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_8	-1758414.98	3516851.96	9091119.49	141690.33	2.3176,0.1687,1.1129,0.2052,6.5569,6.1668,0.8965,0.3128,2.5301,0.3834,0.295
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_9	-1054644.14	2109310.28	19644546.88	97557.55	1.4887,0.1492,2.7787,2.6299,3.08,2.4637,2.1646,1.3663,0.1622,2.9948,0.2097
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_10	-2997603.62	5995229.24	104720194.33	468168.64	2.998,1.0317,1.7568,0.1612,0.4555,0.2434,3.5892,0.3046,1.7269,5.567,0.4945
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_11	-2890187.3	5780396.6	71845698.58	144467.52	1.0467,0.2485,0.3355,5.2369,5.1693,0.4526,0.4629,3.2492,0.4434,0.142,1.7149
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_12	-6254693.54	12509409.08	10148160599.53	236883.25	0.5075,1.1049,0.3941,1.2092,1.1836,0.1574,0.2253,0.8819,0.4208,0.7397,1.9781
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_13	-2267310.27	4534642.54	16447931.95	137162.15	0.3219,0.2773,0.6882,7.593,0.2971,0.5392,1.2724,0.787,6.8985,2.2443,1.0851
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_14	-5150859.77	10301741.54	2937394433.96	125856.72	4.3415,2.5539,0.2026,1.255,3.8562,1.9791,0.5193,4.3463,5.7971,3.6261,2.6469
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_15	-2673638.79	5347299.58	51823212.08	66072.96	7.3999,5.048,2.031,7.0493,5.9991,0.6299,0.4711,0.1246,0.1905,5.2039,3.7586
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_1	-1406972.66	2813967.32	3489779.58	123863.45	0.5853,0.2847,12.3215,0.3547,4.425,0.2561,0.5424,4.8291,0.6794,0.7872,0.1164
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_2	-1865645.95	3731313.9	11429572.76	108302.02	0.5152,0.1907,15.5059,2.6408,7.8049,0.5218,0.8752,1.554,4.5508,0.3932,0.0668
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_3	-1486672.89	2973367.78	36187443.31	101698.97	0.1599,0.2646,6.2608,4.7345,4.5888,0.6058,0.5418,9.4669,4.9857,1.4102,0.2528
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_4	-1001740.15	2003502.3	3475779.87	241257.67	0.492,0.8019,2.1471,1.4952,1.6541,0.2896,0.2569,14.3807,0.8678,0.3525,0.4801
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_5	-1326045.82	2652113.64	5429618.25	135198.6	0.3293,0.1174,2.3697,2.9021,3.7335,0.0747,0.4864,2.049,1.0712,2.9182,0.4343
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_6	-1743437.28	3486896.56	9732129.41	115863.8	0.1069,0.9207,2.6607,2.1105,5.5268,0.1307,0.7736,4.5818,3.4562,2.641,0.7683
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_7	-569356.13	1138734.26	1456762.78	108892.16	0.0813,0.1879,4.1002,0.386,1.7019,0.5253,0.5798,6.2232,2.5584,4.6358,0.1164
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_8	-923881.11	1847784.22	2216620.45	174771.4	0.3382,0.3306,3.8223,3.1782,2.4555,0.5405,0.4379,1.9911,0.6916,0.3782,0.2441
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_9	-728708.61	1457439.22	2000292.91	118557.84	0.4244,1.3629,2.3532,0.5095,3.2987,0.4402,0.9033,1.813,5.4117,0.86,0.3654
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_10	-1451560.76	2903143.52	55389195.07	69573.72	0.1106,0.5183,7.9586,4.4293,5.4199,0.2828,1.0611,8.4515,3.0408,3.2242,0.1313
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_11	-359831.68	719685.36	687772.52	190839.18	0.1196,0.8346,1.3838,0.5973,1.1812,0.407,0.6794,2.2561,0.7479,4.3901,0.1089
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_12	-990389.86	1980801.72	3124370.28	86600.33	0.1602,0.5925,5.2412,0.5653,3.5463,0.2903,0.5082,3.2924,7.0018,3.9912,0.4315
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_13	-1420534.18	2841090.36	6752593.1	132563.53	0.0865,0.6935,4.5199,4.0857,0.5259,0.0937,1.1707,3.0099,7.5896,1.9091,0.7381
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_14	-848108.27	1696238.54	5880896.23	67268.13	0.2104,0.6246,10.2134,4.4421,0.7479,0.1407,0.2479,2.2876,0.8046,4.2785,0.1082
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_15	-633663.45	1267348.9	1301316.95	184954.55	0.9694,0.0954,3.5436,0.9342,1.3875,0.0955,0.1807,3.202,1.1062,0.4855,0.0706
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_16	-1388600.5	2777223.0	4140478.25	76207.16	0.8071,0.4507,11.6296,0.9246,7.0683,0.1835,0.1555,8.6347,8.238,2.0656,0.3255
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_17	-951391.03	1902804.06	2501142.61	66562.39	0.4825,0.6972,9.6955,0.3665,4.8601,0.1027,0.1531,6.4699,1.6123,4.5855,0.0528
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_18	-2260167.91	4520357.82	176739677.31	91451.87	0.761,0.1131,18.5626,3.7912,8.1687,0.4783,0.4841,13.6536,4.7013,0.6736,0.1728
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_19	-886935.51	1773893.02	2320741.9	216493.25	0.1367,0.1456,1.352,1.3789,5.8441,0.0641,0.4075,13.7636,8.9272,4.9575,0.1937
sec_contact_bottle_schange_thr_epoch	Round_2_Replicate_20	-1081179.01	2162380.02	4862157.17	125051.2	0.1309,1.4084,15.134,1.1075,0.6577,0.3771,0.3002,4.6749,9.6278,1.5992,0.6572
