Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1m, nu2m, nu1f, nu2f, m12, m21, T1, T2, T3)
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_1	-627989.82	1256001.64	1346672.74	226974.76	7.2228,1.432,0.7596,0.5159,5.695,0.3134,1.2452,1.9315,0.4341,0.4256,0.1697
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_2	-2935689.38	5871400.76	46297386.61	200312.7	1.6207,0.554,3.2916,0.7744,0.1938,4.0872,2.0383,0.1624,1.1859,0.1445,1.0767
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_3	-1973484.3	3946990.6	7709531.18	105408.74	0.934,0.195,0.559,5.2974,0.2523,7.589,2.7241,1.4105,4.7105,2.4486,0.6251
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_4	-9073457.67	18146937.34	3625121032301.72	194742.85	0.7194,1.324,1.755,0.1476,0.4913,0.9988,0.7012,0.2447,0.3112,1.3659,3.1876
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_5	-5192796.41	10385614.82	1247971306.81	180234.5	4.1627,0.901,0.5223,2.1719,0.2944,1.2187,5.7363,1.0296,3.5343,0.3864,2.3243
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_6	-3588892.01	7177806.02	90957408.75	124949.13	1.0246,0.5152,1.1956,4.0486,0.2811,1.5806,1.0203,0.3836,0.8551,4.8723,2.0489
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_7	-1341539.01	2683100.02	4175806.58	207481.44	0.5,2.2559,0.5188,1.8961,0.6185,4.4547,0.1903,1.6327,0.6051,0.8444,0.2678
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_8	-1215706.86	2431435.72	4602317.55	106087.04	1.5268,0.1944,0.9594,0.4348,2.063,5.1269,0.7726,0.8603,6.2048,0.4827,0.7982
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_9	-3162950.72	6325923.44	75044581.4	99712.22	0.22,0.213,3.6675,0.4008,7.6426,1.5477,0.2049,0.6022,2.0573,0.2653,1.2806
sec_contact_bottle_schange_thr_epoch	Round_1_Replicate_10	-4722622.63	9445267.26	515374893.62	226656.75	2.0295,0.3389,0.4911,4.8364,0.4437,0.1592,2.7636,0.845,5.8756,0.8638,1.7962
