Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1f, nu2f, m12, m21, T1, T2)
sec_contact_schange	Round_2_Replicate_30	-204361.84	408739.68	433232.57	75500.67	1.9704,2.1148,0.1786,0.2023,3.6961,1.6532,10.4272,0.4793
sec_contact_schange	Round_3_Replicate_1	-644797.73	1289611.46	9070829.09	77199.0	2.4179,25.445,0.7407,0.1602,6.6925,0.3655,3.6903,0.8173
sec_contact_schange	Round_3_Replicate_2	-491106.49	982228.98	3405864.62	105905.3	0.5969,2.7712,0.9841,0.2276,5.5792,0.2818,1.7917,0.0965
sec_contact_schange	Round_3_Replicate_3	-562936.11	1125888.22	6540665.65	20012.47	0.3164,14.8502,0.9032,0.3261,5.6203,1.3886,20.0138,0.1351
sec_contact_schange	Round_3_Replicate_4	-486798.21	973612.42	2734200.32	40392.48	0.3807,5.0071,0.914,0.1749,2.9565,0.6127,20.5111,0.6559
sec_contact_schange	Round_3_Replicate_5	-519521.19	1039058.38	1360100.52	36757.35	0.4911,15.0971,0.1524,0.0947,1.2086,0.9054,13.6871,0.1862
sec_contact_schange	Round_3_Replicate_6	-135703.82	271423.64	317368.06	30647.49	1.7369,20.0789,0.366,0.2408,2.6323,0.6344,12.7722,0.4527
sec_contact_schange	Round_3_Replicate_7	-189304.23	378624.46	397919.23	69064.26	0.39,5.7052,0.1349,0.1735,6.2154,1.1908,6.3373,0.1967
sec_contact_schange	Round_3_Replicate_8	-303892.91	607801.82	701789.03	80026.47	0.3983,2.9112,0.1586,0.4711,6.178,0.6908,5.1697,0.1328
sec_contact_schange	Round_3_Replicate_9	-473398.02	946812.04	1811115.63	99093.98	0.187,3.3214,0.472,0.5168,5.498,1.3267,2.4577,0.1259
sec_contact_schange	Round_3_Replicate_10	-340362.18	680740.36	725718.96	104654.77	0.7555,2.6822,0.2441,0.409,0.9692,0.999,3.5198,0.2829
sec_contact_schange	Round_3_Replicate_11	-428639.76	857295.52	1874498.44	87853.29	1.0842,3.4661,0.3966,0.1642,1.2395,0.1883,3.4084,0.1362
sec_contact_schange	Round_3_Replicate_12	-150652.64	301321.28	271086.59	108980.99	0.389,6.4562,0.5523,0.2855,1.0445,1.0232,3.9486,0.973
sec_contact_schange	Round_3_Replicate_13	-190773.53	381563.06	435399.84	135062.46	0.9026,3.9344,0.3148,0.0677,1.2054,1.6055,2.2554,0.1914
