Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1f, nu2f, m12, m21, T1, T2)
sec_contact_schange	Round_1_Replicate_1	-1122019.58	2244055.16	3583146.91	286313.41	1.5562,0.1472,0.1722,2.2466,1.1774,0.1717,1.8072,0.4418
sec_contact_schange	Round_1_Replicate_2	-1459083.04	2918182.08	11466051.7	246080.46	0.486,0.3333,0.3729,5.9761,0.8751,2.5028,0.8178,1.7824
sec_contact_schange	Round_1_Replicate_3	-1532469.43	3064954.86	38934200.58	113293.26	2.5308,0.4285,2.7544,3.6643,1.5692,1.6586,3.7928,0.3451
sec_contact_schange	Round_1_Replicate_4	-815071.35	1630158.7	6414101.74	147210.72	6.0062,1.5118,0.6304,2.4764,2.414,0.2222,3.8132,2.5439
sec_contact_schange	Round_1_Replicate_5	-802131.79	1604279.58	3196771.82	191163.28	1.6988,0.3891,0.5035,2.8137,2.148,0.5302,2.618,0.6121
sec_contact_schange	Round_1_Replicate_6	-754056.24	1508128.48	1449965.99	229093.27	0.9379,1.3337,0.4864,4.0748,0.6876,0.6315,0.3855,0.3045
sec_contact_schange	Round_1_Replicate_7	-912426.71	1824869.42	10623564.77	224446.31	0.6726,1.0741,0.865,0.1654,3.6905,6.6661,2.6338,0.2829
sec_contact_schange	Round_1_Replicate_8	-1853625.35	3707266.7	1280603220.3	235848.34	0.8125,0.8499,0.9776,1.5895,3.277,3.3178,0.3501,0.421
sec_contact_schange	Round_1_Replicate_9	-1871426.67	3742869.34	805792161.35	115118.08	0.1272,3.6276,0.4484,6.1163,6.2934,2.2955,3.4514,2.5887
sec_contact_schange	Round_1_Replicate_10	-1087448.33	2174912.66	3688353.54	139751.65	0.2151,2.4888,3.3617,0.2813,0.3616,0.2469,4.6135,0.4192
sec_contact_schange	Round_1_Replicate_11	-1322445.38	2644906.76	194886043.8	89038.73	7.1934,0.2305,0.4767,3.0676,0.1734,6.2504,4.5646,0.2968
sec_contact_schange	Round_1_Replicate_12	-1595986.33	3191988.66	27512590.72	166712.33	2.2525,6.801,0.2624,7.7079,0.8659,4.1558,4.3843,1.268
sec_contact_schange	Round_1_Replicate_13	-1548359.22	3096734.44	8418231.63	155196.06	0.2156,1.235,6.9325,1.3265,0.1981,0.2916,2.7164,0.4365
sec_contact_schange	Round_1_Replicate_14	-4307839.52	8615695.04	11054362741381.89	95834.69	0.2864,2.6441,8.2274,4.8441,8.2145,3.8613,2.4387,0.9167
sec_contact_schange	Round_1_Replicate_15	-599468.09	1198952.18	1379362.07	335888.86	5.3211,0.2407,0.1901,3.0686,1.7691,0.2216,0.1322,0.1992
sec_contact_schange	Round_2_Replicate_1	-993250.4	1986516.8	3373278.45	248422.7	3.9648,0.2655,0.5021,1.7134,0.4624,0.0745,0.3791,0.3566
sec_contact_schange	Round_2_Replicate_2	-1081875.09	2163766.18	24271891.63	252432.41	1.5401,0.7465,0.7415,1.2388,4.826,0.0623,0.4152,0.1126
sec_contact_schange	Round_2_Replicate_3	-1804026.01	3608068.02	291556065.26	414223.62	1.4178,0.0639,0.6058,1.9917,5.7688,0.1087,0.0394,0.3438
sec_contact_schange	Round_2_Replicate_4	-701774.39	1403564.78	2391882.8	278897.37	4.0646,0.478,0.3009,1.7672,2.026,0.6204,0.2357,0.1388
sec_contact_schange	Round_2_Replicate_5	-1348407.87	2696831.74	4889084.94	245827.99	12.2436,0.1219,0.5684,11.9421,0.7803,0.5342,0.175,0.0791
sec_contact_schange	Round_2_Replicate_6	-820496.2	1641008.4	2150362.27	289679.95	1.3705,0.2663,0.3763,4.626,0.7299,0.3411,0.3673,0.2623
sec_contact_schange	Round_2_Replicate_7	-474634.87	949285.74	965564.72	324910.94	13.2919,0.5622,0.0694,1.0364,1.0547,0.3587,0.3791,0.165
sec_contact_schange	Round_2_Replicate_8	-541593.85	1083203.7	1013437.08	339893.11	17.2099,0.2887,0.0807,4.7526,0.7464,0.6517,0.1615,0.1519
sec_contact_schange	Round_2_Replicate_9	-433948.02	867912.04	799598.71	305220.82	3.4084,0.658,0.0565,3.5292,2.4137,0.4277,0.3936,0.062
sec_contact_schange	Round_2_Replicate_10	-884052.75	1768121.5	2539660.55	272354.87	2.3292,0.1534,0.5896,9.2866,1.0907,0.2929,0.0462,0.3033
sec_contact_schange	Round_2_Replicate_11	-713627.22	1427270.44	2019661.19	285233.3	8.5179,0.3581,0.1797,7.324,1.9646,0.4012,0.2118,0.0965
sec_contact_schange	Round_2_Replicate_12	-529486.94	1058989.88	1058927.6	283250.97	1.4628,0.616,0.3632,3.1146,0.909,0.1132,0.2558,0.0609
sec_contact_schange	Round_2_Replicate_13	-903084.12	1806184.24	4677637.9	273267.38	1.6356,0.3895,0.5514,4.3953,1.8386,0.2406,0.0425,0.3054
sec_contact_schange	Round_2_Replicate_14	-557165.03	1114346.06	954533.47	457415.63	13.3368,0.1974,0.093,1.4858,3.2201,0.0665,0.058,0.4256
sec_contact_schange	Round_2_Replicate_15	-1111752.47	2223520.94	3288808.76	382468.72	4.7888,0.1544,0.1154,2.6558,0.724,0.0715,0.1691,0.4222
sec_contact_schange	Round_2_Replicate_16	-874911.43	1749838.86	2133568.0	384082.98	18.2408,0.191,0.1307,4.2154,3.6717,0.1048,0.1897,0.4498
sec_contact_schange	Round_2_Replicate_17	-1087994.47	2176004.94	2273025.64	381168.24	4.8411,0.2618,0.075,4.2672,2.3844,0.0664,0.2514,0.5729
sec_contact_schange	Round_2_Replicate_18	-565916.04	1131848.08	1441448.76	313777.35	1.6044,0.5699,0.069,1.5491,0.7953,0.2804,0.4951,0.0505
sec_contact_schange	Round_2_Replicate_19	-497293.22	994602.44	1045028.98	272328.03	12.5642,0.508,0.3866,0.9416,0.832,0.2414,0.0932,0.4524
sec_contact_schange	Round_2_Replicate_20	-827515.81	1655047.62	1782713.12	259891.96	2.3054,0.1714,0.4991,11.8149,0.449,0.1148,0.0564,0.3873
sec_contact_schange	Round_2_Replicate_21	-417671.42	835358.84	753649.26	391019.75	19.8195,0.2398,0.0648,2.8904,1.5295,0.1037,0.0941,0.119
sec_contact_schange	Round_2_Replicate_22	-801738.33	1603492.66	2911168.91	308578.7	3.5786,0.8641,0.1609,2.54,5.0923,0.0775,0.0354,0.3812
sec_contact_schange	Round_2_Replicate_23	-1877890.08	3755796.16	12553713.5	377466.9	1.6267,0.0844,0.1662,10.2283,3.4693,0.0843,0.396,0.0962
sec_contact_schange	Round_2_Replicate_24	-1157991.2	2315998.4	4396559.49	305255.95	3.52,0.1753,0.2407,2.6801,1.1092,0.1029,0.443,0.2636
