Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1f, nu2f, m12, m21, T1, T2)
sec_contact_schange	Round_1_Replicate_1	-731589.07	1463194.14	1882737.35	399662.52	0.1889,0.1623,0.5438,1.2203,2.1926,1.3215,0.1982,0.4215
sec_contact_schange	Round_1_Replicate_2	-834882.67	1669781.34	2399115.2	243081.7	0.3061,0.177,1.5468,0.2235,0.365,0.6896,0.3502,3.2547
sec_contact_schange	Round_1_Replicate_3	-599075.39	1198166.78	1246834.03	331116.05	0.1681,2.1468,2.0764,0.1347,0.9719,2.0553,0.4281,0.303
sec_contact_schange	Round_1_Replicate_4	-1527660.47	3055336.94	4534580.43	309763.98	0.4228,0.2856,0.2024,3.3789,0.6647,2.077,0.6153,2.8575
sec_contact_schange	Round_1_Replicate_5	-1053008.44	2106032.88	72936184.08	62159.59	1.1912,6.4138,0.7112,0.8249,6.4804,0.4315,8.0997,0.1278
sec_contact_schange	Round_1_Replicate_6	-1007390.41	2014796.82	2550773.57	327233.28	0.3858,2.0474,0.214,0.7456,0.2268,0.4876,0.2286,0.3536
sec_contact_schange	Round_1_Replicate_7	-1325214.25	2650444.5	21098192.83	385539.43	0.6839,0.1485,1.1398,0.4283,3.8011,0.2151,2.9952,1.1861
sec_contact_schange	Round_1_Replicate_8	-1052915.64	2105847.28	4731711.76	157524.17	1.5172,0.1396,4.3838,0.5205,0.3899,2.7018,0.405,1.1168
sec_contact_schange	Round_1_Replicate_9	-1975044.12	3950104.24	515373375.95	192359.12	0.6555,2.6285,5.5838,0.4904,4.1447,0.1371,0.3721,1.9937
sec_contact_schange	Round_1_Replicate_10	-583768.11	1167552.22	1345413.36	297203.39	2.7034,0.5794,0.1887,0.2053,0.7589,0.642,1.8738,0.608
sec_contact_schange	Round_1_Replicate_11	-1812004.58	3624025.16	6633944.64	181238.35	0.1713,4.862,0.2991,2.6013,0.1274,0.6813,1.9193,3.1893
sec_contact_schange	Round_1_Replicate_12	-1330907.89	2661831.78	94879711.3	116351.52	8.2734,5.7565,1.3983,2.143,0.5343,1.8226,0.6268,1.602
sec_contact_schange	Round_1_Replicate_13	-1829979.31	3659974.62	7634084.53	257017.47	0.1651,0.2461,0.3129,0.3474,0.3459,0.2572,3.5387,0.3898
sec_contact_schange	Round_1_Replicate_14	-1426069.3	2852154.6	141851876.25	408161.11	1.1613,0.7134,0.8853,0.4521,6.2607,0.4905,0.3581,5.1392
sec_contact_schange	Round_1_Replicate_15	-1813827.12	3627670.24	2343974374.73	70441.64	0.477,4.0699,5.1184,4.3377,5.9116,0.2172,6.6791,0.2493
sec_contact_schange	Round_2_Replicate_1	-429487.5	858991.0	1062205.27	265182.28	2.4098,0.6076,0.2542,0.5229,2.0883,2.09,0.8988,0.259
sec_contact_schange	Round_2_Replicate_2	-857901.55	1715819.1	2706653.62	339059.29	1.3319,0.1803,0.3363,0.6547,0.5044,0.2464,0.5445,0.6302
sec_contact_schange	Round_2_Replicate_3	-956216.12	1912448.24	2530761.28	374631.33	3.6597,0.4378,0.1523,0.3973,0.2548,0.7647,0.4996,1.1603
sec_contact_schange	Round_2_Replicate_4	-760986.14	1521988.28	2846732.99	106974.99	5.4308,1.3829,0.4683,0.6227,2.3201,0.1784,4.2648,0.2258
sec_contact_schange	Round_2_Replicate_5	-440589.63	881195.26	916340.28	208274.07	2.3232,1.4977,0.0769,0.1322,0.9141,2.5584,3.0092,0.184
sec_contact_schange	Round_2_Replicate_6	-916361.1	1832738.2	3215236.13	384224.1	1.5968,0.2498,0.6146,0.2527,2.6014,0.275,0.6239,0.6755
sec_contact_schange	Round_2_Replicate_7	-373888.89	747793.78	904855.11	311440.42	2.2017,1.1981,0.4632,0.2092,1.7856,1.5907,0.6171,0.9868
sec_contact_schange	Round_2_Replicate_8	-1353254.17	2706524.34	4239352.71	144397.49	5.1254,0.2866,0.1813,0.1543,0.2059,0.5171,7.5934,0.7746
sec_contact_schange	Round_2_Replicate_9	-323809.72	647635.44	799354.82	180644.91	2.996,1.447,0.3458,0.1466,0.7365,1.1739,2.0478,0.2236
sec_contact_schange	Round_2_Replicate_10	-510234.07	1020484.14	1357150.46	300137.45	1.0475,1.9745,0.4242,0.1767,0.1924,0.6276,0.6698,0.3439
sec_contact_schange	Round_2_Replicate_11	-1448807.18	2897630.36	4698145.56	180190.53	1.5704,1.0361,0.1805,0.1373,0.6555,0.1709,5.9583,0.5373
sec_contact_schange	Round_2_Replicate_12	-709058.0	1418132.0	2077092.69	323524.88	3.6982,0.1561,0.4443,0.1,0.4306,1.5427,0.6162,0.8084
sec_contact_schange	Round_2_Replicate_13	-1012865.07	2025746.14	2571777.53	251529.36	0.8885,0.32,0.1053,0.2455,0.6431,1.3857,6.1199,0.708
sec_contact_schange	Round_2_Replicate_14	-485585.58	971187.16	1246064.71	209205.27	4.0653,1.5956,0.6857,0.0978,0.3266,1.9186,1.3438,0.6045
sec_contact_schange	Round_2_Replicate_15	-1194128.9	2388273.8	3306971.11	298672.25	1.9012,1.1926,0.1186,0.6341,0.426,0.6002,1.158,1.0903
sec_contact_schange	Round_2_Replicate_16	-1115853.34	2231722.68	3057311.08	305267.94	2.5082,0.9211,0.1441,0.544,0.6414,0.1585,2.1066,1.7406
sec_contact_schange	Round_2_Replicate_17	-1043654.04	2087324.08	3386720.63	235244.83	3.2802,2.2226,0.0881,0.3904,0.2859,0.1707,1.5098,0.3256
sec_contact_schange	Round_2_Replicate_18	-878727.25	1757470.5	2210808.17	139380.88	3.2154,1.5671,0.0686,0.5277,0.9053,0.6879,5.3747,0.2391
sec_contact_schange	Round_2_Replicate_19	-1318160.31	2636336.62	4777881.59	251476.84	1.7953,0.6835,0.1271,0.1002,0.6684,0.2607,2.8418,0.2425
sec_contact_schange	Round_2_Replicate_20	-529819.99	1059655.98	1353821.4	149696.06	9.0835,0.4817,0.5811,0.7868,0.7569,0.2625,3.2561,1.0479
sec_contact_schange	Round_2_Replicate_21	-1832029.13	3664074.26	7731494.67	779092.16	6.3091,2.1965,0.0585,0.0955,1.457,0.2157,0.9466,1.8056
sec_contact_schange	Round_2_Replicate_22	-511881.88	1023779.76	1077677.76	203997.65	3.9025,0.6405,0.1451,0.2407,0.3584,1.4426,3.423,0.4932
sec_contact_schange	Round_2_Replicate_23	-411047.45	822110.9	898495.01	256744.59	3.4322,0.3545,0.4252,0.2968,0.4438,0.9199,1.4907,1.2236
sec_contact_schange	Round_2_Replicate_24	-1467835.22	2935686.44	5284125.48	855496.55	2.4125,0.241,0.1049,0.0546,0.3994,1.9145,6.5642,2.3904
sec_contact_schange	Round_2_Replicate_25	-680956.37	1361928.74	1887081.06	395666.35	0.9966,0.2436,0.3552,0.3078,2.4494,0.1862,4.5753,1.089
sec_contact_schange	Round_2_Replicate_26	-1264380.72	2528777.44	4916359.08	225930.58	4.9952,1.8992,0.6267,0.1778,0.3662,0.1855,1.1912,2.2658
sec_contact_schange	Round_2_Replicate_27	-1062168.31	2124352.62	3118598.46	146600.36	3.1769,0.47,0.0718,0.2933,0.7942,0.8427,5.9369,0.1611
sec_contact_schange	Round_2_Replicate_28	-1943538.45	3887092.9	7074749.33	204355.19	0.7418,0.2124,0.0896,0.1029,0.5696,0.544,6.5433,0.3564
sec_contact_schange	Round_2_Replicate_29	-813044.03	1626104.06	2292430.91	123831.82	4.3169,0.3138,0.1439,0.2468,1.2398,0.8135,6.4992,0.1955
sec_contact_schange	Round_2_Replicate_30	-414972.44	829960.88	979572.79	268462.62	2.2987,1.9918,0.566,0.0944,0.2461,1.4492,0.5893,0.3008
sec_contact_schange	Round_3_Replicate_1	-677759.96	1355535.92	1873805.63	216266.94	2.2988,0.5084,0.7785,0.2804,1.6839,2.9041,0.8168,0.1094
sec_contact_schange	Round_3_Replicate_2	-1065894.01	2131804.02	3266932.56	181300.66	0.9392,0.5135,0.8845,0.1756,0.8191,0.7835,4.1698,0.1686
sec_contact_schange	Round_3_Replicate_3	-1916266.64	3832549.28	10583262.97	153975.27	2.0859,0.3657,0.1328,0.0563,0.439,0.4702,5.5845,0.1004
sec_contact_schange	Round_3_Replicate_4	-364934.15	729884.3	708044.09	293816.56	1.986,0.509,0.1492,0.2691,0.6494,2.6406,1.6714,0.3633
sec_contact_schange	Round_3_Replicate_5	-1059070.37	2118156.74	4553036.87	265908.14	1.6556,0.7171,0.1873,0.059,0.3667,0.5625,1.4656,0.1075
sec_contact_schange	Round_3_Replicate_6	-227559.55	455135.1	418621.37	319622.55	5.9855,0.9621,0.1979,0.1974,1.2785,1.986,0.7481,0.5559
