Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1f, nu2f, m12, m21, T1, T2)
sec_contact_schange	Round_1_Replicate_1	-1764451.51	3528919.02	27458102.01	292340.29	0.1791,3.8855,0.9652,1.3315,0.277,4.73,0.4173,0.1466
sec_contact_schange	Round_1_Replicate_2	-547149.08	1094314.16	1341507.07	221213.88	0.3454,3.346,1.2856,0.6819,0.1547,1.6527,4.3738,6.1597
sec_contact_schange	Round_1_Replicate_3	-454839.29	909694.58	879945.13	374420.98	1.0679,0.2056,0.2828,0.9225,0.6807,1.0728,0.1241,0.2343
sec_contact_schange	Round_1_Replicate_4	-1439133.3	2878282.6	15965724.03	513158.47	0.1907,0.5443,0.2892,1.4907,0.63,5.0977,0.8278,4.9487
sec_contact_schange	Round_1_Replicate_5	-700084.11	1400184.22	4441948.22	348067.46	1.8244,0.4946,0.3828,0.748,3.8683,0.5462,0.1384,0.5594
sec_contact_schange	Round_1_Replicate_6	-2339756.36	4679528.72	4318976695.01	169059.98	0.8841,0.6639,1.4872,6.0862,0.2092,3.6865,1.0957,5.7328
sec_contact_schange	Round_1_Replicate_7	-1104249.35	2208514.7	2492623.16	226036.29	0.8055,4.5128,0.1399,8.1508,4.4329,0.2204,0.1219,0.3635
sec_contact_schange	Round_1_Replicate_8	-943888.9	1887793.8	2014842.35	206884.95	0.8228,2.0798,4.1066,3.7147,0.1329,0.2982,0.3206,0.1379
sec_contact_schange	Round_1_Replicate_9	-1049076.1	2098168.2	7557755.7	186521.01	2.3057,1.6322,0.3046,2.9497,4.2611,0.7456,0.1605,1.6105
sec_contact_schange	Round_1_Replicate_10	-1144970.52	2289957.04	3062399.04	209543.0	0.9243,4.8443,0.3149,1.4668,0.2107,1.6599,1.2317,0.7214
sec_contact_schange	Round_1_Replicate_11	-583994.35	1168004.7	1536039.35	353961.39	1.4618,0.3208,0.4629,0.1551,0.2376,0.349,0.1458,0.1579
sec_contact_schange	Round_1_Replicate_12	-882829.38	1765674.76	2233133.08	364166.44	0.5708,2.5842,0.3645,0.9594,0.3086,2.063,0.8914,6.8138
sec_contact_schange	Round_1_Replicate_13	-1396460.66	2792937.32	44053679.06	249638.45	0.5222,2.2184,0.3298,3.5696,5.4469,1.1439,0.1838,0.2443
sec_contact_schange	Round_1_Replicate_14	-716626.2	1433268.4	3750924.54	245805.85	4.4525,0.4588,0.4845,0.9755,0.1669,3.0963,0.2656,0.7781
sec_contact_schange	Round_1_Replicate_15	-696421.9	1392859.8	1904760.23	279615.73	0.4454,0.3568,0.4188,1.5931,2.4301,0.536,0.1728,1.8266
sec_contact_schange	Round_2_Replicate_1	-858627.12	1717270.24	2462495.19	281735.72	2.1635,0.1156,0.8824,1.0003,0.6877,0.2922,0.0578,0.4098
sec_contact_schange	Round_2_Replicate_2	-377236.36	754488.72	702145.63	478872.77	0.283,0.2908,0.1986,0.3178,0.3313,1.9751,0.0537,0.1275
sec_contact_schange	Round_2_Replicate_3	-945980.14	1891976.28	2447919.48	367184.03	0.6081,0.3268,0.1404,2.2735,1.9553,2.4044,0.0431,0.4799
sec_contact_schange	Round_2_Replicate_4	-719918.96	1439853.92	1957405.24	285497.19	0.9066,0.2033,0.6579,1.6685,1.3518,0.8541,0.0706,0.6378
sec_contact_schange	Round_2_Replicate_5	-765431.05	1530878.1	2361404.81	333760.38	0.7612,0.0627,0.674,1.3072,1.2599,2.404,0.3221,0.3406
sec_contact_schange	Round_2_Replicate_6	-621016.61	1242049.22	1760417.42	364952.67	0.3411,0.3299,0.9376,3.7774,0.3678,2.2719,0.0752,0.0646
sec_contact_schange	Round_2_Replicate_7	-718840.5	1437697.0	1959291.15	507213.2	2.4703,0.0858,0.1426,0.4952,2.0634,0.3082,0.0958,0.2593
