Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1f, nu2f, m12, m21, T1, T2)
sec_contact_schange	Round_1_Replicate_1	-4093454.88	8186925.76	3178074024004.85	123967.02	1.2674,0.1496,8.0685,3.8161,7.0533,0.9401,0.4988,4.6753
sec_contact_schange	Round_1_Replicate_2	-571704.92	1143425.84	1486858.37	372827.24	0.1815,2.3122,0.9023,0.1726,1.4973,2.8119,0.1855,1.8325
sec_contact_schange	Round_1_Replicate_3	-891345.63	1782707.26	2064367.35	218813.99	0.5949,0.1389,4.0722,0.2019,0.2026,2.2277,0.2087,0.9031
sec_contact_schange	Round_1_Replicate_4	-1473422.61	2946861.22	4673774.52	188587.21	0.1232,0.259,1.0128,5.7905,0.5355,0.3942,3.6978,0.417
sec_contact_schange	Round_1_Replicate_5	-897255.06	1794526.12	9692659.77	109852.04	1.135,0.3589,2.0764,1.7818,1.2292,0.438,7.3125,1.5074
sec_contact_schange	Round_1_Replicate_6	-727829.06	1455674.12	2206368.42	268745.68	1.2004,0.7668,0.2017,8.1546,4.2962,0.1735,0.6934,0.1861
sec_contact_schange	Round_1_Replicate_7	-1310009.86	2620035.72	25338493.18	234343.74	1.6764,3.3058,0.2414,7.1363,4.156,0.3174,0.2069,0.1601
sec_contact_schange	Round_1_Replicate_8	-458607.0	917230.0	1008147.97	307370.04	0.4289,0.2143,0.6008,0.6153,1.546,0.9192,0.9909,5.6241
sec_contact_schange	Round_1_Replicate_9	-374902.32	749820.64	932582.08	396068.23	4.1793,5.481,0.1653,0.2657,6.0293,1.461,0.1885,1.1516
sec_contact_schange	Round_1_Replicate_10	-2115086.94	4230189.88	1874072924.05	137467.99	0.1861,0.2049,1.4283,6.5909,2.903,0.3451,1.7336,2.9956
sec_contact_schange	Round_1_Replicate_11	-1094734.02	2189484.04	4031645.68	96932.12	3.3307,3.15,0.2682,5.6403,0.177,0.5264,4.0955,0.3425
sec_contact_schange	Round_1_Replicate_12	-1680024.94	3360065.88	133005698.15	152741.61	3.6646,6.8461,0.5131,7.7636,1.3422,3.3593,1.2084,4.4059
sec_contact_schange	Round_1_Replicate_13	-496051.78	992119.56	1125710.71	304206.27	0.1278,1.3916,0.5863,0.6582,1.1626,1.6244,1.6675,2.7743
sec_contact_schange	Round_1_Replicate_14	-1829526.1	3659068.2	8682296.5	137041.21	0.5013,0.6678,3.089,0.1352,0.3823,0.502,7.124,0.2163
sec_contact_schange	Round_1_Replicate_15	-669492.16	1339000.32	1914737.81	448673.98	6.992,0.5252,0.5049,0.3703,2.626,0.1358,1.4689,4.69
sec_contact_schange	Round_2_Replicate_1	-836687.72	1673391.44	11562576.64	224107.43	6.5061,3.0272,0.4047,0.7099,2.9803,2.9226,0.3457,1.1925
sec_contact_schange	Round_2_Replicate_2	-395195.59	790407.18	791175.77	368114.21	10.2307,21.9283,0.1262,0.331,2.9466,0.8184,0.0556,3.5109
sec_contact_schange	Round_2_Replicate_3	-502473.69	1004963.38	1925883.9	339478.16	16.465,20.9091,0.072,0.2093,17.4016,1.0231,0.6312,0.6122
sec_contact_schange	Round_2_Replicate_4	-410268.28	820552.56	918717.17	805110.2	1.1198,21.2455,0.1679,0.1364,4.603,1.1604,0.1427,4.5831
sec_contact_schange	Round_2_Replicate_5	-674553.49	1349122.98	2014431.75	268366.91	11.6095,7.2565,0.6113,0.1265,1.7256,0.6087,0.146,0.9196
sec_contact_schange	Round_2_Replicate_6	-586862.4	1173740.8	1278276.43	702194.86	2.0025,2.0143,0.1201,0.1434,2.2633,0.7748,0.5259,2.1429
sec_contact_schange	Round_2_Replicate_7	-499966.66	999949.32	1061038.97	651772.03	7.9268,1.9601,0.0636,0.3311,11.7064,1.4161,0.2428,2.0925
sec_contact_schange	Round_2_Replicate_8	-357921.6	715859.2	783645.37	653540.96	12.3491,2.7714,0.1101,0.2632,8.4429,0.4354,0.0545,1.804
sec_contact_schange	Round_2_Replicate_9	-791791.12	1583598.24	2872589.27	297920.67	12.2223,3.7945,0.0738,0.8394,15.3495,0.8452,0.4665,1.385
