WA01	24.49140368015217
WA02	27.212290435239296
WA03	26.66267449781158
WA04	22.746836419596324
WA05	21.57542700595765
WB01	24.072366088476162
WB02	29.520597189300553
WB03	22.62275224516194
WB04	32.65965519388115
WB05	23.531693082800732
WC01	29.457300168634315
WC02	31.950564209501962
WC03	23.484660682106213
WC04	34.07255027003286
WC05	28.571020125576336
WD01	25.23148551983113
WD02	29.218177214910945
WD03	23.862533316204342
WD04	30.90148587553156
WD05	23.55188274959061
WE01	33.485415494319206
WE02	25.743852095578223
WE03	22.821631014522403
WE04	28.963524991971386
WE05	20.873890102501846
WF01	24.54534384115763
WF02	35.596298478326375
WF03	58.94485888548858
WF04	36.944392928189764
WF05	27.32391532053979
WG01	32.218007336487084
WG02	40.50491881853275
WG03	28.70706180972245
WG04	46.04626475461879
WG05	32.25211377793444
WH01	21.6903478899435
WH02	19.088425164220684
WH03	30.8512034852777
WH04	42.99028245739344
WH05	29.851577011309548
avg 29.37102
