Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
anc_asym_mig_size	Round_3_Replicate_8	-74532.5	149081.0	483157.18	6882.93	24.0928,2.2062,3.3475,4.0318,4.1042,0.8156,5.1797,0.3313
anc_asym_mig_size	Round_3_Replicate_9	-46092.86	92201.72	124913.88	10039.03	18.7601,2.8575,0.9524,0.4119,8.3281,0.8966,4.641,0.1216
anc_asym_mig_size	Round_3_Replicate_10	-99285.48	198586.96	417571.49	8302.77	3.3971,10.3821,1.6366,0.5553,5.5248,0.6918,1.7818,0.1774
anc_asym_mig_size	Round_3_Replicate_11	-92862.88	185741.76	3334306.57	3741.22	8.7687,14.7653,1.8881,1.8518,23.8743,0.2012,6.0968,0.1245
anc_asym_mig_size	Round_3_Replicate_12	-88649.21	177314.42	307081.2	10193.21	12.5986,4.3639,1.5573,0.5599,8.8908,2.0224,1.7778,0.2608
anc_asym_mig_size	Round_3_Replicate_13	-125067.19	250150.38	587941.76	8585.23	2.3493,2.8368,2.2712,0.5587,12.6953,2.0487,7.9273,0.6828
anc_asym_mig_size	Round_3_Replicate_14	-86719.34	173454.68	312090.82	12209.82	3.0825,2.0665,1.4915,4.2402,17.6664,1.2104,1.0601,0.3104
anc_asym_mig_size	Round_3_Replicate_15	-55716.85	111449.7	138260.65	6048.45	6.6029,4.3645,2.3913,1.9538,7.045,0.3496,10.8931,0.4804
anc_asym_mig_size	Round_3_Replicate_16	-82955.18	165926.36	203785.1	14568.51	4.0447,1.7498,0.4704,0.8656,6.9968,1.5639,3.4964,0.2341
anc_asym_mig_size	Round_3_Replicate_17	-96755.02	193526.04	307115.44	23375.33	17.0171,1.7458,0.3635,0.3713,4.506,0.3013,0.6727,0.169
anc_asym_mig_size	Round_3_Replicate_18	-58915.05	117846.1	270108.25	4021.6	4.1707,8.6268,2.3277,2.0333,3.7061,0.7783,7.9628,0.2599
