Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, T)
no_mig	Round_4_Replicate_9	-30275.0	60556.0	98548.1	33785.93	0.1545,0.0589,0.0144
no_mig	Round_4_Replicate_10	-29337.67	58681.34	99692.48	34147.03	0.1131,0.042,0.0101
no_mig	Round_4_Replicate_11	-31143.05	62292.1	97856.56	33606.36	0.1812,0.0749,0.0182
no_mig	Round_4_Replicate_12	-31213.69	62433.38	106332.58	32866.96	0.2123,0.0683,0.017
no_mig	Round_4_Replicate_13	-31194.5	62395.0	99770.45	32852.16	0.2196,0.0626,0.0169
no_mig	Round_4_Replicate_14	-29154.88	58315.76	88449.06	34391.57	0.113,0.0379,0.0102
no_mig	Round_4_Replicate_15	-31878.09	63762.18	99925.87	32857.58	0.2359,0.0814,0.021
no_mig	Round_4_Replicate_16	-29546.1	59098.2	84630.01	34571.97	0.122,0.043,0.0119
no_mig	Round_4_Replicate_17	-29888.04	59782.08	91701.85	33994.32	0.1452,0.0503,0.0132
no_mig	Round_4_Replicate_18	-31481.72	62969.44	117610.3	32377.48	0.228,0.0613,0.0151
no_mig	Round_4_Replicate_19	-30152.71	60311.42	90309.89	33929.86	0.1562,0.0535,0.0144
no_mig	Round_4_Replicate_20	-29336.87	58679.74	85929.37	34200.5	0.1212,0.0348,0.0101
no_mig	Round_4_Replicate_21	-29090.97	58187.94	88288.56	34545.88	0.1069,0.038,0.01
no_mig	Round_4_Replicate_22	-29197.42	58400.84	86677.21	34450.62	0.1138,0.0378,0.0103
no_mig	Round_4_Replicate_23	-29089.0	58184.0	85988.0	34750.45	0.1027,0.0378,0.01
no_mig	Round_4_Replicate_24	-29353.55	58713.1	89466.74	34480.45	0.1153,0.0429,0.0111
no_mig	Round_4_Replicate_25	-30782.49	61570.98	95679.0	33503.49	0.1839,0.0652,0.0168
no_mig	Round_4_Replicate_26	-30463.92	60933.84	98382.85	33485.96	0.1734,0.0594,0.0151
no_mig	Round_4_Replicate_27	-29269.66	58545.32	90063.96	34162.28	0.1212,0.0384,0.0104
no_mig	Round_4_Replicate_28	-30146.17	60298.34	101614.13	33451.16	0.1613,0.0523,0.0131
no_mig	Round_4_Replicate_29	-29308.35	58622.7	92147.08	33954.8	0.125,0.0373,0.0101
no_mig	Round_4_Replicate_30	-29099.51	58205.02	87967.19	34537.93	0.1077,0.0379,0.01
no_mig	Round_4_Replicate_31	-30468.99	60943.98	105348.54	33139.06	0.1786,0.0547,0.0137
no_mig	Round_4_Replicate_32	-29757.58	59521.16	89351.19	34346.96	0.1308,0.0494,0.0129
no_mig	Round_4_Replicate_33	-29320.34	58646.68	90862.89	34509.81	0.1115,0.0429,0.0108
no_mig	Round_4_Replicate_34	-30298.64	60603.28	98587.99	33638.32	0.1621,0.0579,0.0145
no_mig	Round_4_Replicate_35	-29380.08	58766.16	94316.61	34151.05	0.1217,0.0428,0.0109
no_mig	Round_4_Replicate_36	-29833.93	59673.86	84563.98	34172.33	0.1391,0.0411,0.0121
no_mig	Round_4_Replicate_37	-31046.16	62098.32	97921.62	33219.28	0.2012,0.0677,0.0176
no_mig	Round_4_Replicate_38	-29346.4	58698.8	100114.17	34202.26	0.1106,0.0422,0.01
no_mig	Round_4_Replicate_39	-29363.03	58732.06	95459.63	34030.12	0.1235,0.0415,0.0106
no_mig	Round_4_Replicate_40	-29677.62	59361.24	96515.42	34240.63	0.1229,0.0491,0.0118
