Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, T)
no_mig	Round_1_Replicate_1	-898285.37	1796576.74	31312698903.54	7981.59	7.1011,0.1668,1.8132
no_mig	Round_1_Replicate_2	-607104.07	1214214.14	219356375.79	5416.02	1.2844,6.1989,6.0968
no_mig	Round_1_Replicate_3	-108420.21	216846.42	261841.36	25281.92	0.2949,1.9857,0.1876
no_mig	Round_1_Replicate_4	-134206.32	268418.64	172597867.96	18523.57	5.9916,5.4878,0.1207
no_mig	Round_1_Replicate_5	-615772.23	1231550.46	266711552.03	27454.1	0.3195,0.4604,1.4273
no_mig	Round_1_Replicate_6	-486189.2	972384.4	76517805.11	7094.17	5.4495,0.6457,2.8448
no_mig	Round_1_Replicate_7	-123964.68	247935.36	508240.29	16766.33	1.6642,0.8882,0.5497
no_mig	Round_1_Replicate_8	-58599.56	117205.12	153790.56	25036.96	1.3387,0.2623,0.1124
no_mig	Round_1_Replicate_9	-121326.94	242659.88	342074.54	17370.13	0.683,4.8079,0.3857
no_mig	Round_1_Replicate_10	-130155.81	260317.62	497532.92	30454.14	0.3718,0.4622,0.2952
no_mig	Round_2_Replicate_1	-49241.47	98488.94	119811.92	29441.0	0.5561,0.2627,0.093
no_mig	Round_2_Replicate_2	-44451.54	88909.08	109466.69	30420.19	0.5253,0.1773,0.0673
no_mig	Round_2_Replicate_3	-47704.26	95414.52	194185.97	26670.61	0.8099,0.4195,0.0784
no_mig	Round_2_Replicate_4	-51593.56	103193.12	294000.19	25348.76	1.5183,0.3318,0.0657
no_mig	Round_2_Replicate_5	-91067.72	182141.44	290469.72	19931.46	2.2239,0.3983,0.243
no_mig	Round_2_Replicate_6	-54604.95	109215.9	223617.61	24562.88	4.2427,0.2089,0.0558
no_mig	Round_2_Replicate_7	-131373.66	262753.32	623222.05	27716.58	0.6954,0.279,0.3076
no_mig	Round_2_Replicate_8	-86069.4	172144.8	232258.3	27807.96	0.4646,0.5742,0.214
no_mig	Round_2_Replicate_9	-88511.82	177029.64	257804.09	19550.65	4.8059,0.2889,0.1668
no_mig	Round_2_Replicate_10	-58906.95	117819.9	321970.73	23768.97	1.065,0.8488,0.1138
no_mig	Round_2_Replicate_11	-56319.48	112644.96	218620.53	23865.77	2.8435,0.2838,0.075
no_mig	Round_2_Replicate_12	-82366.55	164739.1	238140.29	18857.11	2.3733,0.6113,0.2492
no_mig	Round_2_Replicate_13	-64865.68	129737.36	162836.01	29158.92	0.506,0.3687,0.146
no_mig	Round_2_Replicate_14	-36714.97	73435.94	117153.77	30737.34	0.4258,0.1664,0.0405
no_mig	Round_2_Replicate_15	-72523.1	145052.2	206365.36	23614.86	1.7361,0.2412,0.1386
