Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, T3)
sec_contact_asym_mig_three_epoch	Round_1_Replicate_1	-116901.8	233817.6	328551.24	18242.23	0.4387,0.8817,1.9334,2.5676,2.184,0.1519,5.1372
sec_contact_asym_mig_three_epoch	Round_1_Replicate_2	-356906.05	713826.1	13150205.88	12230.64	4.933,0.2785,3.3534,0.2265,0.3699,0.6159,1.5915
sec_contact_asym_mig_three_epoch	Round_1_Replicate_3	-277996.36	556006.72	3507827.81	37539.79	0.2554,0.2639,0.4893,0.6945,0.6012,0.1353,0.1407
sec_contact_asym_mig_three_epoch	Round_1_Replicate_4	-106696.82	213407.64	513559.27	4445.46	5.8384,2.4239,0.9599,0.2316,5.7003,0.5105,1.4842
sec_contact_asym_mig_three_epoch	Round_1_Replicate_5	-141867.0	283748.0	752906.07	16269.05	1.464,0.498,3.3018,2.045,0.9209,0.4517,8.063
sec_contact_asym_mig_three_epoch	Round_1_Replicate_6	-231634.59	463283.18	2445665.86	4315.88	4.5809,3.5406,0.5715,3.8447,0.3242,3.9206,2.9528
sec_contact_asym_mig_three_epoch	Round_1_Replicate_7	-293322.24	586658.48	3257334.67	6901.1	0.9454,8.0212,0.1695,1.2333,2.1122,1.3649,4.4449
sec_contact_asym_mig_three_epoch	Round_1_Replicate_8	-244066.27	488146.54	244355243519.15	3775.17	4.4316,0.138,1.8434,1.6615,6.8127,4.2016,2.1363
sec_contact_asym_mig_three_epoch	Round_1_Replicate_9	-205474.05	410962.1	1998699.17	11798.05	2.0687,0.1744,2.1802,6.8151,3.3671,0.3815,0.741
sec_contact_asym_mig_three_epoch	Round_1_Replicate_10	-949988.83	1899991.66	28328440375.87	24810.2	0.218,0.706,0.7596,2.1101,0.1505,1.806,0.9657
sec_contact_asym_mig_three_epoch	Round_2_Replicate_1	-158924.12	317862.24	907449.09	7623.03	1.8083,1.3713,1.4253,0.2222,8.0222,1.051,1.8774
sec_contact_asym_mig_three_epoch	Round_2_Replicate_2	-150914.2	301842.4	1815161.25	3186.11	4.7012,9.5174,0.5697,0.5981,7.1643,0.2972,0.9674
sec_contact_asym_mig_three_epoch	Round_2_Replicate_3	-231248.39	462510.78	4585830.8	4289.55	12.7599,1.4924,0.7976,0.2151,3.2264,0.175,0.4661
sec_contact_asym_mig_three_epoch	Round_2_Replicate_4	-125607.1	251228.2	555745.06	2518.7	13.056,3.8497,0.5753,0.2661,7.237,1.9199,1.7395
sec_contact_asym_mig_three_epoch	Round_2_Replicate_5	-87922.19	175858.38	262511.04	3996.35	2.1164,7.5536,1.5453,0.3723,7.679,0.3891,4.716
sec_contact_asym_mig_three_epoch	Round_2_Replicate_6	-111702.92	223419.84	426754.65	5497.39	7.9935,2.6122,3.2938,0.2455,2.5878,0.7374,4.0599
sec_contact_asym_mig_three_epoch	Round_2_Replicate_7	-153928.95	307871.9	986404.86	2485.73	15.1859,6.8935,0.2725,0.6063,3.3411,1.5731,2.132
sec_contact_asym_mig_three_epoch	Round_2_Replicate_8	-105244.73	210503.46	368356.93	5529.4	3.3799,3.3291,1.8516,0.0909,4.7088,0.9781,3.6317
sec_contact_asym_mig_three_epoch	Round_2_Replicate_9	-171639.93	343293.86	1432867.0	1714.76	17.6678,1.3642,0.3816,0.2369,21.9918,0.4039,4.5873
sec_contact_asym_mig_three_epoch	Round_2_Replicate_10	-114340.23	228694.46	340278.39	2692.94	2.1872,8.7201,0.6685,0.1994,17.7279,0.6736,2.6545
sec_contact_asym_mig_three_epoch	Round_2_Replicate_11	-158581.68	317177.36	1185517.96	3840.85	9.0292,0.8459,0.3591,0.7631,7.0974,0.2013,2.3246
sec_contact_asym_mig_three_epoch	Round_2_Replicate_12	-86589.46	173192.92	635122.39	1726.1	15.5849,6.1126,2.66,0.5589,18.7297,0.2245,0.8773
sec_contact_asym_mig_three_epoch	Round_2_Replicate_13	-148872.24	297758.48	1413312.99	2910.21	4.1422,7.2518,0.4059,0.426,12.7762,0.3689,0.9923
sec_contact_asym_mig_three_epoch	Round_2_Replicate_14	-77299.06	154612.12	303863.04	3424.85	7.621,1.4955,3.0169,0.6965,12.5633,0.2065,0.3637
sec_contact_asym_mig_three_epoch	Round_2_Replicate_15	-194977.61	389969.22	2778169.47	3373.02	3.4659,3.3148,0.3983,0.2671,16.9518,0.2903,1.8858
sec_contact_asym_mig_three_epoch	Round_2_Replicate_16	-182346.31	364706.62	1489256.14	7946.46	3.9845,1.6446,0.2657,0.1392,1.5858,0.2487,1.1381
sec_contact_asym_mig_three_epoch	Round_2_Replicate_17	-164336.09	328686.18	987715.63	8609.56	2.4201,1.7283,0.7873,0.1004,1.5386,0.7914,3.2752
sec_contact_asym_mig_three_epoch	Round_2_Replicate_18	-123999.18	248012.36	516438.08	4131.52	12.993,1.6344,3.8147,0.3101,10.5123,0.693,2.5577
sec_contact_asym_mig_three_epoch	Round_2_Replicate_19	-146885.09	293784.18	712942.52	7993.74	1.9383,4.016,0.6199,0.1942,1.4637,0.4288,4.8947
sec_contact_asym_mig_three_epoch	Round_2_Replicate_20	-93739.05	187492.1	340420.97	3709.83	6.5165,2.7804,1.5175,0.1564,9.7917,0.8191,4.1629
sec_contact_asym_mig_three_epoch	Round_3_Replicate_1	-106710.87	213435.74	429516.14	2031.44	13.8304,0.5781,6.2459,0.8501,28.2087,0.1534,0.4269
sec_contact_asym_mig_three_epoch	Round_3_Replicate_2	-128167.05	256348.1	2615052.42	1946.61	10.1353,5.2632,5.7133,0.9068,17.3176,0.0851,0.2519
sec_contact_asym_mig_three_epoch	Round_3_Replicate_3	-51964.34	103942.68	137549.19	2976.43	7.0153,1.5143,2.558,0.9246,20.142,0.5639,0.1681
sec_contact_asym_mig_three_epoch	Round_3_Replicate_4	-90641.32	181296.64	361598.48	1799.43	17.1151,0.9526,1.7375,0.8138,23.9499,0.2529,0.5723
sec_contact_asym_mig_three_epoch	Round_3_Replicate_5	-100107.95	200229.9	680552.44	1712.06	15.6217,2.8775,1.1453,1.777,22.5073,0.1706,0.1071
sec_contact_asym_mig_three_epoch	Round_3_Replicate_6	-163166.0	326346.0	1517683.61	6213.39	3.9107,1.0525,0.8698,0.2957,5.3853,0.2302,0.1258
sec_contact_asym_mig_three_epoch	Round_3_Replicate_7	-70321.04	140656.08	212248.48	3694.61	2.9169,1.5628,2.0034,0.4161,20.4279,0.4249,0.3862
sec_contact_asym_mig_three_epoch	Round_3_Replicate_8	-67405.06	134824.12	199066.21	2703.84	6.8678,0.7272,5.2157,1.1409,28.1832,0.2439,0.291
sec_contact_asym_mig_three_epoch	Round_3_Replicate_9	-57268.17	114550.34	185724.01	2053.54	13.9824,1.9041,3.1821,0.91,27.5484,0.5507,0.4268
sec_contact_asym_mig_three_epoch	Round_3_Replicate_10	-81113.12	162240.24	490618.21	1976.49	9.7538,4.7324,2.1605,1.5302,22.5073,0.1755,1.096
sec_contact_asym_mig_three_epoch	Round_3_Replicate_11	-55232.47	110478.94	143907.93	4803.91	2.0691,3.1951,2.9787,0.4504,11.1278,0.4134,0.1365
sec_contact_asym_mig_three_epoch	Round_3_Replicate_12	-160285.84	320585.68	1055586.58	5634.21	3.5547,0.9177,0.8135,0.2094,8.1313,0.3601,0.1777
sec_contact_asym_mig_three_epoch	Round_3_Replicate_13	-68351.98	136717.96	197852.24	3885.61	2.5779,0.5859,1.6999,1.6043,21.9469,0.3745,0.2739
sec_contact_asym_mig_three_epoch	Round_3_Replicate_14	-172908.96	345831.92	5183383.17	1457.35	23.8062,1.7046,4.6188,0.516,26.8233,0.0984,0.4168
sec_contact_asym_mig_three_epoch	Round_3_Replicate_15	-89441.93	178897.86	593274.54	2270.91	15.6974,6.6756,6.8971,0.5095,9.4164,0.1268,0.1562
sec_contact_asym_mig_three_epoch	Round_3_Replicate_16	-45180.95	90375.9	212910.83	2330.33	5.8521,4.181,5.1405,1.1352,26.4922,0.2524,1.0328
sec_contact_asym_mig_three_epoch	Round_3_Replicate_17	-153988.27	307990.54	1427365.62	3502.04	12.529,3.8785,1.3581,1.7101,3.9431,0.1534,0.7756
sec_contact_asym_mig_three_epoch	Round_3_Replicate_18	-86082.18	172178.36	4239488.24	4129.45	5.8428,4.5005,10.1974,1.4812,6.1545,0.1324,1.1897
sec_contact_asym_mig_three_epoch	Round_3_Replicate_19	-78446.1	156906.2	322104.26	3758.6	7.2871,3.7838,2.8183,1.7193,5.5343,0.7163,0.165
sec_contact_asym_mig_three_epoch	Round_3_Replicate_20	-51999.47	104012.94	149892.31	4440.54	2.9859,4.3066,4.6019,0.3707,8.3953,0.2355,0.1995
sec_contact_asym_mig_three_epoch	Round_3_Replicate_21	-208518.1	417050.2	3276094.32	7870.44	3.636,0.4394,1.8137,0.4551,4.0625,0.0887,0.4641
sec_contact_asym_mig_three_epoch	Round_3_Replicate_22	-52502.13	105018.26	157958.78	3313.78	4.8154,0.5007,2.6925,2.8106,21.8383,0.2665,0.5953
sec_contact_asym_mig_three_epoch	Round_3_Replicate_23	-46242.64	92499.28	214249.56	1456.88	14.8004,5.4136,1.3531,2.0189,29.0619,0.3902,0.1334
sec_contact_asym_mig_three_epoch	Round_3_Replicate_24	-78039.18	156092.36	258920.37	3086.57	8.9386,3.3064,0.7919,0.6128,8.0592,0.729,0.5085
sec_contact_asym_mig_three_epoch	Round_3_Replicate_25	-76244.84	152503.68	69186512.83	2779.8	9.595,1.6658,10.9671,1.6504,17.0196,0.0946,0.18
sec_contact_asym_mig_three_epoch	Round_3_Replicate_26	-71278.87	142571.74	221968.62	4024.46	4.0045,0.6738,1.4458,1.2491,16.3855,0.3206,0.0858
sec_contact_asym_mig_three_epoch	Round_3_Replicate_27	-82398.52	164811.04	330294.73	4208.51	10.8816,1.225,7.7164,2.0196,6.3278,0.121,0.2914
sec_contact_asym_mig_three_epoch	Round_3_Replicate_28	-53050.47	106114.94	143187.84	3918.98	4.1459,0.5689,7.0004,1.8919,20.1294,0.2011,0.1315
sec_contact_asym_mig_three_epoch	Round_3_Replicate_29	-61972.3	123958.6	204304.01	1796.79	16.4958,2.2033,2.4266,0.6721,28.6403,0.5678,0.3585
sec_contact_asym_mig_three_epoch	Round_3_Replicate_30	-78420.58	156855.16	278813.06	3236.31	7.1697,0.5447,1.9575,2.5369,16.9609,0.4468,0.7224
sec_contact_asym_mig_three_epoch	Round_4_Replicate_1	-37399.1	74812.2	261666.13	2018.28	5.8153,5.5631,4.3115,2.3199,29.6176,0.3215,0.8104
sec_contact_asym_mig_three_epoch	Round_4_Replicate_2	-49400.32	98814.64	212926.37	2281.89	6.0537,4.6835,4.1086,0.5751,26.8431,0.3731,0.6079
sec_contact_asym_mig_three_epoch	Round_4_Replicate_3	-29535.32	59084.64	71976.04	2266.08	6.8677,3.2834,2.991,1.5319,26.4301,0.3429,1.003
sec_contact_asym_mig_three_epoch	Round_4_Replicate_4	-27809.45	55632.9	61539.09	2441.89	5.836,2.3584,2.7788,2.1008,27.196,0.3957,0.5551
sec_contact_asym_mig_three_epoch	Round_4_Replicate_5	-36825.96	73665.92	102072.46	2475.36	4.1992,4.6956,3.7203,0.8095,25.7516,0.3639,0.6978
sec_contact_asym_mig_three_epoch	Round_4_Replicate_6	-42659.74	85333.48	117859.4	2423.16	7.2601,3.3014,3.4127,0.979,22.7276,0.2744,1.0932
sec_contact_asym_mig_three_epoch	Round_4_Replicate_7	-49728.55	99471.1	162809.75	3391.6	3.9451,2.8321,5.0975,0.6485,18.61,0.2605,1.3249
sec_contact_asym_mig_three_epoch	Round_4_Replicate_8	-53886.56	107787.12	353227.39	2166.16	8.6269,3.6396,8.992,1.7098,23.9104,0.1312,0.5655
sec_contact_asym_mig_three_epoch	Round_4_Replicate_9	-49488.25	98990.5	203745.95	1963.52	6.4248,7.8128,4.7427,1.0066,24.5439,0.2092,2.0349
sec_contact_asym_mig_three_epoch	Round_4_Replicate_10	-37945.92	75905.84	91858.62	2367.4	6.9244,2.4407,4.8729,2.4873,26.3416,0.1604,0.5865
sec_contact_asym_mig_three_epoch	Round_4_Replicate_11	-31748.28	63510.56	75037.76	2844.01	3.7133,3.7234,3.6004,1.1035,22.7329,0.3534,0.5614
sec_contact_asym_mig_three_epoch	Round_4_Replicate_12	-65273.64	130561.28	207298916.86	1835.39	10.8995,6.9546,9.1632,0.6896,21.5541,0.1402,1.6797
sec_contact_asym_mig_three_epoch	Round_4_Replicate_13	-35175.01	70364.02	116909.08	2372.88	5.2113,4.9542,3.8645,1.8459,23.7258,0.2699,1.8075
sec_contact_asym_mig_three_epoch	Round_4_Replicate_14	-42389.0	84792.0	289834.33	2011.53	3.907,7.7258,5.1764,2.2758,29.5765,0.2769,0.5142
sec_contact_asym_mig_three_epoch	Round_4_Replicate_15	-47537.34	95088.68	142129.24	3139.95	3.8549,3.2463,4.8208,0.8007,19.8834,0.216,0.718
sec_contact_asym_mig_three_epoch	Round_4_Replicate_16	-45440.96	90895.92	140607.89	2429.86	6.0312,3.8975,3.7109,0.7041,24.4978,0.3065,0.6043
sec_contact_asym_mig_three_epoch	Round_4_Replicate_17	-38493.18	77000.36	99745.73	3122.14	3.0975,2.9825,4.1068,0.8114,22.7688,0.2896,0.9779
sec_contact_asym_mig_three_epoch	Round_4_Replicate_18	-40336.51	80687.02	108084.28	2205.52	9.4816,2.8506,2.8839,0.9945,24.0518,0.3439,1.9229
sec_contact_asym_mig_three_epoch	Round_4_Replicate_19	-42101.55	84217.1	120771.53	2331.68	8.2041,2.8905,2.9874,0.7926,24.6062,0.4022,1.6736
sec_contact_asym_mig_three_epoch	Round_4_Replicate_20	-45454.3	90922.6	128405.37	2703.07	2.5412,7.0795,7.6184,0.9906,19.4509,0.1396,1.8421
sec_contact_asym_mig_three_epoch	Round_4_Replicate_21	-67360.8	134735.6	1567860.39	2177.3	6.0841,7.6024,9.3615,1.4269,24.2192,0.4471,1.3455
sec_contact_asym_mig_three_epoch	Round_4_Replicate_22	-29856.48	59726.96	69156.02	2630.43	4.6901,2.7097,4.225,1.7455,26.3633,0.2578,1.8652
sec_contact_asym_mig_three_epoch	Round_4_Replicate_23	-28201.9	56417.8	86337.03	3454.35	3.6208,2.1792,5.791,2.1349,19.8323,0.281,0.6006
sec_contact_asym_mig_three_epoch	Round_4_Replicate_24	-44188.86	88391.72	136834.19	1818.82	6.2137,8.4401,3.424,0.8665,28.15,0.2872,1.1577
sec_contact_asym_mig_three_epoch	Round_4_Replicate_25	-43735.81	87485.62	189712.09	2349.08	8.4545,2.8374,4.6242,1.5063,23.3076,0.2195,1.4334
sec_contact_asym_mig_three_epoch	Round_4_Replicate_26	-59083.66	118181.32	207159.13	2016.83	9.6346,2.5424,7.0988,1.4662,29.3559,0.1389,0.6136
sec_contact_asym_mig_three_epoch	Round_4_Replicate_27	-25141.27	50296.54	56290.14	2686.59	3.8592,2.1329,4.2742,1.8187,29.5146,0.387,1.6569
sec_contact_asym_mig_three_epoch	Round_4_Replicate_28	-28355.21	56724.42	63710.88	2609.51	4.5615,2.2483,4.2099,2.1176,28.2104,0.2626,0.9189
sec_contact_asym_mig_three_epoch	Round_4_Replicate_29	-55613.18	111240.36	232527.03	4082.77	2.9222,2.4929,7.5111,0.6762,18.2207,0.2834,1.807
sec_contact_asym_mig_three_epoch	Round_4_Replicate_30	-27388.34	54790.68	73402.52	2309.87	6.1471,2.9296,3.4207,1.6351,28.6221,0.3893,0.5738
sec_contact_asym_mig_three_epoch	Round_4_Replicate_31	-37527.35	75068.7	286486.74	2540.89	4.9262,3.1769,7.8255,2.5373,27.9271,0.3559,1.0697
sec_contact_asym_mig_three_epoch	Round_4_Replicate_32	-40458.34	80930.68	114990.87	2091.17	4.4011,7.1899,3.5103,0.6965,27.6642,0.3584,0.6814
sec_contact_asym_mig_three_epoch	Round_4_Replicate_33	-44035.1	88084.2	121896.43	2147.61	6.1053,5.5573,3.7216,1.2934,25.3347,0.2191,0.7341
sec_contact_asym_mig_three_epoch	Round_4_Replicate_34	-38096.42	76206.84	231629.73	2200.01	5.1513,5.7672,4.4667,1.75,26.1925,0.3763,0.732
sec_contact_asym_mig_three_epoch	Round_4_Replicate_35	-36609.17	73232.34	94636.07	2573.28	4.6365,2.4519,4.0054,0.8603,29.3572,0.3311,1.0897
sec_contact_asym_mig_three_epoch	Round_4_Replicate_36	-32868.82	65751.64	107486.5	2161.56	6.0753,4.1146,3.7602,2.1559,28.6418,0.2692,1.6716
sec_contact_asym_mig_three_epoch	Round_4_Replicate_37	-42655.61	85325.22	144629.77	3442.93	3.6125,2.6366,5.4081,0.8925,20.0994,0.3306,1.647
sec_contact_asym_mig_three_epoch	Round_4_Replicate_38	-35701.54	71417.08	153143.95	2942.95	3.3868,3.3532,6.5558,1.675,23.8856,0.2874,1.261
sec_contact_asym_mig_three_epoch	Round_4_Replicate_39	-44195.48	88404.96	134324.91	2231.63	3.7875,8.7303,4.0814,0.6684,22.0587,0.3212,1.173
sec_contact_asym_mig_three_epoch	Round_4_Replicate_40	-56435.56	112885.12	197586.14	2415.72	7.3512,3.3344,4.1197,0.7704,23.0651,0.2222,1.2425
