Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, T3)
sec_contact_asym_mig_three_epoch	Round_4_Replicate_31	-49171.21	98356.42	119542.92	1441.58	12.9233,6.9512,0.4631,0.597,29.5343,1.0197,1.7174
sec_contact_asym_mig_three_epoch	Round_4_Replicate_32	-56849.27	113712.54	170341.69	1510.86	14.7443,4.2422,0.5654,0.7845,28.6662,0.5885,5.4657
sec_contact_asym_mig_three_epoch	Round_4_Replicate_33	-43689.16	87392.32	99363.03	1946.85	9.0777,3.0706,0.7264,1.194,27.8374,0.5561,1.4104
sec_contact_asym_mig_three_epoch	Round_4_Replicate_34	-35103.84	70221.68	76580.23	1857.88	8.5535,4.2317,1.3737,1.1955,29.7879,1.0066,1.391
sec_contact_asym_mig_three_epoch	Round_4_Replicate_35	-99483.21	198980.42	504862.56	1728.06	8.2751,9.3596,0.4132,0.3716,23.6702,0.6237,2.6627
sec_contact_asym_mig_three_epoch	Round_4_Replicate_36	-84311.15	168636.3	391387.88	1546.15	12.2247,7.2751,0.4624,0.5745,26.0367,0.5532,3.0305
sec_contact_asym_mig_three_epoch	Round_4_Replicate_37	-49933.37	99880.74	156914.82	1467.72	10.4719,9.7287,0.9463,0.9922,29.0097,0.5771,1.6409
sec_contact_asym_mig_three_epoch	Round_4_Replicate_38	-51460.92	102935.84	132210.91	1794.65	10.1072,3.9753,0.4577,1.1961,27.8204,0.6795,1.2393
sec_contact_asym_mig_three_epoch	Round_4_Replicate_39	-46907.0	93828.0	117683.2	1454.86	11.8327,7.8999,0.9602,1.3572,28.5433,1.674,2.3149
sec_contact_asym_mig_three_epoch	Round_4_Replicate_40	-54791.3	109596.6	143454.83	1808.96	10.5459,5.2682,0.4724,0.8316,23.3213,0.7578,1.2475
