Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T1, T2)
anc_sym_mig	Round_1_Replicate_1	-1059814.09	2119638.18	183182220471.88	11056.27	0.6327,1.189,6.2876,0.1179,5.4457
anc_sym_mig	Round_1_Replicate_2	-188726.79	377463.58	1077781.52	8766.62	1.6336,5.0729,3.3508,0.5223,1.2173
anc_sym_mig	Round_1_Replicate_3	-116008.85	232027.7	324995.98	9840.65	0.9274,2.8537,1.1296,3.9479,0.4054
anc_sym_mig	Round_1_Replicate_4	-148954.86	297919.72	842263.46	5114.54	7.3072,3.493,0.1583,2.4337,0.309
anc_sym_mig	Round_1_Replicate_5	-250062.98	500135.96	3081415.02	5252.36	5.8005,3.5283,3.5451,0.1305,2.9946
anc_sym_mig	Round_1_Replicate_6	-411181.85	822373.7	13123678.64	15760.28	0.2952,2.6797,2.5985,0.6781,0.9433
anc_sym_mig	Round_1_Replicate_7	-101802.47	203614.94	833590.78	4738.08	4.0789,6.7073,0.6057,3.8668,0.1346
anc_sym_mig	Round_1_Replicate_8	-505741.88	1011493.76	79631091.07	7020.21	2.053,2.0638,1.6092,0.7877,5.1126
anc_sym_mig	Round_1_Replicate_9	-191782.49	383574.98	900475.33	9911.32	0.6801,2.6037,0.6544,7.3089,0.6279
anc_sym_mig	Round_1_Replicate_10	-651561.71	1303133.42	431889376.02	22164.07	0.3791,0.6402,4.3314,3.7402,1.8226
anc_sym_mig	Round_2_Replicate_1	-122978.82	245967.64	1591632.7	4943.9	11.0492,2.6095,2.2753,2.6084,0.3344
anc_sym_mig	Round_2_Replicate_2	-149719.92	299449.84	968498.82	6834.41	5.671,7.7607,0.1711,1.0167,0.1967
anc_sym_mig	Round_2_Replicate_3	-92449.79	184909.58	274917.83	5124.33	2.2038,5.7517,0.259,6.249,0.0452
anc_sym_mig	Round_2_Replicate_4	-89276.62	178563.24	280566.3	6669.59	2.4437,1.7643,0.3764,8.465,0.4258
anc_sym_mig	Round_2_Replicate_5	-69663.1	139336.2	182258.24	6089.72	2.5966,2.1419,0.5747,9.3379,0.4073
anc_sym_mig	Round_2_Replicate_6	-129240.86	258491.72	1037444.01	7237.1	7.8292,2.2067,0.776,1.2275,0.1206
anc_sym_mig	Round_2_Replicate_7	-189619.48	379248.96	92892486.56	3736.78	6.8603,19.4704,0.7739,2.8931,0.0382
anc_sym_mig	Round_2_Replicate_8	-61241.62	122493.24	707087.91	4599.58	5.1178,2.4966,1.0565,8.404,0.0828
anc_sym_mig	Round_2_Replicate_9	-101797.08	203604.16	467543.1	9038.44	1.281,6.5665,1.2524,1.7606,0.0848
anc_sym_mig	Round_2_Replicate_10	-73386.64	146783.28	171156.05	6652.18	1.5773,2.8494,0.481,10.5715,0.1699
anc_sym_mig	Round_2_Replicate_11	-48859.0	97728.0	149165.98	4341.29	4.6107,2.4041,1.2846,14.8678,0.3658
anc_sym_mig	Round_2_Replicate_12	-111618.29	223246.58	523014.29	4458.14	8.2114,1.841,0.2164,4.9269,0.1551
anc_sym_mig	Round_2_Replicate_13	-78135.69	156281.38	528730.44	7055.31	1.9115,4.4344,1.2757,3.5702,0.0944
anc_sym_mig	Round_2_Replicate_14	-142865.99	285741.98	568660.25	8071.02	1.778,9.7654,0.2587,1.3625,0.1032
anc_sym_mig	Round_2_Replicate_15	-98603.31	197216.62	44906178.71	2379.36	9.9194,5.5057,2.3463,16.5406,0.1026
anc_sym_mig	Round_2_Replicate_16	-113234.5	226479.0	1310291.49	2405.09	8.8821,12.6951,0.2947,7.9967,0.18
anc_sym_mig	Round_2_Replicate_17	-62414.4	124838.8	144575.85	6869.7	1.7666,2.6074,0.9877,9.0265,0.2767
anc_sym_mig	Round_2_Replicate_18	-129759.98	259529.96	1095765.21	8318.32	2.2852,12.7791,0.7822,1.0347,0.0928
anc_sym_mig	Round_2_Replicate_19	-131324.99	262659.98	635252.11	6404.94	7.1887,2.245,0.4821,1.6059,0.3
anc_sym_mig	Round_2_Replicate_20	-167282.4	334574.8	664916.75	6242.68	1.1911,6.556,0.2571,4.4799,0.3995
anc_sym_mig	Round_3_Replicate_1	-125858.76	251727.52	581006.3	6926.24	5.0987,0.8347,3.8465,8.421,0.7961
anc_sym_mig	Round_3_Replicate_2	-47011.32	94032.64	203022.44	8216.91	2.9461,0.9991,3.2268,27.0557,0.1311
anc_sym_mig	Round_3_Replicate_3	-47603.47	95216.94	314385.37	3736.22	5.1168,2.8704,4.5001,26.4204,0.3598
anc_sym_mig	Round_3_Replicate_4	-47220.83	94451.66	136118.26	11696.95	1.8052,0.7766,4.9069,17.4287,0.1511
anc_sym_mig	Round_3_Replicate_5	-113150.03	226310.06	418519.36	6912.28	2.3817,1.891,1.1848,6.8362,1.0044
anc_sym_mig	Round_3_Replicate_6	-74239.87	148489.74	979620.16	4287.72	3.6418,5.6704,1.3913,6.923,0.201
anc_sym_mig	Round_3_Replicate_7	-61151.45	122312.9	141675.17	3193.75	3.7027,5.7168,0.5281,22.0286,0.5954
anc_sym_mig	Round_3_Replicate_8	-48254.5	96519.0	129404.54	6005.03	3.1902,1.6784,3.9163,20.9596,0.3742
anc_sym_mig	Round_3_Replicate_9	-54738.56	109487.12	143942.9	6495.73	2.5419,2.1161,0.601,7.3496,0.1262
anc_sym_mig	Round_3_Replicate_10	-55533.83	111077.66	973296.46	3400.47	5.1216,3.6808,3.4053,20.1031,0.2623
anc_sym_mig	Round_3_Replicate_11	-50956.9	101923.8	538503.66	2747.42	5.7427,4.7915,1.8339,27.9764,0.3512
anc_sym_mig	Round_3_Replicate_12	-105344.69	210699.38	403449.83	6407.93	5.7113,0.9218,5.483,13.1975,0.7347
anc_sym_mig	Round_3_Replicate_13	-63017.33	126044.66	167514.47	6558.54	3.0576,1.4106,1.5793,14.6266,0.4566
anc_sym_mig	Round_3_Replicate_14	-79619.25	159248.5	247498.2	5213.18	4.0567,1.6704,0.577,11.8091,0.5856
anc_sym_mig	Round_3_Replicate_15	-77525.65	155061.3	12226828.48	3139.69	5.9197,3.8013,5.0207,28.4781,0.1295
anc_sym_mig	Round_3_Replicate_16	-51317.71	102645.42	273409.57	3112.81	3.8636,5.8002,2.1254,26.422,0.4339
anc_sym_mig	Round_3_Replicate_17	-52805.02	105620.04	468424.46	6483.15	1.7554,2.8682,5.3419,16.4993,0.1639
anc_sym_mig	Round_3_Replicate_18	-126932.03	253874.06	611636.13	6367.92	4.3017,0.8523,0.499,8.2679,0.5294
anc_sym_mig	Round_3_Replicate_19	-46115.03	92240.06	162105.35	2933.76	6.0567,3.8151,1.4196,29.9355,0.5473
anc_sym_mig	Round_3_Replicate_20	-46994.79	93999.58	314235.53	3707.49	4.3577,3.2826,2.2787,26.609,0.3081
