Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T1, T2)
anc_sym_mig	Round_1_Replicate_1	-1066599.69	2133209.38	219256840731.55	10261.44	0.7878,0.9225,3.7613,3.19,5.8279
anc_sym_mig	Round_1_Replicate_2	-116504.27	233018.54	391985.68	14876.02	8.058,0.3322,2.9954,0.2309,0.1341
anc_sym_mig	Round_1_Replicate_3	-191463.36	382936.72	1186878.05	14371.61	0.8282,1.4219,0.1749,1.8013,0.2275
anc_sym_mig	Round_1_Replicate_4	-202256.01	404522.02	1626981.55	7765.01	2.6811,2.0635,0.2823,1.986,1.2408
anc_sym_mig	Round_1_Replicate_5	-243688.04	487386.08	251550422457.31	3201.14	5.6715,0.1981,4.0569,3.057,4.8984
anc_sym_mig	Round_1_Replicate_6	-80513.79	161037.58	237608.0	11048.38	1.5041,2.1007,0.9708,1.7405,0.1525
anc_sym_mig	Round_1_Replicate_7	-209699.69	419409.38	1971178.63	6421.27	4.713,1.3639,3.8927,2.2897,1.8645
anc_sym_mig	Round_1_Replicate_8	-245030.3	490070.6	255046652982.18	3152.07	5.9911,0.137,2.4668,0.179,4.8334
anc_sym_mig	Round_1_Replicate_9	-89398.41	178806.82	271816.95	17596.9	2.2882,0.697,1.1221,0.1434,0.1953
anc_sym_mig	Round_1_Replicate_10	-116093.41	232196.82	347130.65	15612.86	1.0192,3.3011,1.7965,0.1355,0.3806
anc_sym_mig	Round_2_Replicate_1	-164325.63	328661.26	596114.15	13254.58	0.5191,3.3553,3.4225,2.1203,0.4519
anc_sym_mig	Round_2_Replicate_2	-57851.71	115713.42	180133.4	7456.74	4.3532,0.8799,1.7572,7.7537,0.1349
anc_sym_mig	Round_2_Replicate_3	-87378.05	174766.1	259621.33	12647.89	0.5895,4.8109,3.684,2.4638,0.1052
anc_sym_mig	Round_2_Replicate_4	-108992.31	217994.62	306506.16	15870.6	0.7441,3.2533,0.8831,0.5376,0.1064
anc_sym_mig	Round_2_Replicate_5	-104843.78	209697.56	260081.64	15405.74	0.522,2.3615,2.0312,1.7629,0.1551
anc_sym_mig	Round_2_Replicate_6	-60711.49	121432.98	191575.47	5264.42	4.6137,2.1382,2.4944,6.8465,0.4455
anc_sym_mig	Round_2_Replicate_7	-190875.55	381761.1	857576.97	10112.77	0.6426,3.6897,0.39,2.8122,0.3272
anc_sym_mig	Round_2_Replicate_8	-154809.28	309628.56	801867.09	17434.06	1.0468,0.9217,0.6038,0.5557,0.4113
anc_sym_mig	Round_2_Replicate_9	-104264.59	208539.18	688039.38	8080.44	1.9255,5.8152,0.9005,1.8136,0.0543
anc_sym_mig	Round_2_Replicate_10	-86044.75	172099.5	203348.43	14674.08	0.6253,1.5146,1.0585,3.6659,0.0941
anc_sym_mig	Round_2_Replicate_11	-108183.96	216377.92	5518947.8	4805.62	4.3891,5.7716,3.4846,3.7541,0.228
anc_sym_mig	Round_2_Replicate_12	-133395.53	266801.06	527671.38	18776.15	0.5885,0.6331,0.4371,6.4734,0.102
anc_sym_mig	Round_2_Replicate_13	-77615.01	155240.02	173953.21	13385.99	0.7174,1.8285,3.5337,4.358,0.2178
anc_sym_mig	Round_2_Replicate_14	-216800.19	433610.38	1087357.98	11391.58	0.4586,5.5021,3.3181,2.7965,0.5822
anc_sym_mig	Round_2_Replicate_15	-50767.46	101544.92	126962.32	18532.1	0.9243,0.607,2.787,2.7988,0.0837
anc_sym_mig	Round_2_Replicate_16	-102833.96	205677.92	309053.94	10934.04	0.5912,5.2151,1.433,2.8303,0.05
anc_sym_mig	Round_2_Replicate_17	-94168.72	188347.44	536481.97	15350.91	0.721,6.4066,4.3015,0.5517,0.0844
anc_sym_mig	Round_2_Replicate_18	-90583.74	181177.48	303769.74	12439.48	1.8126,1.698,0.6084,1.0234,0.0889
anc_sym_mig	Round_2_Replicate_19	-85524.88	171059.76	240607.34	11429.56	1.2115,1.1928,1.6765,7.2697,0.3918
anc_sym_mig	Round_2_Replicate_20	-93894.85	187799.7	285187.2	15370.06	1.1962,2.0359,0.448,0.6225,0.0295
anc_sym_mig	Round_3_Replicate_1	-66299.74	132609.48	172483.09	20316.3	0.6953,0.7716,1.1058,1.3062,0.0244
anc_sym_mig	Round_3_Replicate_2	-58563.22	117136.44	161996.85	9968.09	3.6179,0.6965,11.1002,7.8854,0.2253
anc_sym_mig	Round_3_Replicate_3	-71630.18	143270.36	198641.47	13944.13	1.2991,1.2891,3.3764,1.2983,0.2166
anc_sym_mig	Round_3_Replicate_4	-70290.23	140590.46	198476.98	13553.41	1.6959,0.6943,3.2018,2.712,0.237
anc_sym_mig	Round_3_Replicate_5	-45718.18	91446.36	117523.37	20681.12	0.8004,0.5193,2.369,3.6608,0.0345
anc_sym_mig	Round_3_Replicate_6	-63178.18	126366.36	170563.02	27189.68	0.5298,0.3915,1.3159,12.9382,0.012
anc_sym_mig	Round_3_Replicate_7	-97370.95	194751.9	281709.71	23069.85	0.524,0.6845,2.0574,1.8697,0.182
anc_sym_mig	Round_3_Replicate_8	-52112.26	104234.52	130351.1	35478.24	0.4181,0.2868,2.3575,1.2691,0.0108
anc_sym_mig	Round_3_Replicate_9	-66143.81	132297.62	207814.9	17165.17	1.9493,0.3593,1.7667,1.0873,0.0119
anc_sym_mig	Round_3_Replicate_10	-72478.67	144967.34	264749.83	10139.77	1.8081,2.058,1.0611,2.0357,0.0914
anc_sym_mig	Round_3_Replicate_11	-66232.5	132475.0	151003.85	15049.11	0.6337,1.5226,3.6061,5.4841,0.1308
