Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T1, T2)
anc_sym_mig	Round_1_Replicate_1	-141793.22	283596.44	597790.35	8577.32	3.7845,6.0257,2.4873,0.1564,0.8157
anc_sym_mig	Round_1_Replicate_2	-309904.87	619819.74	4898021.41	21342.15	0.4022,1.0876,6.3604,0.332,0.9018
anc_sym_mig	Round_1_Replicate_3	-676238.95	1352487.9	602889966.31	26602.17	0.309,0.5073,2.2373,6.8313,1.4957
anc_sym_mig	Round_1_Replicate_4	-170693.82	341397.64	902812.81	8573.92	2.8627,4.0157,0.1959,0.2384,1.1419
anc_sym_mig	Round_1_Replicate_5	-113081.26	226172.52	279054.86	20422.07	0.4086,8.1361,1.6588,0.119,0.1335
anc_sym_mig	Round_1_Replicate_6	-342944.88	685899.76	1.6711007296257843e+17	7319.95	0.2509,0.3667,0.2034,0.1542,6.4262
anc_sym_mig	Round_1_Replicate_7	-189619.61	379249.22	1372212.68	5580.54	4.762,2.7819,0.4839,2.0738,1.71
anc_sym_mig	Round_1_Replicate_8	-209398.3	418806.6	1701019.5	6488.58	6.5552,2.3912,0.1188,0.1366,1.7398
anc_sym_mig	Round_1_Replicate_9	-399805.4	799620.8	23318158.6	25480.38	0.7665,0.212,0.3924,0.5677,0.5299
anc_sym_mig	Round_1_Replicate_10	-809305.18	1618620.36	2187048081.95	13772.83	0.2036,2.8156,0.5885,0.8054,1.4564
anc_sym_mig	Round_2_Replicate_1	-336119.34	672248.68	3591077.31	16292.97	0.1581,17.1418,1.2152,0.3261,0.249
anc_sym_mig	Round_2_Replicate_2	-81704.48	163418.96	1815103.33	20671.54	1.403,2.6,1.839,0.0607,0.0812
anc_sym_mig	Round_2_Replicate_3	-182539.6	365089.2	666621.81	14294.48	0.4188,15.4703,1.1249,0.4368,0.2071
anc_sym_mig	Round_2_Replicate_4	-115051.26	230112.52	22773479.75	17874.78	1.4485,21.5695,4.3767,0.1468,0.0467
anc_sym_mig	Round_2_Replicate_5	-107123.22	214256.44	39605001.07	21715.77	1.547,14.8705,1.2824,0.0346,0.0545
