Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu, T)
growth	Round_1_Replicate_1	-192173.25	384350.5	373716.18	234716.32	2.4469,0.1718
growth	Round_1_Replicate_2	-217317.3	434638.6	439568.48	191562.96	2.1811,0.9412
growth	Round_1_Replicate_3	-142528.29	285060.58	272388.42	261781.56	1.0527,0.3965
growth	Round_1_Replicate_4	-189725.49	379454.98	377356.99	120169.77	2.8487,5.7485
growth	Round_1_Replicate_5	-109186.62	218377.24	203744.27	753437.4	0.2975,2.2783
growth	Round_1_Replicate_6	-85035.41	170074.82	156367.15	828193.42	0.2258,1.2648
growth	Round_1_Replicate_7	-194889.39	389782.78	377735.17	235169.73	3.27,0.1283
growth	Round_1_Replicate_8	-161929.61	323863.22	314610.28	149675.0	2.0075,6.965
growth	Round_1_Replicate_9	-280205.14	560414.28	580023.91	186694.14	4.5258,0.4294
growth	Round_1_Replicate_10	-314215.39	628434.78	692818.62	125366.71	4.8901,1.68
growth	Round_1_Replicate_11	-97502.09	195008.18	181226.96	327281.41	0.5927,0.5197
growth	Round_1_Replicate_12	-127996.25	255996.5	242095.14	957391.33	0.2625,5.381
growth	Round_1_Replicate_13	-78555.72	157115.44	144739.7	360953.83	0.4394,0.4131
growth	Round_1_Replicate_14	-161033.69	322071.38	310463.77	249192.1	1.3437,0.2648
growth	Round_1_Replicate_15	-247330.27	494664.54	496814.6	206291.1	4.0875,0.2834
growth	Round_2_Replicate_1	-90502.05	181008.1	166924.8	748037.59	0.2614,1.4204
growth	Round_2_Replicate_2	-24788.48	49580.96	45349.14	792432.65	0.0816,0.2644
growth	Round_2_Replicate_3	-29330.51	58665.02	53565.52	631397.51	0.1145,0.2695
growth	Round_2_Replicate_4	-92606.19	185216.38	171178.36	411491.15	0.4748,1.0141
growth	Round_2_Replicate_5	-78788.79	157581.58	144471.92	646780.18	0.2716,1.0642
growth	Round_2_Replicate_6	-75343.92	150691.84	138437.01	384212.68	0.4101,0.4836
growth	Round_2_Replicate_7	-39294.53	78593.06	71487.78	657732.13	0.1487,0.4013
growth	Round_2_Replicate_8	-127772.8	255549.6	241746.26	284980.47	0.8747,1.0236
growth	Round_2_Replicate_9	-151579.34	303162.68	291712.96	248809.33	1.163,0.8099
growth	Round_2_Replicate_10	-69177.81	138359.62	126368.01	606570.87	0.2606,0.8306
growth	Round_2_Replicate_11	-69232.63	138469.26	126392.79	894972.4	0.1792,0.9137
growth	Round_2_Replicate_12	-31170.35	62344.7	56891.35	606150.38	0.1252,0.2776
growth	Round_2_Replicate_13	-152711.45	305426.9	294241.89	244468.62	1.186,1.0336
growth	Round_2_Replicate_14	-76632.26	153268.52	140323.29	959471.36	0.1808,1.0582
growth	Round_2_Replicate_15	-114286.07	228576.14	214532.75	298022.34	0.7481,0.5569
growth	Round_2_Replicate_16	-140112.2	280228.4	267201.53	264634.07	1.0481,0.0848
