Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu, T)
growth	Round_4_Replicate_73	-7408.11	14820.22	13963.09	899477.21	0.01,0.0445
growth	Round_4_Replicate_74	-7405.93	14815.86	13959.08	899645.1	0.01,0.0444
growth	Round_4_Replicate_75	-7405.0	14814.0	13956.81	940873.38	0.01,0.0468
growth	Round_4_Replicate_76	-7400.01	14804.02	13947.89	922402.83	0.01,0.0457
growth	Round_4_Replicate_77	-7405.71	14815.42	13958.44	916665.76	0.01,0.0455
growth	Round_4_Replicate_78	-7400.4	14804.8	13948.46	934624.81	0.01,0.0464
growth	Round_4_Replicate_79	-7400.9	14805.8	13949.6	916542.01	0.01,0.0454
growth	Round_4_Replicate_80	-7400.05	14804.1	13947.87	929501.09	0.01,0.0461
growth	Round_4_Replicate_81	-7404.04	14812.08	13954.97	948509.96	0.01,0.0471
growth	Round_4_Replicate_82	-7401.71	14807.42	13950.84	935924.02	0.01,0.0465
growth	Round_4_Replicate_83	-7403.0	14810.0	13953.13	941950.69	0.01,0.0468
growth	Round_4_Replicate_84	-7401.62	14807.24	13950.66	936796.86	0.01,0.0465
growth	Round_4_Replicate_85	-7401.14	14806.28	13949.99	920682.42	0.01,0.0456
growth	Round_4_Replicate_86	-7444.44	14892.88	14028.38	1023135.69	0.01,0.0509
growth	Round_4_Replicate_87	-7402.94	14809.88	13953.29	921155.6	0.01,0.0457
growth	Round_4_Replicate_88	-7405.77	14815.54	13958.63	909891.11	0.01,0.0451
growth	Round_4_Replicate_89	-7404.3	14812.6	13955.98	906297.73	0.01,0.0448
growth	Round_4_Replicate_90	-7401.38	14806.76	13950.25	934906.01	0.01,0.0464
growth	Round_4_Replicate_91	-7399.84	14803.68	13947.5	929241.35	0.01,0.0461
growth	Round_4_Replicate_92	-7404.49	14812.98	13956.38	903058.85	0.01,0.0446
growth	Round_4_Replicate_93	-7403.01	14810.02	13953.43	920544.17	0.01,0.0456
growth	Round_4_Replicate_94	-7401.1	14806.2	13949.6	946787.23	0.01,0.047
growth	Round_4_Replicate_95	-7401.99	14807.98	13951.55	920065.23	0.01,0.0456
growth	Round_4_Replicate_96	-7410.37	14824.74	13966.66	942049.61	0.01,0.0469
growth	Round_4_Replicate_97	-7403.98	14811.96	13955.16	923741.88	0.01,0.0458
growth	Round_4_Replicate_98	-7399.78	14803.56	13947.26	938860.39	0.01,0.0466
growth	Round_4_Replicate_99	-7401.33	14806.66	13950.44	913279.94	0.01,0.0452
growth	Round_4_Replicate_100	-7406.8	14817.6	13960.1	941630.67	0.01,0.0469
