Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu, T)
growth	Round_1_Replicate_1	-80390.04	160784.08	152301.62	961109.96	0.166,4.8577
growth	Round_1_Replicate_2	-46845.94	93695.88	86275.07	232711.83	0.415,0.4
growth	Round_1_Replicate_3	-86868.88	173741.76	165890.52	162947.58	1.0365,6.3603
growth	Round_1_Replicate_4	-78623.66	157251.32	148639.84	310249.48	0.506,4.4331
growth	Round_1_Replicate_5	-91554.97	183113.94	175568.37	163503.2	1.102,0.3759
growth	Round_1_Replicate_6	-77693.22	155390.44	146716.91	689946.44	0.2256,3.949
growth	Round_1_Replicate_7	-92632.56	185269.12	177719.71	163050.98	1.132,0.3004
growth	Round_1_Replicate_8	-50614.45	101232.9	92972.32	483715.17	0.2362,1.1651
growth	Round_1_Replicate_9	-129309.04	258622.08	255471.25	140932.99	2.3118,0.2977
growth	Round_1_Replicate_10	-75613.02	151230.04	142437.63	691709.85	0.2208,3.2823
growth	Round_1_Replicate_11	-99073.34	198150.68	192169.56	108357.08	1.7232,5.6062
growth	Round_1_Replicate_12	-62743.39	125490.78	116684.03	227492.52	0.5752,0.9532
growth	Round_1_Replicate_13	-131748.09	263500.18	267054.42	83885.57	2.8343,3.4768
growth	Round_1_Replicate_14	-48553.91	97111.82	89042.4	500286.73	0.2216,1.0903
growth	Round_1_Replicate_15	-60363.62	120731.24	111900.97	291476.54	0.4424,1.3479
growth	Round_2_Replicate_1	-32422.83	64849.66	59039.12	352363.3	0.2216,0.5082
growth	Round_2_Replicate_2	-55549.78	111103.56	102711.47	232908.88	0.5033,0.678
growth	Round_2_Replicate_3	-37415.05	74834.1	68142.21	563780.0	0.1617,0.7583
growth	Round_2_Replicate_4	-49735.53	99475.06	91467.74	263514.53	0.4125,0.709
growth	Round_2_Replicate_5	-53533.84	107071.68	98562.81	557407.33	0.2141,1.2874
growth	Round_2_Replicate_6	-34126.83	68257.66	62151.44	364898.99	0.2252,0.5659
growth	Round_2_Replicate_7	-18009.44	36022.88	32837.02	500323.89	0.0968,0.3189
growth	Round_2_Replicate_8	-12107.11	24218.22	22215.19	609136.15	0.055,0.224
growth	Round_2_Replicate_9	-68145.58	136295.16	127589.78	196461.45	0.6957,0.6358
growth	Round_2_Replicate_10	-14119.55	28243.1	25835.61	568965.69	0.0684,0.2585
growth	Round_2_Replicate_11	-22906.56	45817.12	41718.4	379256.71	0.1513,0.3441
growth	Round_2_Replicate_12	-22411.91	44827.82	40828.66	376184.16	0.1489,0.3315
growth	Round_2_Replicate_13	-12981.22	25966.44	23826.2	419276.74	0.0772,0.1904
growth	Round_2_Replicate_14	-48860.5	97725.0	89915.18	244346.36	0.4279,0.5517
growth	Round_2_Replicate_15	-94246.56	188497.12	181423.86	159092.99	1.149,0.6677
growth	Round_2_Replicate_16	-25290.3	50584.6	45977.92	470618.03	0.139,0.4535
growth	Round_2_Replicate_17	-67475.08	134954.16	126086.29	212604.03	0.6508,1.005
growth	Round_2_Replicate_18	-52491.17	104986.34	96766.65	249315.83	0.4531,0.7106
growth	Round_2_Replicate_19	-30876.33	61756.66	56257.28	323952.64	0.2256,0.4242
growth	Round_2_Replicate_20	-86928.86	173861.72	165968.23	167702.62	1.0128,0.2228
growth	Round_2_Replicate_21	-89869.41	179742.82	172255.75	158179.84	1.0962,2.088
growth	Round_2_Replicate_22	-22273.16	44550.32	40583.21	371554.38	0.1491,0.3241
