Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1m, nu2m, nu1f, nu2f, T1, T2, T3)
bottle_schange_thr_epoch	Round_1_Replicate_1	-8819122.79	17638263.58	4682450443933.21	74632.51	1.5377,0.4208,3.6489,2.385,1.8324,3.5217,4.1005,2.5356,0.8368
bottle_schange_thr_epoch	Round_1_Replicate_2	-7309101.04	14618220.08	199274923123.0	69219.99	1.5143,0.1475,4.5386,0.2335,6.4593,2.7093,0.4126,0.3905,3.6217
bottle_schange_thr_epoch	Round_1_Replicate_3	-2575882.3	5151782.6	8.904715896604215e+18	49860.25	0.2061,1.0505,2.186,0.1294,3.2725,0.3607,3.4221,5.796,0.1506
bottle_schange_thr_epoch	Round_1_Replicate_4	-14127224.0	28254466.0	3.1056235285463516e+16	142126.7	1.0692,1.9337,1.1017,2.3368,0.319,0.1438,4.326,0.4851,4.2083
bottle_schange_thr_epoch	Round_1_Replicate_5	-4064333.37	8128684.74	2.6941916045339857e+19	70246.48	0.3188,1.5001,1.1031,0.3142,0.3783,1.5418,0.5932,5.0536,6.3697
bottle_schange_thr_epoch	Round_1_Replicate_6	-2236347.75	4472713.5	577217288572355.0	31900.03	0.6941,0.1655,4.1668,6.2917,0.9548,6.3842,5.9468,5.0211,0.2245
bottle_schange_thr_epoch	Round_1_Replicate_7	-3916795.52	7833609.04	2.0079067356043562e+17	78310.56	0.2673,0.4289,0.1553,1.0745,7.7322,0.3126,4.0685,1.7954,1.3576
bottle_schange_thr_epoch	Round_1_Replicate_8	-4538462.58	9076943.16	689054618.61	83388.95	3.698,1.7609,0.2208,1.7231,7.1245,5.5125,1.8044,0.1609,2.0803
bottle_schange_thr_epoch	Round_1_Replicate_9	-3211767.48	6423552.96	1658290842586202.0	39747.85	0.2171,1.4754,0.2653,1.7116,0.3933,7.2647,0.2072,2.7153,5.2314
bottle_schange_thr_epoch	Round_1_Replicate_10	-4939307.82	9878633.64	1.9032967648361923e+19	117091.55	0.579,0.345,0.3158,0.5115,0.3383,0.2703,5.2286,1.0527,1.7415
bottle_schange_thr_epoch	Round_1_Replicate_11	-9001117.15	18002252.3	7363778975995.44	61784.37	1.5594,0.351,5.1712,7.2577,4.4242,0.7691,3.4551,2.738,2.9231
bottle_schange_thr_epoch	Round_1_Replicate_12	-7330066.7	14660151.4	144727011346.1	203949.56	0.642,0.3547,0.9792,0.8214,1.1224,0.2852,2.3171,0.3924,0.3267
bottle_schange_thr_epoch	Round_1_Replicate_13	-2995341.99	5990701.98	94772662.78	177027.86	4.353,0.1583,6.409,3.806,1.2944,0.2024,0.5228,0.1333,0.3646
bottle_schange_thr_epoch	Round_1_Replicate_14	-2120498.12	4241014.24	23333300.5	148372.57	1.4519,2.5381,0.6926,1.2683,1.1281,6.248,1.7465,0.1655,0.2363
bottle_schange_thr_epoch	Round_1_Replicate_15	-2954471.0	5908960.0	1634536390293471.2	34025.32	0.378,3.3911,0.2938,3.2556,1.9668,4.7473,0.6172,6.4933,3.5381
bottle_schange_thr_epoch	Round_2_Replicate_1	-2417055.42	4834128.84	36815399.53	146844.91	5.0044,0.9957,1.3446,0.4172,1.083,11.0229,1.4028,0.1673,0.5508
