Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1m, nu2m, nu1f, nu2f, T1, T2, T3)
bottle_schange_thr_epoch	Round_1_Replicate_1	-12168985.05	24337988.1	1609236212564506.0	209498.43	0.9334,0.3181,0.1293,0.2068,0.2906,1.484,2.95,0.1471,1.005
bottle_schange_thr_epoch	Round_1_Replicate_2	-4283905.88	8567829.76	642634141.81	90206.49	0.5709,0.2542,1.9074,3.82,5.788,3.251,0.5465,3.186,0.1289
bottle_schange_thr_epoch	Round_1_Replicate_3	-2577420.89	5154859.78	513257174917804.8	72906.01	0.1688,0.1916,1.1258,0.1973,0.8702,0.5055,1.053,5.3714,0.9277
bottle_schange_thr_epoch	Round_1_Replicate_4	-3295389.98	6590797.96	144927123.95	90687.18	0.8057,0.2043,3.1953,1.5603,3.1338,5.2054,0.3471,0.6334,1.8814
bottle_schange_thr_epoch	Round_1_Replicate_5	-2207844.35	4415706.7	29345555.24	190215.82	6.4258,4.2633,7.5611,1.371,0.1824,0.1631,2.199,0.3047,0.4911
bottle_schange_thr_epoch	Round_1_Replicate_6	-3067513.6	6135045.2	90009094.2	161873.64	1.9022,0.3069,0.9702,3.4395,2.6067,1.4298,0.7924,0.6684,0.1847
bottle_schange_thr_epoch	Round_1_Replicate_7	-10348890.64	20697799.28	124061742622358.44	88004.97	0.3245,0.3198,1.9723,0.3204,3.1222,5.1552,0.8227,2.8834,1.8709
bottle_schange_thr_epoch	Round_1_Replicate_8	-11194344.0	22388706.0	914837456658013.9	166620.44	0.1933,0.1411,3.2632,0.296,0.2359,6.8903,0.9225,2.4103,0.2281
bottle_schange_thr_epoch	Round_1_Replicate_9	-4962908.6	9925835.2	7.943167271291974e+21	109043.54	0.5027,0.2795,0.1862,0.1941,8.077,0.4225,2.7621,3.32,0.4236
bottle_schange_thr_epoch	Round_1_Replicate_10	-9721274.19	19442566.38	4698547187141.22	285411.58	5.5276,5.693,0.3193,0.2418,0.1708,2.089,0.1869,1.8337,0.4413
bottle_schange_thr_epoch	Round_1_Replicate_11	-11198368.0	22396754.0	903220098669106.9	85139.88	1.9482,0.5593,3.9761,0.6673,0.2716,0.8327,4.8496,4.7237,0.1617
bottle_schange_thr_epoch	Round_1_Replicate_12	-4425517.43	8851052.86	830221096.94	96922.32	6.4773,1.1059,0.4223,2.8591,4.3003,1.4519,0.2956,0.1439,3.7572
bottle_schange_thr_epoch	Round_1_Replicate_13	-7131977.22	14263972.44	112177023063.6	123554.7	0.3198,0.1992,1.9893,1.6355,2.2504,0.1621,0.6892,3.7666,0.5105
bottle_schange_thr_epoch	Round_1_Replicate_14	-5357263.33	10714544.66	2860005150.29	105990.48	3.3101,1.3994,2.7734,0.511,0.8313,6.914,3.6667,1.0504,0.9145
bottle_schange_thr_epoch	Round_1_Replicate_15	-14777894.39	29555806.78	1.9160104797987065e+21	145488.12	3.0561,0.2142,1.0096,0.9054,0.1633,0.5174,0.1806,1.7434,6.0086
bottle_schange_thr_epoch	Round_2_Replicate_1	-2697497.07	5395012.14	45381632.37	236760.02	7.0831,4.1629,3.0541,1.6406,0.1101,0.1046,2.1985,0.3533,0.4325
bottle_schange_thr_epoch	Round_2_Replicate_2	-1055310.72	2110639.44	4028832.47	113208.4	13.4989,5.1581,17.5772,1.975,0.5256,0.4189,1.2344,0.1826,0.2317
bottle_schange_thr_epoch	Round_2_Replicate_3	-4948732.24	9897482.48	960015251.98	179209.23	16.9642,1.2579,21.9031,2.3144,0.0971,0.1477,4.117,0.1537,0.7492
bottle_schange_thr_epoch	Round_2_Replicate_4	-2474071.68	4948161.36	27997515.24	315039.88	4.5505,6.296,2.6861,1.8109,0.1158,0.3215,0.7434,0.1749,0.7486
bottle_schange_thr_epoch	Round_2_Replicate_5	-1418648.22	2837314.44	8558352.96	152274.48	14.6054,16.8241,18.3493,0.9607,0.5523,0.1818,0.9285,0.2731,0.4005
bottle_schange_thr_epoch	Round_2_Replicate_6	-4252798.02	8505614.04	516943443.22	95069.62	5.465,2.4538,4.3998,0.5085,0.6724,0.1384,5.1133,0.5793,0.2351
bottle_schange_thr_epoch	Round_2_Replicate_7	-2219938.1	4439894.2	30566495.04	188356.44	6.4303,2.3429,23.2946,5.6288,0.0825,0.0783,2.1335,0.6118,0.3379
bottle_schange_thr_epoch	Round_2_Replicate_8	-1664966.21	3329950.42	13904272.74	187047.5	9.4603,1.4637,1.9965,1.6418,0.6481,0.0809,1.1429,0.257,0.2378
bottle_schange_thr_epoch	Round_2_Replicate_9	-9307195.47	18614408.94	247431232389.06	151136.18	15.3128,3.1437,6.0434,1.4915,0.1184,0.1003,6.3016,0.7563,1.6643
bottle_schange_thr_epoch	Round_2_Replicate_10	-12725448.87	25450915.74	121810694598364.86	291597.74	2.8622,8.5587,7.2449,0.5638,0.051,0.0821,1.7575,0.5372,1.8908
bottle_schange_thr_epoch	Round_2_Replicate_11	-4433171.8	8866361.6	426785484.3	281922.75	1.9333,5.6012,2.0449,3.4023,0.2749,0.1877,0.6662,0.4797,1.6481
bottle_schange_thr_epoch	Round_2_Replicate_12	-769726.6	1539471.2	2527228.22	155336.43	14.944,10.1043,11.0743,3.066,0.1528,0.385,1.1224,0.1641,0.2177
bottle_schange_thr_epoch	Round_2_Replicate_13	-1341274.04	2682566.08	7198056.86	265465.47	6.4975,15.0851,2.8085,3.7396,0.17,0.2251,0.8938,0.0857,0.526
bottle_schange_thr_epoch	Round_2_Replicate_14	-4910648.44	9821314.88	1705738396.54	113228.22	2.8677,1.3094,7.9369,1.8091,0.3954,0.1046,4.9779,0.4571,0.2766
bottle_schange_thr_epoch	Round_2_Replicate_15	-4355018.78	8710055.56	531647250.51	132148.72	10.3346,1.556,14.9257,3.2208,0.2872,0.0942,3.9078,0.4211,0.7116
bottle_schange_thr_epoch	Round_2_Replicate_16	-1661722.38	3323462.76	12743983.13	281901.8	7.2793,12.1309,24.6616,0.4306,0.1273,0.3896,0.6394,0.2615,0.4852
bottle_schange_thr_epoch	Round_2_Replicate_17	-2129875.17	4259768.34	27486167.29	238680.79	4.158,1.1095,19.2108,0.4194,0.155,0.212,1.1974,0.1336,0.3251
bottle_schange_thr_epoch	Round_2_Replicate_18	-1422071.39	2844160.78	9457577.17	86538.15	10.5743,10.714,9.5727,4.4294,0.0752,0.3987,2.8394,0.8961,0.1241
bottle_schange_thr_epoch	Round_2_Replicate_19	-6190247.95	12380513.9	3297775016.99	139698.99	4.9256,2.9268,3.3867,2.4656,0.1284,0.5352,5.8219,0.181,1.3922
bottle_schange_thr_epoch	Round_2_Replicate_20	-11215738.14	22431494.28	3450307055611.35	129244.15	20.2839,5.8835,7.6315,0.6252,0.0764,0.1652,8.3157,0.5383,1.9565
bottle_schange_thr_epoch	Round_2_Replicate_21	-4092791.63	8185601.26	354749986.27	142656.87	8.3016,1.9114,12.43,2.7605,0.1085,0.1753,5.1466,0.0944,0.5326
bottle_schange_thr_epoch	Round_2_Replicate_22	-7725128.47	15450274.94	27401195693.0	209544.53	1.9558,1.824,10.3584,0.8887,0.0707,0.2999,4.0431,0.0776,1.2437
bottle_schange_thr_epoch	Round_2_Replicate_23	-2526805.24	5053628.48	54184141.69	126427.65	9.9748,1.5833,5.3593,1.9247,0.2885,0.0938,2.8597,0.1923,0.2346
bottle_schange_thr_epoch	Round_2_Replicate_24	-3161339.42	6322696.84	98877689.82	233869.2	1.7047,2.8375,3.3534,4.9401,0.3051,0.0855,1.7752,0.3606,0.6514
bottle_schange_thr_epoch	Round_2_Replicate_25	-2341575.08	4683168.16	32954537.36	190690.6	7.819,7.3835,8.0291,1.87,0.2929,0.4893,1.5927,0.1986,1.2486
