Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1m, nu2m, nu1f, nu2f, T1, T2, T3)
bottle_schange_thr_epoch	Round_4_Replicate_19	-319236.71	638491.42	747622.22	393514.71	4.0067,9.5255,2.7208,1.3147,0.1334,0.14,0.0217,0.1052,0.1533
bottle_schange_thr_epoch	Round_4_Replicate_20	-267867.25	535752.5	571397.45	389189.49	2.2389,9.2351,3.3567,1.9979,0.1804,0.1035,0.0294,0.0346,0.146
bottle_schange_thr_epoch	Round_4_Replicate_21	-360947.19	721912.38	763566.69	335726.35	3.282,3.7349,2.7134,1.6655,0.2163,0.2595,0.023,0.1159,0.1851
bottle_schange_thr_epoch	Round_4_Replicate_22	-287850.01	575718.02	599384.04	369524.45	3.5455,6.2238,1.9712,3.5967,0.1667,0.1095,0.035,0.0986,0.1361
bottle_schange_thr_epoch	Round_4_Replicate_23	-368451.06	736920.12	770598.25	343649.46	2.8613,4.2001,2.5471,1.1531,0.2111,0.3259,0.0369,0.0803,0.1892
bottle_schange_thr_epoch	Round_4_Replicate_24	-387005.51	774029.02	979924.17	401958.9	1.3793,10.4702,1.8574,1.3199,0.1621,0.1474,0.0685,0.0509,0.1876
bottle_schange_thr_epoch	Round_4_Replicate_25	-270460.63	540939.26	548930.17	378819.5	1.622,4.2961,2.4856,1.0205,0.136,0.1339,0.0285,0.085,0.0961
bottle_schange_thr_epoch	Round_4_Replicate_26	-329910.92	659839.84	700609.53	345873.07	2.8189,4.197,2.6445,2.4339,0.2439,0.1844,0.0258,0.0784,0.1914
bottle_schange_thr_epoch	Round_4_Replicate_27	-262203.32	524424.64	521986.36	387705.54	3.3129,3.2548,1.9308,1.0555,0.1226,0.1321,0.0672,0.0478,0.0969
bottle_schange_thr_epoch	Round_4_Replicate_28	-285742.08	571502.16	584049.75	369855.77	2.9371,5.0231,2.2533,1.9182,0.2001,0.1398,0.0238,0.067,0.1408
bottle_schange_thr_epoch	Round_4_Replicate_29	-305221.09	610460.18	614758.59	363789.95	3.0651,5.2917,3.0922,1.2793,0.2072,0.2096,0.0297,0.037,0.1627
bottle_schange_thr_epoch	Round_4_Replicate_30	-346392.12	692802.24	744178.73	342114.97	2.6543,4.6997,4.5932,2.7997,0.1929,0.2186,0.0234,0.0875,0.2211
bottle_schange_thr_epoch	Round_4_Replicate_31	-260796.17	521610.34	539228.5	375519.4	3.9658,3.1684,3.3195,0.9776,0.0925,0.11,0.0622,0.0875,0.0797
bottle_schange_thr_epoch	Round_4_Replicate_32	-327126.43	654270.86	682747.74	348881.32	1.5672,8.7555,1.8625,3.1324,0.3098,0.1597,0.0274,0.0535,0.1893
bottle_schange_thr_epoch	Round_4_Replicate_33	-248133.35	496284.7	523246.1	384333.3	1.8183,8.2563,4.0052,1.6166,0.0879,0.0793,0.0677,0.0861,0.0877
bottle_schange_thr_epoch	Round_4_Replicate_34	-379156.04	758330.08	961254.39	444595.17	1.3671,5.5861,3.6342,1.0513,0.1071,0.1236,0.047,0.0274,0.1801
bottle_schange_thr_epoch	Round_4_Replicate_35	-311674.04	623366.08	640518.7	374322.55	3.1155,11.3652,2.8103,2.5837,0.1417,0.1619,0.0308,0.0826,0.1615
bottle_schange_thr_epoch	Round_4_Replicate_36	-277193.98	554405.96	546195.6	384921.17	1.0904,4.2022,1.8288,1.7461,0.2063,0.1441,0.0259,0.0308,0.1333
bottle_schange_thr_epoch	Round_4_Replicate_37	-260998.44	522014.88	560232.28	383004.14	1.3177,3.3107,4.704,1.3382,0.1069,0.0992,0.0399,0.093,0.1034
bottle_schange_thr_epoch	Round_4_Replicate_38	-237696.07	475410.14	481418.36	406055.76	1.4575,7.3416,4.8007,1.1611,0.1063,0.1082,0.033,0.0408,0.1062
bottle_schange_thr_epoch	Round_4_Replicate_39	-279381.65	558781.3	607496.18	363429.03	2.8732,5.9247,4.9175,2.6905,0.1277,0.1056,0.0511,0.1022,0.1354
bottle_schange_thr_epoch	Round_4_Replicate_40	-292091.92	584201.84	583822.41	367378.29	1.373,6.0082,3.0037,2.0041,0.1822,0.1608,0.0207,0.0589,0.1406
bottle_schange_thr_epoch	Round_4_Replicate_41	-306488.16	612994.32	628073.64	356380.64	2.395,8.5536,4.4838,1.5321,0.2097,0.1862,0.038,0.0314,0.1666
bottle_schange_thr_epoch	Round_4_Replicate_42	-301153.69	602325.38	674611.37	423770.16	1.4107,5.5536,2.2872,2.5021,0.1342,0.1166,0.0185,0.0401,0.17
bottle_schange_thr_epoch	Round_4_Replicate_43	-293353.7	586725.4	592592.95	372177.31	1.7403,10.8507,2.2008,1.6478,0.1439,0.1504,0.041,0.0892,0.1229
bottle_schange_thr_epoch	Round_4_Replicate_44	-308463.49	616944.98	634510.95	355450.61	1.2415,12.4238,1.5761,1.789,0.1988,0.1332,0.0437,0.1117,0.1124
bottle_schange_thr_epoch	Round_4_Replicate_45	-346358.43	692734.86	750279.27	322609.1	1.7481,8.1144,3.953,2.6797,0.2224,0.1774,0.0479,0.1187,0.178
bottle_schange_thr_epoch	Round_4_Replicate_46	-339193.04	678404.08	661508.28	351708.82	1.5583,6.088,2.3654,1.534,0.1698,0.2401,0.0552,0.0692,0.1397
bottle_schange_thr_epoch	Round_4_Replicate_47	-397827.34	795672.68	724337.91	368027.41	4.1585,11.0208,4.9962,2.401,0.0763,0.2594,0.0202,0.0835,0.115
bottle_schange_thr_epoch	Round_4_Replicate_48	-323652.78	647323.56	650520.33	352296.65	2.0868,7.2777,3.4297,2.4857,0.1719,0.1989,0.0286,0.083,0.1702
bottle_schange_thr_epoch	Round_4_Replicate_49	-243347.05	486712.1	490075.16	401335.16	2.6255,3.9612,3.6,1.5824,0.1204,0.1104,0.0448,0.0297,0.1169
bottle_schange_thr_epoch	Round_4_Replicate_50	-287615.33	575248.66	613094.01	386422.25	1.1517,4.5177,1.9994,1.8909,0.1573,0.1272,0.0178,0.0946,0.1365
bottle_schange_thr_epoch	Round_4_Replicate_51	-404973.75	809965.5	1060378.83	356192.97	2.0491,3.5187,6.7298,1.1812,0.1587,0.202,0.0161,0.1382,0.2192
bottle_schange_thr_epoch	Round_4_Replicate_52	-301204.79	602427.58	691120.23	377441.27	2.7956,4.8962,5.0638,1.3375,0.146,0.1328,0.0243,0.0886,0.156
bottle_schange_thr_epoch	Round_4_Replicate_53	-238734.03	477486.06	503997.64	429235.68	1.6713,6.8518,1.7607,3.0656,0.104,0.0645,0.0607,0.033,0.1033
bottle_schange_thr_epoch	Round_4_Replicate_54	-281996.08	564010.16	583506.8	369120.37	3.3152,5.7592,4.4517,2.0814,0.1559,0.1457,0.0638,0.0327,0.156
