Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1m, nu2m, nu1f, nu2f, T1, T2, T3)
bottle_schange_thr_epoch	Round_1_Replicate_1	-4366772.7	8733563.4	8.413203531187413e+21	76586.01	1.0548,0.3607,0.1704,0.361,0.2436,0.2683,0.2,7.3887,0.9828
bottle_schange_thr_epoch	Round_1_Replicate_2	-7232262.5	14464543.0	33922999882.65	95178.33	0.2843,0.4711,2.0118,3.2963,0.1982,4.5978,0.5341,5.164,1.2074
bottle_schange_thr_epoch	Round_1_Replicate_3	-4187904.2	8375826.4	2.93460031411904e+19	79970.77	0.6829,0.1925,0.4091,0.3023,0.2581,2.1013,5.2226,0.1926,4.3911
bottle_schange_thr_epoch	Round_1_Replicate_4	-11111721.75	22223461.5	192909790045693.53	183849.48	1.8991,5.9841,0.5267,0.4405,1.2211,0.17,0.4539,4.3649,0.1938
bottle_schange_thr_epoch	Round_1_Replicate_5	-7346033.75	14692085.5	164008690143.05	164105.16	0.1813,3.369,0.2626,1.3121,2.487,1.0658,1.1599,0.7351,0.7881
bottle_schange_thr_epoch	Round_1_Replicate_6	-4142037.85	8284093.7	497023636.71	137746.43	1.943,4.4729,3.2044,0.6137,0.4327,5.6474,0.6777,2.4779,0.2846
bottle_schange_thr_epoch	Round_1_Replicate_7	-5784453.19	11568924.38	3640309551.74	128842.07	2.3525,0.3302,8.0747,8.2494,0.3986,1.0464,0.3714,0.8417,5.3328
bottle_schange_thr_epoch	Round_1_Replicate_8	-8976215.79	17952449.58	3694833037338.98	83247.76	0.4843,0.7934,0.4545,0.5625,6.7668,0.9534,0.1945,1.0606,4.5497
bottle_schange_thr_epoch	Round_1_Replicate_9	-3049415.5	6098849.0	1283229975457254.5	39192.21	0.9203,0.4717,0.1461,3.6515,0.6063,5.3707,1.1499,0.2526,6.7232
bottle_schange_thr_epoch	Round_1_Replicate_10	-3582074.65	7164167.3	1674410084356777.5	134129.89	2.1351,0.5998,0.1505,1.2645,5.7203,0.8758,0.1382,3.0417,0.1558
bottle_schange_thr_epoch	Round_1_Replicate_11	-6608292.15	13216602.3	15444136008.18	168290.62	1.7849,1.9097,3.085,1.6933,0.3978,0.6271,1.2978,0.3541,3.7972
bottle_schange_thr_epoch	Round_1_Replicate_12	-1496792.47	2993602.94	11334827.8	170764.8	2.8212,5.7127,3.724,5.5014,0.7922,0.5684,0.4821,0.3498,1.2424
bottle_schange_thr_epoch	Round_1_Replicate_13	-2167424.76	4334867.52	20415601.03	144964.83	3.7238,0.291,4.0781,0.6848,5.4075,1.3582,0.4622,0.2989,0.1739
bottle_schange_thr_epoch	Round_1_Replicate_14	-4799452.92	9598923.84	6.8277557535927656e+16	106184.96	1.1588,0.598,0.3761,1.3617,0.387,0.3035,1.1492,4.1978,3.3426
bottle_schange_thr_epoch	Round_1_Replicate_15	-2589045.48	5178108.96	8108798277993327.0	85480.12	1.2148,5.0164,2.4615,0.1399,0.2159,0.221,0.3039,5.6622,0.5568
bottle_schange_thr_epoch	Round_2_Replicate_1	-2086432.72	4172883.44	14511571.0	132791.46	1.1814,19.735,2.0367,15.5584,0.4081,2.2212,0.1279,0.7662,1.0448
bottle_schange_thr_epoch	Round_2_Replicate_2	-2223280.95	4446579.9	32725430.34	117701.36	3.5607,6.6495,3.4588,12.3527,2.6305,0.449,0.2369,0.3085,2.5464
bottle_schange_thr_epoch	Round_2_Replicate_3	-3183762.93	6367543.86	129211633.11	132566.93	6.1288,1.7719,1.5329,2.0829,2.0553,0.3433,1.652,1.3666,0.7861
bottle_schange_thr_epoch	Round_2_Replicate_4	-1236840.39	2473698.78	4078186.2	169539.33	8.402,1.9075,3.7683,21.8408,0.4026,1.5847,0.1305,0.2079,0.8251
bottle_schange_thr_epoch	Round_2_Replicate_5	-6597216.56	13194451.12	11093457076.67	188897.25	1.2581,8.3353,1.9973,17.8829,0.4809,0.2017,0.3735,0.975,3.8707
bottle_schange_thr_epoch	Round_2_Replicate_6	-1894652.49	3789322.98	18900633.83	106318.23	0.7775,13.5768,7.4347,8.2106,1.4088,1.5113,0.9669,0.4083,1.0104
bottle_schange_thr_epoch	Round_2_Replicate_7	-1547354.74	3094727.48	10797936.56	104304.76	1.8666,16.0181,8.8026,1.7215,2.2229,1.4204,1.5935,0.0874,0.6248
bottle_schange_thr_epoch	Round_2_Replicate_8	-6538493.28	13077004.56	5973416771.42	258405.11	9.3134,2.9209,11.6036,21.9223,0.1998,0.1645,0.2173,0.0855,3.6632
bottle_schange_thr_epoch	Round_2_Replicate_9	-3059067.07	6118152.14	98111932.56	91736.15	3.3187,1.905,14.4949,14.0318,2.3278,0.2031,1.4173,1.0699,1.6723
bottle_schange_thr_epoch	Round_2_Replicate_10	-5880035.41	11760088.82	4017927100.23	202166.68	11.3811,9.9947,1.2019,5.6896,0.2947,0.4843,0.148,1.1521,2.7969
bottle_schange_thr_epoch	Round_2_Replicate_11	-2060898.65	4121815.3	27210700.46	98080.05	4.5859,11.4553,4.6693,4.0387,2.8625,0.9053,0.1603,1.1466,2.0958
bottle_schange_thr_epoch	Round_2_Replicate_12	-1430880.59	2861779.18	9635271.59	152223.51	1.402,7.1059,1.4646,15.4026,1.4107,0.3808,0.3883,0.8271,0.6265
bottle_schange_thr_epoch	Round_2_Replicate_13	-1351216.53	2702451.06	8648277.04	227004.22	9.3628,2.8206,2.9697,3.2088,0.3988,0.3185,0.5576,0.3514,0.7014
bottle_schange_thr_epoch	Round_2_Replicate_14	-2511834.79	5023687.58	51091750.68	131624.25	5.8771,2.3099,9.1107,1.6571,0.5365,1.1702,1.5669,0.8581,1.2864
bottle_schange_thr_epoch	Round_2_Replicate_15	-1803235.31	3606488.62	16561718.83	259624.58	1.9674,12.5608,5.6047,1.8736,0.4189,0.2086,0.4712,0.1789,0.8682
bottle_schange_thr_epoch	Round_2_Replicate_16	-1919520.34	3839058.68	12811174.96	107141.69	4.7837,6.3024,6.3554,21.1726,0.2502,1.6065,1.718,0.4349,0.6997
bottle_schange_thr_epoch	Round_2_Replicate_17	-1822525.13	3645068.26	17004047.09	146570.77	3.5918,21.9974,2.4146,1.8865,2.621,0.3461,0.2163,0.9242,0.7558
bottle_schange_thr_epoch	Round_2_Replicate_18	-2222846.93	4445711.86	25411365.74	135824.69	1.1237,6.8137,4.1747,11.595,0.3676,0.9,1.6685,0.1449,0.5891
bottle_schange_thr_epoch	Round_2_Replicate_19	-2639141.29	5278300.58	48862236.48	131390.74	3.3737,1.8936,3.1987,14.5953,0.5162,1.3294,1.738,0.0922,1.5146
bottle_schange_thr_epoch	Round_2_Replicate_20	-1252589.9	2505197.8	4180382.84	100646.82	5.0345,6.0404,10.0158,19.1701,3.0427,0.3028,0.5493,0.5218,0.3253
bottle_schange_thr_epoch	Round_2_Replicate_21	-1651503.28	3303024.56	12713510.29	180114.95	0.9989,12.6093,1.0461,6.3833,0.7923,0.4926,0.1627,0.9648,0.5337
bottle_schange_thr_epoch	Round_2_Replicate_22	-1321830.54	2643679.08	6444644.68	155324.02	4.1109,1.8193,6.8559,5.7535,2.3308,0.2586,0.1832,0.0925,0.8866
bottle_schange_thr_epoch	Round_2_Replicate_23	-8987068.46	17974154.92	827072777788.34	245743.05	3.3483,5.2488,2.5549,1.7197,0.3299,0.1408,0.3523,0.2046,3.492
bottle_schange_thr_epoch	Round_2_Replicate_24	-1989737.82	3979493.64	24540454.16	113027.7	9.1152,13.2206,2.6727,14.3181,1.9452,1.0456,0.1179,0.1543,2.9671
bottle_schange_thr_epoch	Round_2_Replicate_25	-1213616.13	2427250.26	6861700.38	186600.9	2.4388,19.6345,15.419,3.3542,0.4739,0.7273,0.2353,0.2895,1.1661
bottle_schange_thr_epoch	Round_2_Replicate_26	-2803153.67	5606325.34	51125106.01	207698.31	4.1037,6.4357,4.9762,19.0693,0.288,0.5729,0.2863,0.1061,2.2048
bottle_schange_thr_epoch	Round_2_Replicate_27	-1043662.3	2087342.6	4360139.59	188391.54	0.8538,4.3607,1.328,14.6559,1.4573,0.2778,0.367,0.3146,0.3619
bottle_schange_thr_epoch	Round_2_Replicate_28	-1259546.97	2519111.94	5769370.11	110269.34	4.5154,3.5712,10.395,12.5116,0.6939,1.6137,1.0578,0.3311,0.6679
bottle_schange_thr_epoch	Round_2_Replicate_29	-1854935.49	3709888.98	15834912.16	214741.68	0.8388,4.1683,1.3767,3.8985,0.2381,0.355,0.2622,1.1074,0.372
bottle_schange_thr_epoch	Round_2_Replicate_30	-2628207.44	5256432.88	58757622.68	148988.02	6.1401,20.3516,4.6402,6.2706,1.0981,0.6145,0.1227,0.0967,3.1228
bottle_schange_thr_epoch	Round_3_Replicate_1	-1250349.22	2500716.44	4513189.2	128283.55	1.1221,7.5923,3.7484,4.178,2.6586,0.7186,0.5941,0.4284,0.1798
bottle_schange_thr_epoch	Round_3_Replicate_2	-1088085.84	2176189.68	3391411.25	131332.07	3.1264,4.2948,2.1124,8.6393,3.8178,0.7924,0.1917,0.4995,0.4834
bottle_schange_thr_epoch	Round_3_Replicate_3	-767455.79	1534929.58	1533322.71	248517.35	2.2799,10.7124,0.7855,21.2173,0.4486,0.2645,0.0862,0.2118,0.106
bottle_schange_thr_epoch	Round_3_Replicate_4	-2969426.79	5938871.58	83780275.84	148749.24	0.6882,3.3081,1.346,24.5686,3.9919,0.161,1.1777,0.074,1.0585
bottle_schange_thr_epoch	Round_3_Replicate_5	-940664.87	1881347.74	2960368.7	144023.96	3.0195,2.8346,2.8501,15.2542,2.8654,0.1179,0.2332,0.7274,0.1674
bottle_schange_thr_epoch	Round_3_Replicate_6	-1108744.89	2217507.78	4903928.25	145375.26	0.7592,2.3806,3.4593,11.3768,2.258,0.2755,0.1957,0.6624,0.4767
bottle_schange_thr_epoch	Round_3_Replicate_7	-1709683.71	3419385.42	14518397.22	212434.92	1.3364,1.117,0.8217,4.0455,0.8733,0.5182,0.5301,0.2787,0.6195
bottle_schange_thr_epoch	Round_3_Replicate_8	-2591822.77	5183663.54	57375533.8	188277.79	0.3631,1.2345,0.9537,26.8264,1.6509,0.163,0.3568,0.8759,0.7679
bottle_schange_thr_epoch	Round_3_Replicate_9	-1569326.93	3138671.86	13723738.46	155756.41	0.6776,2.4888,2.6822,7.8026,0.9454,0.1107,0.4523,1.2382,0.2515
bottle_schange_thr_epoch	Round_3_Replicate_10	-2463802.95	4927623.9	43324728.91	224667.8	0.3424,5.3488,0.3844,4.1227,1.7076,0.3237,0.3033,0.088,0.9944
bottle_schange_thr_epoch	Round_3_Replicate_11	-1408076.34	2816170.68	9088228.93	220601.28	1.4727,2.4204,1.1251,17.8206,1.4451,0.1662,0.3399,0.0738,0.8131
bottle_schange_thr_epoch	Round_3_Replicate_12	-808631.16	1617280.32	2085223.25	190480.94	0.7352,3.1479,1.715,6.3608,2.2047,0.3089,0.0841,0.3724,0.2399
bottle_schange_thr_epoch	Round_3_Replicate_13	-1518059.23	3036136.46	9052977.27	199410.84	0.4196,1.0879,0.9841,4.0028,4.0827,0.2235,0.2132,0.2205,0.5094
bottle_schange_thr_epoch	Round_3_Replicate_14	-3014035.22	6028088.44	86782725.16	165841.54	0.9363,16.1903,0.8473,26.9012,2.8584,0.13,0.9572,0.2934,1.2291
bottle_schange_thr_epoch	Round_3_Replicate_15	-1434086.59	2868191.18	7259222.78	291118.75	0.2646,1.2906,0.8014,4.1941,0.4253,0.3835,0.3511,0.0775,0.1627
bottle_schange_thr_epoch	Round_3_Replicate_16	-1095364.68	2190747.36	3342077.86	121000.39	2.6431,8.7875,4.3427,10.5259,3.1811,0.8106,0.2576,0.3824,0.5732
bottle_schange_thr_epoch	Round_3_Replicate_17	-4008568.88	8017155.76	518400128.11	162105.9	0.3416,3.024,2.7607,22.9073,0.7772,0.1,1.3166,1.1923,0.4948
bottle_schange_thr_epoch	Round_3_Replicate_18	-1581716.15	3163450.3	12197675.77	134433.29	2.1853,1.3966,1.925,17.1018,3.4477,0.2009,0.1596,1.2509,0.6649
bottle_schange_thr_epoch	Round_3_Replicate_19	-1331197.67	2662413.34	7780673.14	138652.57	1.7214,13.1952,1.4138,27.2255,2.7714,0.429,0.6876,0.1185,0.9447
bottle_schange_thr_epoch	Round_3_Replicate_20	-2168536.08	4337090.16	28697780.33	157082.33	1.0031,5.8251,0.7845,4.0782,3.0753,0.3307,1.2986,0.2662,0.5318
bottle_schange_thr_epoch	Round_3_Replicate_21	-794977.74	1589973.48	2510623.61	269172.32	0.3717,2.1168,2.217,7.2322,0.5105,0.2893,0.2174,0.0808,0.2535
bottle_schange_thr_epoch	Round_3_Replicate_22	-1949291.54	3898601.08	13922447.67	216235.64	0.4376,1.3511,0.5994,28.0679,0.6194,0.5053,0.6409,0.1771,0.1091
