Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T1, T2, T3)
sec_contact_sym_mig_three_epoch	Round_3_Replicate_9	-46301.34	92614.68	126672.15	8099.83	0.7842,1.5001,2.2994,8.9743,1.0751,0.0753
sec_contact_sym_mig_three_epoch	Round_3_Replicate_10	-30262.81	60537.62	107517.16	5678.73	5.1104,0.315,9.8451,23.6148,1.3545,0.0635
sec_contact_sym_mig_three_epoch	Round_3_Replicate_11	-41210.79	82433.58	98911.46	3507.57	3.351,0.9699,3.1457,29.7876,1.9843,0.4613
sec_contact_sym_mig_three_epoch	Round_3_Replicate_12	-45941.57	91895.14	120416.05	6570.13	2.7527,0.4283,1.2313,28.1783,3.8645,0.0493
sec_contact_sym_mig_three_epoch	Round_3_Replicate_13	-65231.1	130474.2	158251.06	9351.13	0.837,0.6289,1.3268,10.8349,1.2089,0.198
sec_contact_sym_mig_three_epoch	Round_3_Replicate_14	-45894.83	91801.66	107292.9	11486.98	1.3042,0.6759,2.8678,26.6621,5.3691,0.1717
sec_contact_sym_mig_three_epoch	Round_3_Replicate_15	-63301.59	126615.18	170019.86	3496.06	5.382,2.3573,1.0115,12.562,3.6549,0.9376
sec_contact_sym_mig_three_epoch	Round_3_Replicate_16	-31755.66	63523.32	178100.81	3453.94	2.6377,1.9732,5.6758,29.2969,3.3519,0.2172
sec_contact_sym_mig_three_epoch	Round_3_Replicate_17	-51755.66	103523.32	626283.16	5178.12	7.1471,1.2799,8.8885,16.5714,9.4954,0.1637
sec_contact_sym_mig_three_epoch	Round_3_Replicate_18	-127404.24	254820.48	404200.01	9988.9	0.8292,1.9006,5.0478,23.8334,6.7202,0.6936
sec_contact_sym_mig_three_epoch	Round_3_Replicate_19	-32022.53	64057.06	92665.69	4924.42	3.9149,1.0928,15.7794,21.3589,3.8225,0.2741
sec_contact_sym_mig_three_epoch	Round_3_Replicate_20	-22342.01	44696.02	64453.29	4265.81	1.9151,0.7064,6.7251,29.2221,1.4995,0.1307
sec_contact_sym_mig_three_epoch	Round_3_Replicate_21	-41940.16	83892.32	207928.06	5510.39	6.3058,0.9576,7.6599,26.3564,6.9764,0.176
sec_contact_sym_mig_three_epoch	Round_3_Replicate_22	-84206.67	168425.34	283200.58	6276.06	3.178,0.9141,3.6891,21.9624,5.28,0.6961
sec_contact_sym_mig_three_epoch	Round_3_Replicate_23	-133599.83	267211.66	653325.91	20354.82	1.069,0.3947,8.05,16.9025,14.1708,0.396
sec_contact_sym_mig_three_epoch	Round_3_Replicate_24	-78356.0	156724.0	258550.01	8947.2	1.9972,0.4687,4.349,13.5866,2.0662,0.3599
sec_contact_sym_mig_three_epoch	Round_3_Replicate_25	-58263.19	116538.38	264415.65	9262.45	6.9793,0.4768,5.9181,10.1017,4.4263,0.0751
sec_contact_sym_mig_three_epoch	Round_3_Replicate_26	-29651.54	59315.08	63000.1	3505.66	2.4797,1.6461,1.3439,29.0356,2.8677,0.2495
sec_contact_sym_mig_three_epoch	Round_3_Replicate_27	-75428.04	150868.08	218330.4	11426.42	7.8096,0.4295,9.0655,23.0303,17.111,0.1337
sec_contact_sym_mig_three_epoch	Round_3_Replicate_28	-31285.08	62582.16	70251.67	5071.2	2.6271,1.0955,14.2029,16.3283,1.8069,0.3209
sec_contact_sym_mig_three_epoch	Round_3_Replicate_29	-28751.55	57515.1	67019.06	6413.66	1.2114,0.9183,1.7567,27.319,3.0483,0.0625
sec_contact_sym_mig_three_epoch	Round_3_Replicate_30	-23065.07	46142.14	78992.32	4802.33	2.2626,0.3948,5.5043,28.6951,1.3189,0.0589
sec_contact_sym_mig_three_epoch	Round_4_Replicate_1	-28545.51	57103.02	106061.8	5261.21	1.3222,1.0295,6.254,24.5545,1.9932,0.1202
sec_contact_sym_mig_three_epoch	Round_4_Replicate_2	-24858.71	49729.42	72154.19	4314.6	2.824,0.8571,4.8991,29.2693,2.5003,0.169
sec_contact_sym_mig_three_epoch	Round_4_Replicate_3	-25205.25	50422.5	59376.75	6044.37	1.6852,0.622,8.4086,24.1118,1.8732,0.1503
sec_contact_sym_mig_three_epoch	Round_4_Replicate_4	-22301.02	44614.04	57136.87	5523.91	1.4057,0.5186,10.413,23.5548,1.1372,0.1097
sec_contact_sym_mig_three_epoch	Round_4_Replicate_5	-22902.24	45816.48	63848.5	3475.86	3.26,0.8099,4.7442,24.9742,0.7978,0.1542
sec_contact_sym_mig_three_epoch	Round_4_Replicate_6	-22548.86	45109.72	66856.57	6373.29	1.4177,0.47,8.9391,26.1404,1.5733,0.0869
sec_contact_sym_mig_three_epoch	Round_4_Replicate_7	-23638.22	47288.44	67785.09	4009.67	1.8456,0.8162,11.1503,24.472,0.7935,0.1516
sec_contact_sym_mig_three_epoch	Round_4_Replicate_8	-22993.97	45999.94	49565.45	5162.94	1.0667,0.4777,9.2433,27.0399,0.9629,0.1076
sec_contact_sym_mig_three_epoch	Round_4_Replicate_9	-42214.82	84441.64	100165.39	10794.83	1.1207,0.3933,6.8629,23.4541,2.1569,0.1657
sec_contact_sym_mig_three_epoch	Round_4_Replicate_10	-25174.29	50360.58	62483.63	4762.79	1.2036,0.8003,3.685,29.6632,1.6523,0.1014
sec_contact_sym_mig_three_epoch	Round_4_Replicate_11	-22455.23	44922.46	56536.2	3117.48	2.8582,0.9411,3.8667,29.7846,0.9279,0.1752
sec_contact_sym_mig_three_epoch	Round_4_Replicate_12	-25485.99	50983.98	68004.68	4300.35	1.7577,1.0522,3.2813,20.5687,0.8216,0.1336
sec_contact_sym_mig_three_epoch	Round_4_Replicate_13	-21589.08	43190.16	66299.9	4038.9	2.243,0.5111,4.4849,24.8378,0.8093,0.0742
sec_contact_sym_mig_three_epoch	Round_4_Replicate_14	-35176.59	70365.18	145959.22	5974.94	0.9711,1.2124,3.8654,17.7088,1.4695,0.0765
sec_contact_sym_mig_three_epoch	Round_4_Replicate_15	-24004.01	48020.02	59861.07	5440.59	1.4992,0.6625,14.3061,24.632,1.4948,0.148
sec_contact_sym_mig_three_epoch	Round_4_Replicate_16	-20613.99	41239.98	62997.68	5056.49	1.3286,0.372,7.1002,29.7406,1.0587,0.0575
sec_contact_sym_mig_three_epoch	Round_4_Replicate_17	-24568.51	49149.02	76185.14	3734.61	3.0418,1.0518,5.8145,28.2885,2.1373,0.2032
sec_contact_sym_mig_three_epoch	Round_4_Replicate_18	-24203.53	48419.06	94907.94	5025.69	2.4863,0.5325,5.8231,29.6791,1.9509,0.082
sec_contact_sym_mig_three_epoch	Round_4_Replicate_19	-25001.74	50015.48	55000.16	4641.21	1.8394,0.748,6.0593,29.6471,1.8624,0.1851
sec_contact_sym_mig_three_epoch	Round_4_Replicate_20	-21851.16	43714.32	60881.93	3878.62	2.7423,0.5661,18.9565,28.9464,1.0356,0.1419
sec_contact_sym_mig_three_epoch	Round_4_Replicate_21	-23325.05	46662.1	62304.02	3762.64	2.4768,0.9216,8.6034,28.7556,1.5653,0.2001
sec_contact_sym_mig_three_epoch	Round_4_Replicate_22	-29528.87	59069.74	88502.88	7861.9	1.175,0.8146,13.4507,24.5711,2.896,0.134
sec_contact_sym_mig_three_epoch	Round_4_Replicate_23	-23631.41	47274.82	80035.19	3826.73	3.344,0.7799,5.7714,24.809,1.3415,0.1456
sec_contact_sym_mig_three_epoch	Round_4_Replicate_24	-26388.72	52789.44	73823.89	4361.69	1.6887,1.0747,8.2702,20.8748,0.8539,0.1755
sec_contact_sym_mig_three_epoch	Round_4_Replicate_25	-27286.35	54584.7	101152.36	6429.54	2.9867,0.4391,10.4434,28.9649,2.2314,0.0875
sec_contact_sym_mig_three_epoch	Round_4_Replicate_26	-25021.47	50054.94	73057.45	7555.66	1.0844,0.5512,20.8834,23.3543,1.7115,0.1055
sec_contact_sym_mig_three_epoch	Round_4_Replicate_27	-26074.03	52160.06	76703.61	4699.28	1.327,0.9086,5.7446,29.4853,1.8176,0.1256
sec_contact_sym_mig_three_epoch	Round_4_Replicate_28	-24629.33	49270.66	59219.87	4899.81	2.3689,0.6411,9.8339,29.715,2.0155,0.1726
sec_contact_sym_mig_three_epoch	Round_4_Replicate_29	-23416.14	46844.28	76313.7	4418.76	2.5735,0.695,8.7202,29.2646,1.8792,0.1398
sec_contact_sym_mig_three_epoch	Round_4_Replicate_30	-25263.1	50538.2	88487.79	5270.77	2.6767,0.5297,5.2343,29.7372,2.2106,0.0868
sec_contact_sym_mig_three_epoch	Round_4_Replicate_31	-22931.86	45875.72	56372.3	4423.23	1.9682,0.7337,4.5861,25.8286,1.4578,0.1432
sec_contact_sym_mig_three_epoch	Round_4_Replicate_32	-24862.61	49737.22	103344.0	8238.81	1.0444,0.4686,13.3546,25.1731,1.7907,0.0679
sec_contact_sym_mig_three_epoch	Round_4_Replicate_33	-27884.91	55781.82	90184.36	4503.99	1.7497,1.2252,10.7634,21.8152,1.5409,0.1906
sec_contact_sym_mig_three_epoch	Round_4_Replicate_34	-21730.65	43473.3	79848.16	4332.51	1.9554,0.5196,6.5667,28.7509,1.1963,0.0798
sec_contact_sym_mig_three_epoch	Round_4_Replicate_35	-27071.71	54155.42	80353.39	5406.59	1.1912,0.8754,6.5086,23.8547,1.6035,0.1189
sec_contact_sym_mig_three_epoch	Round_4_Replicate_36	-23146.84	46305.68	55915.11	4357.66	2.2146,0.6725,5.3788,27.1576,1.5065,0.1515
sec_contact_sym_mig_three_epoch	Round_4_Replicate_37	-31957.88	63927.76	104400.77	4867.71	1.2571,1.3233,11.1383,26.89,2.1896,0.1668
sec_contact_sym_mig_three_epoch	Round_4_Replicate_38	-24692.89	49397.78	79871.93	4519.76	2.852,0.6766,3.6485,29.3382,2.3274,0.1056
sec_contact_sym_mig_three_epoch	Round_4_Replicate_39	-25800.85	51613.7	83506.13	4394.33	3.294,0.794,5.2787,29.9047,2.695,0.1537
sec_contact_sym_mig_three_epoch	Round_4_Replicate_40	-26207.7	52427.4	82774.11	4809.06	2.6358,0.9181,9.0797,28.067,2.899,0.1866
