Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
sym_mig_size	Round_4_Replicate_22	-29208.02	58430.04	73909.88	27066.99	7.5495,4.0535,0.3192,0.1798,5.0355,0.8284,0.2616
sym_mig_size	Round_4_Replicate_23	-29643.16	59300.32	74913.29	32289.74	7.4728,5.624,0.3715,0.1745,4.914,0.7526,0.4866
sym_mig_size	Round_4_Replicate_24	-26663.4	53340.8	97293.73	30378.24	12.3006,1.731,0.3742,0.1266,8.2577,0.8947,0.2986
sym_mig_size	Round_4_Replicate_25	-28668.16	57350.32	81463.99	32119.96	9.2144,5.9876,0.2832,0.1824,6.2262,0.7578,0.3591
sym_mig_size	Round_4_Replicate_26	-25914.74	51843.48	70344.53	34545.11	8.9174,4.1036,0.2963,0.1285,7.2781,0.9823,0.3859
sym_mig_size	Round_4_Replicate_27	-28617.36	57248.72	79002.3	29782.5	23.5122,6.3951,0.3737,0.1425,5.9399,0.534,0.2551
sym_mig_size	Round_4_Replicate_28	-31897.63	63809.26	105051.36	25184.27	9.2189,3.3311,0.4322,0.1656,5.6427,0.5709,0.1945
sym_mig_size	Round_4_Replicate_29	-27868.76	55751.52	80323.44	26897.71	20.8905,5.765,0.3272,0.1545,6.165,0.7322,0.2235
sym_mig_size	Round_4_Replicate_30	-26198.64	52411.28	97051.24	22299.12	17.9475,2.093,0.4595,0.1555,6.7306,1.5363,0.3171
sym_mig_size	Round_4_Replicate_31	-30937.7	61889.4	92206.42	26784.65	17.0012,5.3462,0.3372,0.2287,5.0829,0.7203,0.303
sym_mig_size	Round_4_Replicate_32	-25128.07	50270.14	94291.8	33926.87	16.7523,3.3198,0.3019,0.0895,11.472,0.9207,0.264
sym_mig_size	Round_4_Replicate_33	-27204.0	54422.0	91226.38	25759.15	8.0999,1.7733,0.3987,0.1652,6.3262,1.0207,0.2788
sym_mig_size	Round_4_Replicate_34	-28001.35	56016.7	86815.87	21503.14	24.5523,3.1187,0.393,0.1546,5.9576,1.1663,0.2152
sym_mig_size	Round_4_Replicate_35	-28822.95	57659.9	96760.74	19680.13	16.8796,4.1185,0.6227,0.1278,6.6235,1.7835,0.3523
sym_mig_size	Round_4_Replicate_36	-24455.44	48924.88	77966.19	31663.82	11.5167,2.5144,0.2761,0.1133,9.1539,0.9575,0.2534
sym_mig_size	Round_4_Replicate_37	-32572.48	65158.96	72586.39	27191.92	7.9457,3.6326,0.3217,0.2022,3.7431,1.0614,0.3673
sym_mig_size	Round_4_Replicate_38	-23491.88	46997.76	69642.1	24922.17	22.3668,2.6483,0.3009,0.1149,8.3258,1.5283,0.2448
sym_mig_size	Round_4_Replicate_39	-26714.38	53442.76	71734.23	24603.18	7.5247,2.6375,0.4313,0.1829,4.9309,1.5242,0.4478
sym_mig_size	Round_4_Replicate_40	-24586.65	49187.3	77195.77	18704.15	11.7852,4.0217,0.3983,0.166,6.064,2.0318,0.2885
