Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2, T3)
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_1	-249669.67	499357.34	289285225557829.75	2731.67	4.2978,2.3912,0.1993,2.0356,0.5181,0.5028,1.6528,4.7704,5.9914
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_2	-354813.08	709644.16	10543650.9	27344.98	5.3339,0.3538,0.4625,0.4666,0.3941,1.8269,0.5071,6.336,0.7543
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_3	-223591.79	447201.58	1585227.69	23765.37	0.4948,4.0158,0.2627,0.2558,1.4653,0.2995,1.609,0.1402,0.1631
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_4	-474622.86	949263.72	30166862.9	27723.59	1.9848,0.5238,0.1694,2.4117,0.1591,6.3933,0.8738,0.9371,0.5211
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_5	-95052.89	190123.78	303504.85	6201.28	1.3562,1.8152,3.0549,3.8872,6.2119,0.733,5.429,0.3289,0.8948
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_6	-148142.11	296302.22	749644.16	5979.67	2.6667,1.7102,5.1792,5.8114,0.4111,0.6531,1.063,0.5256,0.7289
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_7	-96602.05	193222.1	508412.98	8811.03	0.9746,7.6955,4.0108,1.7109,0.7451,7.1412,0.9064,1.163,0.2972
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_8	-224770.23	449558.46	2323063.26	13100.65	2.8739,4.3294,5.0081,0.2298,0.1741,0.7078,0.1839,0.2436,0.2528
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_9	-320132.95	640283.9	3479275160051.26	7481.21	0.1784,1.4295,0.6107,0.2509,2.2496,0.174,4.2351,0.6228,4.7
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_10	-96330.78	192679.56	252436.12	9699.26	0.4052,0.9295,1.0825,3.1684,5.5254,0.2692,1.6888,2.7695,0.4433
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_1	-136413.12	272844.24	702847.04	7351.35	1.5833,0.6303,6.946,3.6273,12.3592,0.2947,4.3441,0.1018,0.4219
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_2	-185749.64	371517.28	1519182.26	3893.72	5.3819,0.6979,5.975,1.8582,3.0031,0.4249,10.9771,0.1982,1.5182
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_3	-65734.01	131486.02	143991.84	6986.82	2.9211,0.9787,1.1522,2.9215,1.8276,0.7604,7.4425,0.7077,0.3054
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_4	-86458.63	172935.26	286778.36	5885.56	1.2033,0.7191,4.6239,1.409,6.2122,2.7271,7.8737,0.51,0.9362
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_5	-91654.56	183327.12	1783934.11	4625.52	1.4553,2.7824,10.1988,12.344,6.0557,0.2003,5.1004,0.2767,0.4122
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_6	-76371.21	152760.42	229359.58	4236.21	3.475,1.7299,4.9014,5.1279,2.539,0.5602,8.4987,0.7111,0.8631
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_7	-77715.98	155449.96	228033.95	4998.93	0.8248,1.9876,3.6604,5.1103,6.4622,1.1234,7.9783,0.2058,0.9733
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_8	-50014.77	100047.54	156439.63	4770.91	1.7823,1.1597,2.0797,7.2136,7.7999,2.226,13.9074,0.2302,0.3182
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_9	-141826.38	283670.76	661956.89	11629.82	0.4251,0.5745,1.2017,4.375,4.3882,0.22,2.1586,0.2835,0.4842
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_10	-120582.06	241182.12	617267.86	6466.79	1.1133,0.6345,2.1994,2.3171,8.9972,0.3744,10.5589,0.1178,0.4718
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_11	-90456.5	180931.0	252695.47	6382.86	0.5456,4.158,1.8433,5.1655,7.6048,0.2476,4.1453,0.1497,0.5916
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_12	-225732.8	451483.6	1849376.54	6284.99	1.2615,0.522,3.5132,8.8915,16.1308,0.4132,1.4075,0.193,1.7797
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_13	-80002.3	160022.6	400856.68	5882.33	2.7958,3.2896,2.8943,7.7723,22.7949,0.3973,7.1943,0.3838,0.4938
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_14	-146132.82	292283.64	1042945.39	5453.88	2.4112,1.3478,3.4635,10.2836,2.7471,0.9971,5.4915,0.1083,0.6643
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_15	-88471.6	176961.2	259514.47	11389.85	0.3605,1.4161,1.683,2.4896,4.6302,0.7757,1.4353,0.2361,0.379
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_16	-133083.0	266184.0	857528.61	5067.19	1.2425,0.7688,3.4577,6.8394,3.4383,0.1785,12.2461,0.2237,0.3541
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_17	-315263.67	630545.34	5148274.2	6451.52	0.4005,0.4727,1.4803,12.9532,21.0958,0.3437,2.7642,0.4942,1.9938
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_18	-144751.05	289520.1	455173.55	4660.84	4.3779,0.448,0.9721,9.6708,2.4183,2.1654,12.3641,0.1606,0.8653
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_19	-86395.21	172808.42	197384.82	7834.0	1.1972,3.264,0.9688,5.4818,19.9059,0.4811,5.671,0.2212,0.3765
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_20	-123400.57	246819.14	446067.07	8157.11	1.2434,2.693,1.267,1.7464,4.3009,1.4952,4.9132,0.1582,0.7702
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_1	-99370.88	198759.76	219450.76	3834.95	2.7956,2.6929,1.1371,13.4856,10.3279,5.78,14.548,0.5084,0.6563
