Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
sec_contact_sym_mig_size	Round_1_Replicate_1	-47323.51	94661.02	101255.05	53073.86	0.1724,0.2605,0.164,0.1876,4.6568,0.2268,0.2947
sec_contact_sym_mig_size	Round_1_Replicate_2	-48465.34	96944.68	425073.08	11931.63	6.404,0.2684,1.4579,0.8927,2.1344,2.01,1.2643
sec_contact_sym_mig_size	Round_1_Replicate_3	-147188.61	294391.22	981234.82	14464.86	0.7146,4.4042,2.247,0.2013,0.4329,0.2206,1.7447
sec_contact_sym_mig_size	Round_1_Replicate_4	-100854.4	201722.8	343508.39	30873.94	1.9154,6.9746,0.2911,0.1761,0.4586,0.2884,0.1494
sec_contact_sym_mig_size	Round_1_Replicate_5	-54252.71	108519.42	229691.43	10204.69	1.3411,1.1426,0.6817,1.6034,1.6917,5.7668,1.4898
sec_contact_sym_mig_size	Round_1_Replicate_6	-65360.99	130735.98	770272.9	4346.63	0.3749,5.3817,3.9509,4.0358,0.6566,0.1677,8.2507
sec_contact_sym_mig_size	Round_1_Replicate_7	-69273.74	138561.48	366503.3	19405.74	0.6595,2.3371,0.4479,1.4473,2.6788,0.2379,1.3764
sec_contact_sym_mig_size	Round_1_Replicate_8	-24854.21	49722.42	49922.51	18367.51	1.1443,0.14,0.3056,0.1312,5.6007,4.3145,0.2103
sec_contact_sym_mig_size	Round_1_Replicate_9	-85164.49	170342.98	220397.49	34537.17	0.1447,0.6647,0.1956,0.7628,2.6844,1.0408,7.7058
sec_contact_sym_mig_size	Round_1_Replicate_10	-80210.65	160435.3	290261.62	31298.81	5.1386,1.664,0.5861,0.1547,1.3291,0.3568,0.9504
sec_contact_sym_mig_size	Round_2_Replicate_1	-28737.68	57489.36	124742.03	6141.0	1.2908,0.1782,0.931,0.2404,5.3067,16.1253,0.3071
