Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
sec_contact_sym_mig_size	Round_1_Replicate_1	-70000.43	140014.86	1972171.43	8685.96	2.238,2.0529,1.946,1.9745,1.8114,1.8601,1.6056
sec_contact_sym_mig_size	Round_1_Replicate_2	-91207.61	182429.22	271239.31	22297.07	0.2608,4.6375,0.4862,1.1808,1.5694,0.2163,0.175
sec_contact_sym_mig_size	Round_1_Replicate_3	-164745.54	329505.08	1043325.97	33364.23	0.1399,0.27,0.4783,0.2621,0.3356,0.1295,0.4861
sec_contact_sym_mig_size	Round_1_Replicate_4	-91925.29	183864.58	669933.83	18059.85	0.1325,0.2876,0.1934,4.6238,4.0872,2.8804,0.3486
sec_contact_sym_mig_size	Round_1_Replicate_5	-114437.56	228889.12	677318.75	13247.12	1.1424,1.6628,1.5861,0.9893,0.7408,1.3488,0.2287
sec_contact_sym_mig_size	Round_1_Replicate_6	-72310.43	144634.86	3153456.27	5565.16	2.5223,0.5523,2.8563,3.1678,1.3693,2.3888,5.2383
sec_contact_sym_mig_size	Round_1_Replicate_7	-138474.42	276962.84	780423.43	14078.68	0.1663,0.1819,1.2975,0.3116,0.2826,0.639,7.3064
sec_contact_sym_mig_size	Round_1_Replicate_8	-255450.02	510914.04	2855740.31	26872.39	1.1281,0.6612,0.3298,0.2751,0.1792,0.4195,2.688
sec_contact_sym_mig_size	Round_1_Replicate_9	-113031.45	226076.9	343278.06	30504.42	0.1231,7.5396,0.2019,0.2297,1.0871,7.4928,1.5706
sec_contact_sym_mig_size	Round_1_Replicate_10	-79132.08	158278.16	274383.28	44111.47	0.7355,8.3048,0.3936,0.1613,1.5596,0.1902,7.5503
sec_contact_sym_mig_size	Round_2_Replicate_1	-58677.37	117368.74	192373.58	5715.47	5.62,0.5907,6.1744,0.9678,0.8121,4.2656,1.1985
sec_contact_sym_mig_size	Round_2_Replicate_2	-54910.74	109835.48	152652.73	14488.89	5.1333,0.6136,0.7318,1.1759,1.3213,1.5278,5.518
