Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
sec_contact_sym_mig_size	Round_1_Replicate_1	-88057.14	176128.28	368965.16	11693.95	0.2709,0.2173,6.1955,0.9171,2.8181,4.8978,0.2255
sec_contact_sym_mig_size	Round_1_Replicate_2	-136384.74	272783.48	423762.81	15705.51	0.6662,1.1396,0.2237,3.6479,1.5619,2.1931,4.7502
sec_contact_sym_mig_size	Round_1_Replicate_3	-110102.79	220219.58	655886.13	8852.54	0.8836,2.8059,5.1165,1.8453,2.2802,2.7777,0.1727
sec_contact_sym_mig_size	Round_1_Replicate_4	-123863.71	247741.42	606018.43	6193.65	0.3511,4.3789,3.1181,6.8442,0.6112,3.876,0.5978
sec_contact_sym_mig_size	Round_1_Replicate_5	-260371.05	520756.1	2352851.38	20763.31	0.9371,0.2734,0.2001,0.8103,0.2301,2.3744,0.5319
sec_contact_sym_mig_size	Round_1_Replicate_6	-125976.23	251966.46	8667043.94	7428.7	1.2052,0.588,3.0247,5.32,1.1493,0.2427,1.5887
sec_contact_sym_mig_size	Round_1_Replicate_7	-42644.3	85302.6	444051.04	20716.74	0.173,8.0306,1.0168,0.2661,5.9428,1.3361,0.5517
sec_contact_sym_mig_size	Round_1_Replicate_8	-85017.6	170049.2	232760.54	23038.87	0.7866,0.7557,0.2888,1.7141,2.1419,0.4983,0.1775
sec_contact_sym_mig_size	Round_1_Replicate_9	-83125.09	166264.18	312230.63	17943.7	0.2354,6.347,1.2976,0.2651,0.7831,1.2752,1.0891
sec_contact_sym_mig_size	Round_1_Replicate_10	-52570.48	105154.96	424871.21	14890.4	1.5292,0.7264,0.5703,1.1047,3.0573,6.3324,2.9214
sec_contact_sym_mig_size	Round_2_Replicate_1	-74922.97	149859.94	507495.6	65059.07	0.0584,5.1338,0.911,0.0661,16.9854,0.9349,1.6403
sec_contact_sym_mig_size	Round_2_Replicate_2	-113659.27	227332.54	239436436.83	9433.19	0.3639,4.8513,3.6898,0.982,9.1852,2.4325,0.7153
sec_contact_sym_mig_size	Round_2_Replicate_3	-50150.7	100315.4	352474.33	23876.96	0.1059,2.3401,0.3213,0.6146,5.1316,4.1081,1.5347
sec_contact_sym_mig_size	Round_2_Replicate_4	-51199.72	102413.44	162973.7	20646.12	0.3077,9.1867,1.8419,0.1164,5.7968,1.2193,0.3337
sec_contact_sym_mig_size	Round_2_Replicate_5	-47427.95	94869.9	173874.69	21022.41	0.2927,3.5849,1.4643,0.2426,3.8491,0.7031,0.3527
sec_contact_sym_mig_size	Round_2_Replicate_6	-71061.64	142137.28	278614.12	17629.75	0.0712,6.3644,3.0086,0.2225,3.5687,0.7474,0.881
