Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
sec_contact_sym_mig_size	Round_1_Replicate_1	-89311.65	178637.3	336432.79	14019.7	1.0614,0.9114,1.1268,0.2966,0.5559,4.4466,2.0479
sec_contact_sym_mig_size	Round_1_Replicate_2	-75434.59	150883.18	262510.78	12423.31	1.7098,7.1444,3.7832,0.2804,2.1046,1.0221,0.2465
sec_contact_sym_mig_size	Round_1_Replicate_3	-308536.55	617087.1	4412361.49	36272.07	6.4699,0.3899,0.1467,0.2814,0.1975,0.1753,1.8446
sec_contact_sym_mig_size	Round_1_Replicate_4	-200476.21	400966.42	2119959.84	17872.95	0.6715,2.5864,0.9686,0.1556,0.3804,2.2611,0.2418
sec_contact_sym_mig_size	Round_1_Replicate_5	-141942.85	283899.7	400516.26	22524.64	1.5239,1.3635,0.193,7.2552,0.203,0.1628,0.1515
sec_contact_sym_mig_size	Round_1_Replicate_6	-154426.39	308866.78	3082884754.92	6865.71	0.2136,1.8032,5.9717,3.9307,7.7798,3.2154,0.789
sec_contact_sym_mig_size	Round_1_Replicate_7	-121456.73	242927.46	465410.64	9647.34	0.555,0.8103,1.1911,2.403,0.2063,0.1874,3.2802
sec_contact_sym_mig_size	Round_1_Replicate_8	-80716.83	161447.66	707209.81	9361.1	0.6368,0.1659,2.3638,2.1906,0.9867,0.5619,1.8819
sec_contact_sym_mig_size	Round_1_Replicate_9	-70355.38	140724.76	246396.25	18122.27	2.7719,0.5779,1.1996,1.1996,1.0403,0.1285,0.3384
sec_contact_sym_mig_size	Round_1_Replicate_10	-96943.64	193901.28	399144.43	9578.8	5.4271,0.1242,1.5766,0.2306,0.5836,4.5578,0.7604
sec_contact_sym_mig_size	Round_2_Replicate_1	-61520.99	123055.98	194608.45	22756.65	2.4593,0.3501,0.6931,0.5233,1.7185,0.2831,0.1441
sec_contact_sym_mig_size	Round_2_Replicate_2	-47095.2	94204.4	139661.54	23660.96	1.2099,1.521,0.538,0.4479,2.5748,0.3927,0.2371
sec_contact_sym_mig_size	Round_2_Replicate_3	-91791.81	183597.62	1395343.17	16077.63	7.7144,1.7278,3.7213,0.3985,3.9503,0.214,0.0972
sec_contact_sym_mig_size	Round_2_Replicate_4	-103889.79	207793.58	407067.06	11460.75	5.0331,1.889,3.4768,1.5547,0.3805,0.3383,0.3924
sec_contact_sym_mig_size	Round_2_Replicate_5	-72095.71	144205.42	875293.11	19751.4	7.3809,0.4348,1.2343,1.1427,2.8087,0.1319,0.128
sec_contact_sym_mig_size	Round_2_Replicate_6	-110360.33	220734.66	14001830.68	14169.4	4.201,0.7922,2.2751,1.6945,2.8221,0.0766,0.466
sec_contact_sym_mig_size	Round_2_Replicate_7	-91410.89	182835.78	309197.06	25371.19	1.1677,0.3217,0.4625,1.0102,0.5029,0.242,0.0804
