Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T)
sym_mig	Round_1_Replicate_1	-84105.27	168218.54	248977.96	20864.65	0.6208,0.8124,0.697,1.2086
sym_mig	Round_1_Replicate_2	-95124.09	190256.18	339233.9	12935.47	2.2914,1.756,0.3803,0.7178
sym_mig	Round_1_Replicate_3	-126101.07	252210.14	418976.86	24195.87	0.3237,0.6559,0.5659,7.2648
sym_mig	Round_1_Replicate_4	-64125.6	128259.2	380563.42	24773.13	1.8206,0.1803,5.9434,0.7209
sym_mig	Round_1_Replicate_5	-87525.61	175059.22	241327.84	5450.83	1.7074,5.3026,0.3191,7.46
sym_mig	Round_1_Replicate_6	-215364.52	430737.04	923877.16	7966.77	0.3141,5.111,0.2981,7.8755
sym_mig	Round_1_Replicate_7	-82605.49	165218.98	2526748.53	21812.87	0.8242,2.8993,2.1462,0.1495
sym_mig	Round_1_Replicate_8	-112172.65	224353.3	343845.56	29422.13	0.306,0.6495,0.6252,0.4468
sym_mig	Round_1_Replicate_9	-70746.58	141501.16	739608.85	24308.35	2.0609,0.2043,6.7679,3.1874
sym_mig	Round_1_Replicate_10	-105103.58	210215.16	487803.75	7076.48	3.9799,0.578,0.2781,6.8806
sym_mig	Round_2_Replicate_1	-53438.62	106885.24	154308.46	48523.06	0.4607,0.1148,3.8393,1.2268
sym_mig	Round_2_Replicate_2	-35889.13	71786.26	113624.6	33486.93	0.5184,0.1973,4.8474,0.2967
sym_mig	Round_2_Replicate_3	-107140.0	214288.0	13193534.37	12891.27	5.9709,0.5432,5.7204,1.3487
sym_mig	Round_2_Replicate_4	-69872.29	139752.58	1125845.0	24869.75	1.8578,0.2154,7.6516,2.0458
sym_mig	Round_2_Replicate_5	-119345.4	238698.8	428790.29	26327.06	5.3231,0.0784,5.9383,1.2041
sym_mig	Round_2_Replicate_6	-97145.67	194299.34	4054144.71	17134.27	4.3886,0.5565,4.1206,0.313
sym_mig	Round_2_Replicate_7	-93164.59	186337.18	324909.2	25007.52	2.3125,0.1124,3.7751,2.4872
sym_mig	Round_2_Replicate_8	-74317.64	148643.28	812642.65	23790.36	2.4645,0.1927,7.1803,1.3352
sym_mig	Round_2_Replicate_9	-78993.6	157995.2	1041310.74	17686.29	2.9481,0.3761,4.1142,0.5716
sym_mig	Round_2_Replicate_10	-39234.1	78476.2	132399.18	35145.15	0.5966,0.167,5.4464,0.5009
sym_mig	Round_2_Replicate_11	-108613.82	217235.64	134022111.5	20012.09	1.3822,0.642,12.4661,0.4763
sym_mig	Round_2_Replicate_12	-34527.06	69062.12	146312.18	40173.8	0.4713,0.1074,9.4737,0.258
sym_mig	Round_2_Replicate_13	-76342.07	152692.14	223943.82	19320.35	4.124,0.249,2.0625,0.2345
sym_mig	Round_2_Replicate_14	-64062.4	128132.8	191286.22	26296.49	1.3143,0.1303,3.2383,0.389
sym_mig	Round_2_Replicate_15	-50905.05	101818.1	272913.86	21435.73	1.2182,0.344,3.4705,1.5223
sym_mig	Round_2_Replicate_16	-62847.83	125703.66	388945.38	16783.83	2.28,0.3359,3.3969,2.33
sym_mig	Round_2_Replicate_17	-44116.82	88241.64	559028.49	32618.32	0.5195,0.244,8.2678,0.3167
sym_mig	Round_2_Replicate_18	-46768.14	93544.28	123761.98	31491.5	0.5723,0.2737,2.3848,2.2304
sym_mig	Round_2_Replicate_19	-74946.25	149900.5	6980479.14	24826.05	1.1702,0.3665,9.416,0.2002
sym_mig	Round_2_Replicate_20	-68099.79	136207.58	321920.4	20803.4	2.2297,0.2215,4.2368,0.9619
sym_mig	Round_3_Replicate_1	-36792.79	73593.58	113076.21	32442.66	0.3312,0.2277,3.0713,0.0703
sym_mig	Round_3_Replicate_2	-52731.07	105470.14	587594.89	33612.44	0.8775,0.1684,9.0682,0.7305
sym_mig	Round_3_Replicate_3	-27832.59	55673.18	76658.23	43270.19	0.2765,0.106,8.2856,0.1671
sym_mig	Round_3_Replicate_4	-70608.95	141225.9	371487.2	37643.65	1.4852,0.1015,9.6251,1.0227
sym_mig	Round_3_Replicate_5	-46450.22	92908.44	239922.45	32937.45	1.183,0.0529,17.3832,0.0849
sym_mig	Round_3_Replicate_6	-39441.78	78891.56	115150.52	37748.45	0.519,0.1751,4.7104,0.7039
sym_mig	Round_3_Replicate_7	-29851.07	59710.14	108016.48	41584.64	0.3332,0.1263,8.5418,0.2187
sym_mig	Round_3_Replicate_8	-43698.99	87405.98	138436.04	27593.21	1.0264,0.1725,3.6524,0.1021
sym_mig	Round_3_Replicate_9	-44807.45	89622.9	163446.17	26973.25	1.0615,0.2228,1.5171,0.0714
sym_mig	Round_3_Replicate_10	-36485.0	72978.0	99178.13	45925.01	0.406,0.1053,6.6454,0.416
sym_mig	Round_3_Replicate_11	-50900.92	101809.84	191784.34	26078.47	1.1781,0.2002,4.3496,0.4473
sym_mig	Round_3_Replicate_12	-41129.75	82267.5	135470.84	28596.4	0.8823,0.1598,4.3315,0.0976
sym_mig	Round_3_Replicate_13	-45468.1	90944.2	147182.7	29461.71	0.8115,0.2177,3.837,0.9517
sym_mig	Round_3_Replicate_14	-26568.03	53144.06	78608.19	49395.39	0.2231,0.0943,10.4974,0.1848
sym_mig	Round_3_Replicate_15	-57140.99	114289.98	183598.99	22314.41	1.5467,0.2691,2.7233,0.3797
sym_mig	Round_3_Replicate_16	-23820.59	47649.18	69184.73	53148.96	0.1677,0.0598,15.5654,0.1155
sym_mig	Round_3_Replicate_17	-43334.69	86677.38	154245.73	27462.78	0.9482,0.2111,2.8841,0.0907
sym_mig	Round_3_Replicate_18	-30900.02	61808.04	85224.43	36889.37	0.2733,0.1461,5.9754,0.0939
sym_mig	Round_3_Replicate_19	-45867.69	91743.38	148046.53	27514.19	1.5716,0.1063,5.333,0.0609
sym_mig	Round_3_Replicate_20	-36943.19	73894.38	106655.04	45356.0	0.3729,0.1638,5.5968,0.7111
