Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T)
sym_mig	Round_4_Replicate_11	-37143.33	74294.66	106750.76	32142.37	0.3045,0.202,0.819,0.0467
sym_mig	Round_4_Replicate_12	-38188.79	76385.58	167592.02	29939.93	0.4885,0.1978,0.9383,0.0428
sym_mig	Round_4_Replicate_13	-36594.32	73196.64	114348.32	30709.86	0.4655,0.1704,1.463,0.0506
sym_mig	Round_4_Replicate_14	-44013.76	88035.52	136147.83	28167.22	0.6265,0.3388,0.9928,0.0913
sym_mig	Round_4_Replicate_15	-39785.25	79578.5	131405.39	29026.0	1.0242,0.0668,1.3323,0.0221
sym_mig	Round_4_Replicate_16	-40396.8	80801.6	124232.12	28887.09	1.0095,0.0788,1.1407,0.0275
sym_mig	Round_4_Replicate_17	-35326.3	70660.6	109091.84	32354.86	0.3086,0.1756,1.7211,0.0449
sym_mig	Round_4_Replicate_18	-48917.04	97842.08	216169.47	26303.28	0.7619,0.4823,1.3514,0.1086
sym_mig	Round_4_Replicate_19	-45431.55	90871.1	191514.17	28059.89	0.571,0.4223,1.1938,0.0828
sym_mig	Round_4_Replicate_20	-48095.15	96198.3	181766.39	26836.47	0.699,0.477,0.5797,0.0938
sym_mig	Round_4_Replicate_21	-40561.6	81131.2	132145.87	30201.04	0.4195,0.2921,0.838,0.0621
sym_mig	Round_4_Replicate_22	-42895.87	85799.74	163271.58	28771.64	0.5416,0.3479,1.3825,0.0785
sym_mig	Round_4_Replicate_23	-35693.35	71394.7	109771.71	31376.4	0.4171,0.1694,2.1069,0.0534
sym_mig	Round_4_Replicate_24	-38877.03	77762.06	135452.87	29158.71	0.8086,0.1019,1.6953,0.0327
sym_mig	Round_4_Replicate_25	-39297.15	78602.3	135372.24	30175.45	0.4427,0.2544,0.8862,0.0567
sym_mig	Round_4_Replicate_26	-40528.0	81064.0	136791.14	29949.41	0.4488,0.2902,1.0315,0.0644
sym_mig	Round_4_Replicate_27	-45300.87	90609.74	183003.55	28032.07	0.5765,0.4182,1.3892,0.089
sym_mig	Round_4_Replicate_28	-42228.64	84465.28	168756.95	29126.82	0.5029,0.3298,0.8409,0.064
sym_mig	Round_4_Replicate_29	-48013.95	96035.9	172580.82	29041.42	0.4041,0.5309,1.7626,0.0948
sym_mig	Round_4_Replicate_30	-48735.64	97479.28	168937.09	25603.1	0.9651,0.3765,1.5591,0.1308
sym_mig	Round_4_Replicate_31	-41875.6	83759.2	125389.78	30312.72	0.3934,0.3209,0.5819,0.0648
sym_mig	Round_4_Replicate_32	-33402.36	66812.72	112431.57	31693.2	0.3523,0.1008,1.2115,0.028
sym_mig	Round_4_Replicate_33	-39659.47	79326.94	158939.12	28862.38	0.8858,0.1072,1.944,0.0321
sym_mig	Round_4_Replicate_34	-39607.35	79222.7	139867.54	29845.45	0.4918,0.2638,1.7589,0.069
sym_mig	Round_4_Replicate_35	-42605.22	85218.44	121802.36	28884.5	0.5855,0.2949,1.2886,0.0938
sym_mig	Round_4_Replicate_36	-44847.75	89703.5	193920.89	28730.92	0.4911,0.4187,1.0962,0.0727
sym_mig	Round_4_Replicate_37	-46509.22	93026.44	159684.96	26425.4	0.8936,0.3325,1.6613,0.115
sym_mig	Round_4_Replicate_38	-36369.38	72746.76	145090.63	30821.03	0.3961,0.1722,0.7016,0.0373
sym_mig	Round_4_Replicate_39	-40234.95	80477.9	147046.53	29481.68	0.5144,0.2673,1.0381,0.0615
sym_mig	Round_4_Replicate_40	-36790.7	73589.4	169827.69	31631.87	0.2917,0.1876,1.1223,0.0332
