Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2, T3)
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_1	-568304.95	1136625.9	108603701.3	8217.81	0.2901,0.275,0.6138,4.7821,0.6208,1.1486,0.6454,2.7429
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_2	-383481.6	766979.2	19464339.22	6369.15	0.2808,1.0322,5.6182,1.0731,0.1641,0.3316,1.1177,2.1724
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_3	-128193.12	256402.24	7062090.71	8481.89	7.8544,0.2497,3.6176,6.97,7.0077,1.0873,0.2016,0.215
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_4	-187696.14	375408.28	1382326.82	10146.39	3.9381,0.8751,3.6386,1.1658,0.2886,0.6716,0.1368,0.4529
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_5	-634822.54	1269661.08	343419413.68	9033.43	1.3784,4.9758,0.8901,2.4122,1.1149,0.1888,0.2737,4.217
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_6	-324408.16	648832.32	9554314.06	9809.55	0.8153,0.8317,6.5555,0.2295,0.176,3.4183,0.3876,0.1518
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_7	-1095673.25	2191362.5	239606724095.5	16022.56	1.8452,0.8947,0.3199,0.6099,0.1307,1.534,0.7378,2.4303
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_8	-296864.52	593745.04	3001339.37	17772.39	6.695,0.1328,0.2497,1.25,3.7677,2.8012,0.6713,0.5966
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_9	-795383.04	1590782.08	6493795008.1	7445.16	0.1599,2.7358,2.9336,0.5902,8.31,1.5332,0.1406,4.9108
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_10	-258450.65	516917.3	2255037.55	15297.87	3.9882,0.9978,0.4129,0.9047,1.5295,3.8596,0.8113,0.745
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_1	-99174.51	198365.02	360150.38	16611.34	3.2975,0.2971,1.3129,10.0484,2.0893,0.2894,0.0794,0.0899
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_2	-143493.42	287002.84	778140.98	8748.91	2.1097,0.1225,3.1802,17.3651,16.8005,0.3405,0.0944,0.6641
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_3	-100853.23	201722.46	2126694.52	13315.22	2.2187,0.1406,0.9361,12.0311,7.5016,0.5406,0.5297,0.0848
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_4	-87365.25	174746.5	5071817.48	8886.21	2.4426,0.2091,1.5701,19.3655,17.8263,2.7331,0.38,0.1406
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_5	-129786.71	259589.42	630628.3	8266.89	2.6277,0.9154,4.3015,4.664,6.9147,0.3567,0.1877,0.6643
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_6	-153610.13	307236.26	8257441.33	7826.34	27.8703,0.5182,8.8921,3.0075,14.5396,0.694,0.1781,0.2532
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_7	-120550.68	241117.36	394972.65	9787.82	10.9319,0.2901,1.2152,4.7508,14.3565,1.4106,0.0597,0.5443
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_8	-84326.31	168668.62	704487.21	10640.08	2.102,0.1327,1.5438,26.734,2.8982,2.1381,0.2464,0.1111
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_9	-118482.54	236981.08	6207898.59	7350.59	8.9169,0.6657,3.8727,3.9923,5.8653,1.7182,0.1685,0.1196
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_10	-143260.72	286537.44	1116462.59	7414.78	4.0796,0.2275,4.3262,20.9383,1.901,0.7341,0.343,0.4027
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_11	-126425.0	252866.0	868754.17	7932.75	14.0412,0.2968,2.1696,26.5645,17.7693,0.9593,0.2596,0.3875
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_12	-132663.69	265343.38	6919568.86	6245.75	8.0378,0.2968,5.8661,11.3339,18.705,1.8233,0.0867,0.427
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_13	-138970.31	277956.62	635331.84	10886.03	23.8445,0.064,1.8516,3.3336,3.9678,0.6527,0.1244,0.6012
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_14	-172482.63	344981.26	138160246.33	9391.34	8.881,0.1742,7.2245,17.8274,18.6996,0.848,0.0544,0.1067
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_15	-96930.55	193877.1	342580.49	12246.27	2.1774,0.1697,1.404,15.3399,12.0616,0.9285,0.0702,0.3023
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_16	-101262.52	202541.04	409853.9	11730.18	2.9219,0.7871,1.2445,9.0057,17.8512,0.4682,0.2592,0.2693
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_17	-136579.34	273174.68	16966950.89	11700.59	12.1083,0.2504,4.0087,2.9358,22.7182,0.31,0.2025,0.1411
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_18	-73117.26	146250.52	173280.11	7276.7	11.671,0.3017,0.9218,3.9059,9.0688,3.9577,0.0999,0.2581
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_19	-73910.25	147836.5	3830987.24	8518.43	2.8747,0.3161,2.1509,5.9197,7.6779,3.9979,0.1294,0.0702
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_20	-144720.74	289457.48	760906.39	7852.98	12.1713,0.3398,9.0799,2.3012,4.1272,0.3218,0.2652,0.5091
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_1	-279822.37	559660.74	2833968.18	11918.73	6.8466,0.3085,0.4098,2.0865,3.3697,3.3212,0.0741,0.8089
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_2	-72172.52	144361.04	172320.79	7838.89	22.5352,0.135,0.4988,3.8017,4.2489,4.2731,0.1921,0.0951
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_3	-66418.71	132853.42	1392548.45	3942.97	9.8377,0.3285,2.0378,13.3534,6.871,9.7497,0.1105,0.0991
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_4	-65824.52	131665.04	177861.64	13420.04	2.9003,0.8481,0.5964,1.9912,21.9025,1.5911,0.0666,0.1391
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_5	-70613.19	141242.38	260098.67	6636.44	5.9579,0.1355,1.8045,8.9396,12.4312,4.6302,0.0451,0.2405
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_6	-86096.71	172209.42	186649.0	4321.07	16.4698,0.1977,0.5745,8.373,6.8366,10.3803,0.1077,0.2368
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_7	-153752.6	307521.2	1655269.33	13830.22	24.4097,0.2752,0.483,13.6762,4.6843,1.0272,0.0467,0.0773
