Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2, T3)
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_4	-41676.12	83368.24	164341.58	2150.73	0.0403,11.1374,5.9584,4.3766,0.8561,27.8703,0.9959,0.1757
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_5	-93901.04	187818.08	377896.77	2634.01	0.3331,4.4902,10.5839,0.7813,2.6003,28.9454,1.3304,0.8363
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_6	-63383.72	126783.44	183694.39	1912.52	0.1547,21.2285,14.5796,1.573,0.3973,28.9014,1.8732,0.6765
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_7	-43703.94	87423.88	694326.72	1803.01	0.0405,18.9232,10.1613,4.1076,1.4054,29.2316,4.4352,0.2873
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_8	-39084.88	78185.76	116186.64	2222.72	0.0577,13.0731,6.0803,4.808,0.7195,23.9337,5.8426,0.5405
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_9	-51796.17	103608.34	127178.63	2030.11	0.0435,15.994,11.9291,3.7381,0.2903,20.4128,3.417,0.7604
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_10	-64282.86	128581.72	1523349.93	3733.88	0.03,2.8484,5.916,4.066,1.0333,8.7436,2.9708,0.097
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_11	-109189.31	218394.62	428433.35	2951.37	0.0609,2.5457,19.1695,1.0466,2.2281,28.7706,6.0849,0.9314
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_12	-80336.33	160688.66	187948.6	4020.16	0.5052,9.7154,2.7216,5.5424,0.6774,7.9992,1.9351,0.7349
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_13	-137265.19	274546.38	708673.3	4589.18	0.1027,9.4574,2.7061,0.5773,2.2859,23.9394,1.5758,0.8806
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_14	-78653.33	157322.66	242256.32	15183.2	0.1618,11.4176,1.3337,0.5334,3.1211,23.3914,8.1928,0.2544
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_15	-135439.78	270895.56	650865.63	2622.05	0.0846,5.5467,13.5278,0.6499,0.3262,27.8703,1.0434,0.4696
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_16	-73659.6	147335.2	274905.2	2416.64	0.0433,15.6177,15.7712,4.9889,0.2995,10.0316,2.7907,0.1135
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_17	-41566.71	83149.42	99617.98	2196.3	0.0309,2.4392,12.0629,4.1432,3.468,28.7706,1.2254,1.0444
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_18	-76265.85	152547.7	232874.52	1845.88	0.1289,18.531,10.8696,5.5611,0.535,24.709,0.9299,0.1994
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_19	-116655.2	233326.4	517228.26	4120.61	0.1774,8.9917,7.7286,1.1288,2.6959,13.5589,4.9853,1.1691
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_20	-51663.93	103343.86	787809.0	3558.45	0.0398,2.5237,5.4017,3.964,1.9867,16.2253,1.216,0.193
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_21	-101816.97	203649.94	318238.19	8483.76	0.3838,7.0178,1.4554,1.5703,0.9597,6.6012,7.1096,0.6128
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_22	-35595.6	71207.2	140792.5	1820.23	0.1635,15.7724,8.3057,5.0642,0.3724,28.7706,3.2457,0.1516
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_23	-30131.58	60279.16	227178.82	2108.93	0.338,16.167,5.7847,1.9622,1.6965,29.2316,0.8744,0.1311
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_24	-79532.97	159081.94	265689.54	4171.84	0.2772,17.4876,2.7499,0.5834,0.5797,26.2067,2.8667,0.2443
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_25	-74712.06	149440.12	204588.03	4604.26	0.0649,19.296,11.9365,0.9004,0.7093,5.8431,1.5409,0.1368
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_26	-143352.11	286720.22	798979.04	4379.68	0.0415,6.7864,5.5802,1.2001,0.4105,9.4725,8.2658,1.0871
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_27	-53770.82	107557.64	1653970.57	4522.62	0.1624,11.0546,3.036,2.4943,4.07,11.0798,4.9518,0.1125
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_28	-45373.19	90762.38	120608.67	2780.63	0.0969,2.7948,7.7738,2.4318,0.2818,17.4432,7.6304,0.0745
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_29	-49436.21	98888.42	1306272.03	2167.57	0.131,3.5824,6.3056,4.8837,1.5456,29.3989,4.7969,0.1969
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_30	-49619.62	99255.24	139795.66	4873.84	0.0421,3.1403,2.042,3.3336,0.8857,11.2934,4.3772,0.164
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_1	-35848.36	71712.72	435443.85	2348.98	0.4009,12.5188,5.1855,2.2796,3.3275,25.3551,0.6166,0.1799
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_2	-22135.13	44286.26	48754.25	2963.59	0.2356,10.8897,3.1581,0.9923,1.2229,25.5043,0.917,0.0662
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_3	-36457.29	72930.58	424326.84	2213.07	0.4494,14.1812,4.273,2.8189,3.004,26.9144,0.6999,0.2004
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_4	-22320.19	44656.38	61990.06	2220.48	0.3495,26.138,3.9978,1.3634,1.3086,29.5855,1.1284,0.1476
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_5	-26645.42	53306.84	56843.68	2131.45	0.2379,16.8217,9.5217,1.4605,1.2861,27.5528,0.7266,0.2221
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_6	-23971.29	47958.58	70541.48	2332.97	0.2075,18.6213,4.3376,1.7898,1.2892,29.5856,1.696,0.2153
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_7	-39406.37	78828.74	570048.39	2027.95	0.2728,12.9962,9.3876,2.9641,2.3162,28.4524,1.5203,0.244
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_8	-45772.5	91561.0	107915.02	2117.68	0.6542,14.2647,7.1901,1.9994,1.1774,28.0185,0.4917,0.1218
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_9	-33444.35	66904.7	80741.7	2090.27	0.4711,16.9984,6.4315,1.8084,1.0051,28.6874,0.7075,0.0779
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_10	-33074.89	66165.78	211118.46	2228.48	0.402,16.3578,3.3094,2.0184,2.1002,27.314,0.5423,0.1156
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_11	-25677.22	51370.44	51862.18	2599.99	0.4114,11.9245,4.5953,1.5199,0.9556,25.7097,0.9174,0.1549
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_12	-23417.61	46851.22	64694.02	2176.41	0.5552,19.7134,3.3049,1.4064,2.6121,29.307,0.5376,0.2213
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_13	-25445.5	50907.0	108249.25	2120.01	0.2708,20.1406,4.2914,1.8042,2.133,28.8829,0.7672,0.211
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_14	-42649.54	85315.08	110491.39	1997.59	0.275,17.3634,6.5446,2.5113,0.9976,28.4665,0.6535,0.1128
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_15	-33198.3	66412.6	66790.06	2545.86	0.1832,11.2012,3.7493,1.8105,0.8503,27.2188,0.8267,0.0955
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_16	-26789.76	53595.52	54878.26	2116.23	0.5792,16.2351,6.4592,1.7499,1.0126,29.194,0.7948,0.2058
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_17	-33758.74	67533.48	202752.72	2124.57	0.6247,14.566,5.1597,2.8097,1.9285,27.1989,0.6186,0.2196
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_18	-24737.05	49490.1	101316.58	2409.85	0.6366,17.4438,3.6496,1.7107,1.7642,28.913,1.4309,0.1708
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_19	-29320.71	58657.42	151635.46	1932.45	0.1549,21.5977,6.7569,2.1611,1.4537,28.9977,0.8493,0.1796
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_20	-33472.5	66961.0	69518.44	2194.25	0.3426,17.3088,6.7853,1.3774,0.8882,28.3207,0.7149,0.104
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_21	-27824.2	55664.4	70140.7	2062.99	0.4663,17.0304,6.5848,1.7069,1.2448,29.3384,0.6676,0.1291
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_22	-30543.87	61103.74	106966.18	2348.26	0.6404,10.2331,5.1339,2.2036,1.3566,28.0829,0.7183,0.1354
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_23	-43183.04	86382.08	428540.48	1781.72	0.5043,18.7516,10.4576,2.8227,2.5775,28.4733,0.4294,0.2022
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_24	-72250.86	144517.72	208324.29	1747.87	0.2644,23.124,7.7086,3.2112,0.8667,28.9373,0.5361,0.1926
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_25	-23643.05	47302.1	68652.97	2652.34	0.3892,14.8117,5.1449,1.2289,1.1775,24.5402,1.1596,0.0967
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_26	-24947.36	49910.72	73432.49	2332.78	0.1901,20.0717,3.5184,1.8521,2.1666,28.9208,1.2433,0.2741
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_27	-36070.09	72156.18	116469.67	2147.1	0.3082,13.9254,5.8838,2.7635,1.0106,27.7315,0.795,0.1189
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_28	-30419.78	60855.56	162694.1	2367.49	0.1738,10.2761,5.082,1.9481,2.8442,28.3967,0.5216,0.1965
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_29	-34015.19	68046.38	247863.97	2668.54	0.1562,11.8359,3.6354,2.2512,1.5449,23.2567,0.8373,0.0964
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_30	-28297.42	56610.84	148966.58	2169.51	0.4993,15.4665,5.3148,1.74,1.6589,28.6974,0.7046,0.1107
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_31	-27821.68	55659.36	140485.48	2097.56	0.1949,22.2258,4.2949,2.2289,1.868,28.4099,1.0164,0.225
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_32	-28034.09	56084.18	87659.66	2223.09	0.2427,13.7241,5.8305,2.0695,0.9816,28.6082,0.9761,0.1022
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_33	-31895.54	63807.08	64137.9	2480.61	0.1679,14.722,5.7687,1.5469,0.9933,24.4257,0.6845,0.1755
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_34	-29492.89	59001.78	176667.51	2231.47	0.2835,15.4363,6.3637,1.9949,1.077,27.3473,1.2195,0.0798
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_35	-53334.07	106684.14	118329.53	2453.44	0.1598,10.3857,6.4908,2.2905,0.8753,25.5809,0.5749,0.2061
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_36	-44363.03	88742.06	101118.05	1915.51	0.1933,28.8973,4.053,1.5589,1.0383,29.6565,0.5383,0.1056
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_37	-38870.62	77757.24	726323.21	2051.66	0.2552,25.3835,9.9962,1.4596,2.3666,29.575,1.6852,0.0898
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_38	-24011.78	48039.56	48700.17	2366.02	0.5605,13.1193,5.8791,1.0799,1.217,29.4,0.7975,0.1586
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_39	-23792.07	47600.14	67183.51	2790.87	0.4189,13.2303,4.7142,1.0815,1.0798,25.8624,1.586,0.0696
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_40	-45219.65	90455.3	101140.31	2220.53	0.2825,18.2966,3.6352,2.3711,1.1042,25.6181,0.5444,0.1683
