Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T)
asym_mig	Round_3_Replicate_20	-53408.91	106827.82	185481.88	87251.44	0.2795,0.0666,0.2257,21.9745,1.3201
asym_mig	Round_3_Replicate_21	-70883.25	141776.5	2241347.67	40019.21	0.4564,0.3941,0.282,16.3907,0.5461
asym_mig	Round_3_Replicate_22	-57083.8	114177.6	188530.2	16752.2	1.5276,0.3977,0.4873,2.9017,1.5111
asym_mig	Round_3_Replicate_23	-61396.22	122802.44	218837.7	34951.15	0.5315,0.3289,0.691,5.5184,2.0974
asym_mig	Round_3_Replicate_24	-40162.62	80335.24	135260.62	30435.29	0.8426,0.0807,2.862,14.1054,0.6856
asym_mig	Round_3_Replicate_25	-74926.49	149862.98	210494.32	62401.29	0.3172,0.1419,0.3738,6.1664,1.9403
asym_mig	Round_3_Replicate_26	-47883.38	95776.76	151877.35	26979.59	0.8344,0.2421,0.9336,4.9906,0.241
asym_mig	Round_3_Replicate_27	-49431.48	98872.96	149548.59	82122.53	0.3128,0.047,0.5273,23.9977,4.1426
asym_mig	Round_3_Replicate_28	-49432.06	98874.12	201709.13	23687.52	1.4147,0.0504,0.236,26.8618,0.5276
asym_mig	Round_3_Replicate_29	-46931.41	93872.82	185778.38	24708.35	1.0656,0.1458,0.5205,9.829,1.1097
asym_mig	Round_3_Replicate_30	-37698.9	75407.8	137111.06	46927.18	0.4403,0.0653,0.6462,22.4666,0.5134
asym_mig	Round_4_Replicate_1	-40100.51	80211.02	139758.47	32617.83	0.7558,0.0703,1.0185,18.1297,0.6956
asym_mig	Round_4_Replicate_2	-37145.07	74300.14	113284.58	43980.01	0.5085,0.0467,0.4838,25.3482,0.5508
asym_mig	Round_4_Replicate_3	-39891.81	79793.62	144893.39	39059.96	0.6335,0.0556,0.4321,24.3975,0.8292
asym_mig	Round_4_Replicate_4	-37384.25	74778.5	148140.26	37582.22	0.59,0.0631,0.4389,23.7223,0.424
asym_mig	Round_4_Replicate_5	-40019.31	80048.62	123283.67	44166.03	0.5265,0.0604,0.9612,19.3408,0.866
asym_mig	Round_4_Replicate_6	-37162.85	74335.7	141173.15	33695.17	0.7045,0.0459,0.5908,29.992,0.327
asym_mig	Round_4_Replicate_7	-34771.89	69553.78	92992.97	47467.48	0.364,0.0543,0.7568,20.5055,0.3041
asym_mig	Round_4_Replicate_8	-36239.92	72489.84	126665.34	45822.49	0.484,0.0449,1.1032,29.5685,0.5922
asym_mig	Round_4_Replicate_9	-35646.17	71302.34	108721.95	40242.95	0.5207,0.0538,1.0415,21.9937,0.4176
asym_mig	Round_4_Replicate_10	-42789.26	85588.52	146194.82	44329.55	0.4902,0.0918,0.3109,15.6815,0.6696
asym_mig	Round_4_Replicate_11	-34231.78	68473.56	113752.89	38970.21	0.5099,0.053,0.9494,24.4724,0.2983
asym_mig	Round_4_Replicate_12	-33245.96	66501.92	104519.38	44187.15	0.415,0.0472,0.3487,27.5163,0.2778
asym_mig	Round_4_Replicate_13	-37209.33	74428.66	108939.43	47894.01	0.4682,0.0406,0.5227,27.6255,0.5872
asym_mig	Round_4_Replicate_14	-38999.86	78009.72	123240.19	41431.6	0.5936,0.0435,0.5753,27.0654,0.8069
asym_mig	Round_4_Replicate_15	-38577.46	77164.92	128527.26	39501.31	0.6233,0.0439,0.5885,28.2127,0.7512
asym_mig	Round_4_Replicate_16	-38140.56	76291.12	131574.58	42741.45	0.5624,0.0441,0.8015,29.1806,0.7644
asym_mig	Round_4_Replicate_17	-34466.77	68943.54	119097.36	36611.57	0.5348,0.0557,0.6856,24.0699,0.2231
asym_mig	Round_4_Replicate_18	-34267.83	68545.66	121828.6	45427.74	0.3938,0.0585,0.4661,25.3363,0.2949
asym_mig	Round_4_Replicate_19	-32473.9	64957.8	90341.48	45545.17	0.3711,0.0472,1.0915,24.1407,0.2591
asym_mig	Round_4_Replicate_20	-35112.56	70235.12	121791.34	56017.62	0.3425,0.0493,1.1602,28.6461,0.4483
asym_mig	Round_4_Replicate_21	-41545.96	83101.92	123216.72	32320.39	0.811,0.0514,0.8384,20.0937,1.0028
asym_mig	Round_4_Replicate_22	-36443.94	72897.88	123676.49	38855.07	0.5422,0.0634,0.7218,21.0753,0.4014
asym_mig	Round_4_Replicate_23	-38574.96	77159.92	128977.49	39870.81	0.5743,0.0626,0.8389,20.4801,0.6584
asym_mig	Round_4_Replicate_24	-35204.58	70419.16	117542.94	47668.66	0.4451,0.0434,1.2475,29.708,0.5234
asym_mig	Round_4_Replicate_25	-33468.68	66947.36	124498.94	46843.13	0.387,0.0504,0.4637,29.8671,0.3011
asym_mig	Round_4_Replicate_26	-39339.36	78688.72	147937.6	37772.2	0.6101,0.0738,0.9573,19.1781,0.6959
asym_mig	Round_4_Replicate_27	-35823.25	71656.5	111692.22	39291.27	0.5568,0.0462,0.5569,26.0305,0.4045
asym_mig	Round_4_Replicate_28	-35916.21	71842.42	108167.93	48620.58	0.4453,0.0398,0.8127,29.2683,0.5365
asym_mig	Round_4_Replicate_29	-37249.61	74509.22	127013.67	39431.86	0.6004,0.0443,1.1471,28.4603,0.6513
asym_mig	Round_4_Replicate_30	-40082.39	80174.78	161835.76	48972.71	0.485,0.0546,0.5213,27.6643,0.8302
asym_mig	Round_4_Replicate_31	-37027.78	74065.56	118815.3	47498.19	0.4785,0.0416,0.4751,29.8855,0.6063
asym_mig	Round_4_Replicate_32	-39532.18	79074.36	119399.63	46891.68	0.495,0.0519,0.6729,22.2384,0.7691
asym_mig	Round_4_Replicate_33	-41557.36	83124.72	129578.88	48329.75	0.4738,0.0678,0.8875,17.9252,0.924
asym_mig	Round_4_Replicate_34	-39385.37	78780.74	135110.19	36640.87	0.6855,0.0502,1.2897,24.7034,0.9825
asym_mig	Round_4_Replicate_35	-40170.29	80350.58	139950.22	34997.92	0.7525,0.0441,0.3161,28.7871,0.8957
asym_mig	Round_4_Replicate_36	-37045.34	74100.68	123107.89	41370.1	0.5633,0.0432,0.5118,29.204,0.5802
asym_mig	Round_4_Replicate_37	-35363.78	70737.56	134373.17	38578.5	0.5536,0.0509,0.5862,28.1817,0.3547
asym_mig	Round_4_Replicate_38	-38234.7	76479.4	137578.27	45651.51	0.5169,0.0465,0.436,29.3911,0.7055
asym_mig	Round_4_Replicate_39	-37893.89	75797.78	124230.21	35829.87	0.5808,0.079,0.4384,16.7512,0.3216
asym_mig	Round_4_Replicate_40	-41168.81	82347.62	131615.63	30746.99	0.8216,0.07,0.6297,16.7071,0.4772
