Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T1, T2)
sec_contact_sym_mig	Round_1_Replicate_1	-107518.42	215046.84	100173608.06	6599.62	3.121,2.3847,3.6615,0.1451,4.4766
sec_contact_sym_mig	Round_1_Replicate_2	-217617.19	435244.38	1817957.19	37805.72	0.2716,0.2832,0.2137,0.1873,0.452
sec_contact_sym_mig	Round_1_Replicate_3	-47504.68	95019.36	125556.48	20289.58	0.8489,0.5023,2.1798,1.103,0.235
sec_contact_sym_mig	Round_1_Replicate_4	-89240.19	178490.38	243988.9	17232.82	0.5893,1.1655,0.6485,0.2602,1.9733
sec_contact_sym_mig	Round_1_Replicate_5	-69567.52	139145.04	7040936.29	12160.57	1.467,0.89,4.9047,1.5527,6.5278
sec_contact_sym_mig	Round_1_Replicate_6	-69224.76	138459.52	266889.29	13895.42	1.1579,1.5722,1.1146,0.4736,0.8966
sec_contact_sym_mig	Round_1_Replicate_7	-141696.0	283402.0	567746.36	10127.66	0.9063,5.4397,0.3204,0.2486,1.39
sec_contact_sym_mig	Round_1_Replicate_8	-105001.18	210012.36	280429.33	13512.99	0.4007,2.3937,1.0027,0.2646,7.9173
sec_contact_sym_mig	Round_1_Replicate_9	-77605.15	155220.3	243932.2	17180.48	1.866,0.8248,0.6642,0.1717,0.2732
sec_contact_sym_mig	Round_1_Replicate_10	-124483.27	248976.54	358813.01	7559.68	0.3453,3.6865,0.904,7.1383,1.143
sec_contact_sym_mig	Round_2_Replicate_1	-58422.95	116855.9	427830.33	24081.71	0.3977,0.861,4.0176,0.6116,0.5071
sec_contact_sym_mig	Round_2_Replicate_2	-49671.13	99352.26	337096.49	15550.36	0.9517,0.8038,5.4314,2.0646,0.1228
sec_contact_sym_mig	Round_2_Replicate_3	-162129.78	324269.56	1654523.76	17627.75	1.2027,0.5773,0.8884,1.0621,0.0815
sec_contact_sym_mig	Round_2_Replicate_4	-82968.87	165947.74	300056.43	15907.1	1.6343,1.6481,0.712,0.2555,0.213
sec_contact_sym_mig	Round_2_Replicate_5	-187857.82	375725.64	1470890.16	29612.52	0.2818,0.5971,0.8187,0.6251,0.0889
sec_contact_sym_mig	Round_2_Replicate_6	-163029.95	326069.9	1388349.38	19424.12	0.6214,0.7162,0.614,1.5685,0.1958
sec_contact_sym_mig	Round_2_Replicate_7	-62584.35	125178.7	846618.78	12435.66	0.5061,1.7846,3.4012,3.4071,0.4409
sec_contact_sym_mig	Round_2_Replicate_8	-52198.91	104407.82	146651.6	15097.87	1.3269,0.1551,2.1541,3.0013,0.2391
sec_contact_sym_mig	Round_2_Replicate_9	-53331.16	106672.32	179462.81	13064.16	2.9082,0.1901,6.2208,1.6662,0.0984
sec_contact_sym_mig	Round_2_Replicate_10	-36826.49	73662.98	209333.68	11917.7	0.756,0.7867,2.7519,5.0539,0.5836
sec_contact_sym_mig	Round_2_Replicate_11	-124923.01	249856.02	480120.98	31609.58	0.327,0.4043,0.6066,0.3418,0.8516
sec_contact_sym_mig	Round_2_Replicate_12	-76857.48	153724.96	264112.97	16953.69	2.1085,0.8355,1.2722,0.2844,0.1217
