Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T1, T2)
sec_contact_sym_mig	Round_1_Replicate_1	-57805.38	115620.76	155645.18	10399.39	0.7702,1.6278,1.088,6.5926,3.3626
sec_contact_sym_mig	Round_1_Replicate_2	-108115.14	216240.28	618909.9	12298.01	2.6447,4.1579,0.4269,0.3779,0.1476
sec_contact_sym_mig	Round_1_Replicate_3	-26997.31	54004.62	56216.52	28242.55	0.4216,0.1449,4.9966,1.7627,0.1875
sec_contact_sym_mig	Round_1_Replicate_4	-62366.76	124743.52	872073.29	16316.19	0.7151,1.1837,5.2371,1.5301,0.1426
sec_contact_sym_mig	Round_1_Replicate_5	-128623.29	257256.58	916593.34	9186.0	4.228,5.385,0.2037,0.1848,0.6117
sec_contact_sym_mig	Round_1_Replicate_6	-277443.21	554896.42	2377425.11	21665.07	0.1602,0.6503,0.2127,0.7354,8.4343
sec_contact_sym_mig	Round_1_Replicate_7	-105925.99	211861.98	10612210.9	11213.27	1.087,3.6023,3.5855,1.1349,0.2962
sec_contact_sym_mig	Round_1_Replicate_8	-80767.61	161545.22	474690.78	13240.48	4.0435,0.4139,2.5635,0.1779,1.2389
sec_contact_sym_mig	Round_1_Replicate_9	-148710.65	297431.3	875608.93	4769.44	6.4041,7.4205,0.1349,0.5457,2.0225
sec_contact_sym_mig	Round_1_Replicate_10	-142593.59	285197.18	504082.39	17117.77	0.4056,1.7631,0.4467,0.4391,1.1417
sec_contact_sym_mig	Round_2_Replicate_1	-144379.06	288768.12	743444.89	24927.64	0.465,0.1083,1.8481,2.2578,0.0989
sec_contact_sym_mig	Round_2_Replicate_2	-60142.09	120294.18	304595.08	26225.39	0.172,0.5563,6.4205,2.4496,0.4121
sec_contact_sym_mig	Round_2_Replicate_3	-73919.04	147848.08	207342.6	35091.17	0.2222,0.1095,2.1709,2.7518,0.4813
sec_contact_sym_mig	Round_2_Replicate_4	-90024.07	180058.14	207248.96	30111.41	0.1552,0.5576,2.4704,1.6889,0.5836
sec_contact_sym_mig	Round_2_Replicate_5	-66127.68	132265.36	220146.51	17511.23	1.3336,0.1137,2.5109,2.0128,0.1626
sec_contact_sym_mig	Round_2_Replicate_6	-28248.93	56507.86	76697.13	32163.91	0.4625,0.1636,5.541,1.0576,0.259
sec_contact_sym_mig	Round_2_Replicate_7	-64199.96	128409.92	838227.08	37190.54	1.4566,0.0989,14.6165,0.7185,0.6461
sec_contact_sym_mig	Round_2_Replicate_8	-91309.1	182628.2	369181.32	27891.86	0.8203,0.1097,1.5244,0.5353,0.2744
sec_contact_sym_mig	Round_2_Replicate_9	-48854.58	97719.16	128766.57	14087.6	1.161,0.0596,5.3737,4.5501,0.1177
sec_contact_sym_mig	Round_2_Replicate_10	-211229.52	422469.04	1712082.08	48888.92	0.1971,0.0468,1.6751,0.778,0.069
sec_contact_sym_mig	Round_2_Replicate_11	-35512.96	71035.92	492437.12	13069.97	0.5057,0.3024,8.2115,7.0615,0.4034
sec_contact_sym_mig	Round_2_Replicate_12	-48016.82	96043.64	107990.24	58993.65	0.1519,0.1025,4.7042,0.4812,0.2048
sec_contact_sym_mig	Round_2_Replicate_13	-65411.33	130832.66	193092.86	14824.04	0.4857,0.0602,3.2855,7.2764,0.3347
sec_contact_sym_mig	Round_2_Replicate_14	-24493.38	48996.76	57251.96	41213.41	0.2466,0.1065,8.8484,1.0316,0.1402
sec_contact_sym_mig	Round_2_Replicate_15	-117244.1	234498.2	375034.8	26435.34	0.2198,0.558,3.2047,1.6204,0.085
sec_contact_sym_mig	Round_2_Replicate_16	-29232.46	58474.92	94843.18	34977.26	0.3861,0.1564,6.6145,2.613,0.6858
sec_contact_sym_mig	Round_2_Replicate_17	-32450.23	64910.46	76842.59	18972.29	0.4824,0.4089,2.8915,3.0149,0.4009
sec_contact_sym_mig	Round_2_Replicate_18	-156386.0	312782.0	987507.38	39159.58	0.2328,0.2266,2.4113,0.8265,0.0663
sec_contact_sym_mig	Round_2_Replicate_19	-52483.38	104976.76	148595.23	36957.05	0.3405,0.0505,5.5025,2.2639,0.3273
sec_contact_sym_mig	Round_2_Replicate_20	-54579.78	109169.56	483456.55	32389.03	0.1783,0.4571,9.104,1.5533,0.3739
sec_contact_sym_mig	Round_3_Replicate_1	-54638.38	109286.76	254436.65	21208.87	0.155,0.3698,7.7426,3.8453,0.2291
sec_contact_sym_mig	Round_3_Replicate_2	-22865.2	45740.4	53225.06	31913.58	0.2586,0.096,9.0003,2.1078,0.1696
sec_contact_sym_mig	Round_3_Replicate_3	-35192.61	70395.22	89680.63	88709.33	0.1187,0.0979,11.3955,0.412,0.3539
sec_contact_sym_mig	Round_3_Replicate_4	-26147.51	52305.02	65070.43	48136.95	0.2417,0.0955,8.8953,0.7801,0.2028
sec_contact_sym_mig	Round_3_Replicate_5	-37326.83	74663.66	97419.82	33283.91	0.495,0.2245,3.6799,0.2232,0.2665
sec_contact_sym_mig	Round_3_Replicate_6	-34946.36	69902.72	248116.94	27940.77	0.4403,0.2896,6.5621,1.3417,0.3103
sec_contact_sym_mig	Round_3_Replicate_7	-27330.2	54670.4	81744.2	50664.34	0.2382,0.1125,9.5617,0.4258,0.1782
sec_contact_sym_mig	Round_3_Replicate_8	-21559.08	43128.16	51894.75	37715.47	0.0884,0.0326,27.3605,3.3519,0.0986
sec_contact_sym_mig	Round_3_Replicate_9	-23351.91	46713.82	66596.84	65640.24	0.1299,0.0527,18.7203,0.9643,0.1567
sec_contact_sym_mig	Round_3_Replicate_10	-43062.93	86135.86	107254.83	34305.8	0.1871,0.0434,7.3808,3.597,0.2298
sec_contact_sym_mig	Round_3_Replicate_11	-72211.02	144432.04	154227.15	51147.75	0.1152,0.2528,4.0571,0.2564,0.1988
sec_contact_sym_mig	Round_3_Replicate_12	-28475.8	56961.6	110779.16	94225.3	0.1284,0.0583,20.8408,0.3754,0.2286
sec_contact_sym_mig	Round_3_Replicate_13	-26682.09	53374.18	71602.65	22382.3	0.5545,0.2528,4.8123,2.1899,0.2097
sec_contact_sym_mig	Round_3_Replicate_14	-35052.65	70115.3	242060.18	32534.82	0.2864,0.2385,8.6392,1.8665,0.4241
sec_contact_sym_mig	Round_3_Replicate_15	-35121.9	70253.8	113515.13	40993.39	0.2239,0.2201,8.3204,0.6964,0.1144
sec_contact_sym_mig	Round_3_Replicate_16	-30448.1	60906.2	107107.97	36746.89	0.3995,0.1835,8.3978,0.4185,0.097
sec_contact_sym_mig	Round_3_Replicate_17	-41198.92	82407.84	274276.75	44495.27	0.1789,0.227,12.2707,0.5665,0.0957
