Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T1, T2)
sec_contact_sym_mig	Round_1_Replicate_1	-118098.86	236207.72	330077.02	21892.9	0.2095,1.7259,1.703,0.1546,6.5207
sec_contact_sym_mig	Round_1_Replicate_2	-134151.96	268313.92	414926.44	11478.45	0.3183,4.9392,1.1266,1.6209,2.4297
sec_contact_sym_mig	Round_1_Replicate_3	-85440.94	170891.88	3007390.67	13564.96	3.4188,0.5449,4.0797,0.1307,1.3585
sec_contact_sym_mig	Round_1_Replicate_4	-54429.88	108869.76	158599.21	20742.39	1.1267,0.2192,1.8725,2.08,1.6927
sec_contact_sym_mig	Round_1_Replicate_5	-44043.22	88096.44	115658.16	11314.71	1.513,0.4963,0.9605,5.0196,2.0246
sec_contact_sym_mig	Round_1_Replicate_6	-306723.48	613456.96	2530534.04	5752.83	0.2366,5.4771,0.1518,7.9468,0.7432
sec_contact_sym_mig	Round_1_Replicate_7	-85354.32	170718.64	2181905.2	5586.18	3.7841,3.4464,0.9495,2.8636,1.3353
sec_contact_sym_mig	Round_1_Replicate_8	-118495.57	237001.14	430159.26	10680.59	2.274,4.1711,0.1542,0.1689,0.6929
sec_contact_sym_mig	Round_1_Replicate_9	-142094.45	284198.9	523718.45	19245.73	0.3761,1.602,0.5311,0.573,0.502
sec_contact_sym_mig	Round_1_Replicate_10	-131660.12	263330.24	377963.53	21737.91	0.1888,1.7857,1.527,0.5199,3.9628
sec_contact_sym_mig	Round_2_Replicate_1	-69523.79	139057.58	7646546.69	5688.49	4.6539,1.1881,2.9326,9.2928,4.7627
sec_contact_sym_mig	Round_2_Replicate_2	-128236.11	256482.22	425751.73	7527.92	0.4958,0.3183,0.4809,17.7507,1.1743
sec_contact_sym_mig	Round_2_Replicate_3	-141710.23	283430.46	770381.83	8857.72	1.513,0.238,0.2933,11.618,3.2529
sec_contact_sym_mig	Round_2_Replicate_4	-80285.82	160581.64	209275.03	8966.76	1.0639,1.3893,0.3505,15.3071,8.553
sec_contact_sym_mig	Round_2_Replicate_5	-120639.97	241289.94	328989.34	10958.23	0.462,1.3874,0.499,5.2605,0.7488
sec_contact_sym_mig	Round_2_Replicate_6	-151785.71	303581.42	1089664.35	6711.95	4.7219,0.2463,0.3512,4.4901,0.6223
sec_contact_sym_mig	Round_2_Replicate_7	-29061.07	58132.14	90875.04	4179.49	3.5617,0.4145,1.8372,19.0068,0.8189
sec_contact_sym_mig	Round_2_Replicate_8	-53233.0	106476.0	1586570.56	4374.69	4.3526,1.8296,1.434,14.3259,7.2151
sec_contact_sym_mig	Round_2_Replicate_9	-126911.11	253832.22	658797.71	7492.87	2.8735,0.2252,0.3716,6.8144,1.8817
sec_contact_sym_mig	Round_2_Replicate_10	-52510.51	105031.02	132061.66	25757.67	0.4431,0.579,2.066,1.9491,4.0076
sec_contact_sym_mig	Round_2_Replicate_11	-166469.04	332948.08	790970.13	10243.25	0.5694,0.342,0.2913,10.4585,1.5149
sec_contact_sym_mig	Round_2_Replicate_12	-185318.02	370646.04	1047638.33	11701.9	0.5847,0.1959,0.3766,7.4914,0.6027
sec_contact_sym_mig	Round_2_Replicate_13	-66998.13	134006.26	197088.99	5383.86	5.3855,0.1646,1.8363,10.9305,0.8439
sec_contact_sym_mig	Round_2_Replicate_14	-43560.97	87131.94	109899.65	5343.35	1.5545,0.1681,2.0205,20.8946,0.7679
sec_contact_sym_mig	Round_2_Replicate_15	-108139.39	216288.78	484759.65	4492.15	4.5961,0.3177,0.3641,20.6347,4.8174
sec_contact_sym_mig	Round_2_Replicate_16	-89517.45	179044.9	275531.49	12362.92	0.9667,1.0192,0.3703,2.6045,1.6666
sec_contact_sym_mig	Round_2_Replicate_17	-47174.01	94358.02	185196.35	21089.25	0.5377,0.6915,2.6978,1.5638,1.6438
sec_contact_sym_mig	Round_2_Replicate_18	-52596.29	105202.58	179004.93	15502.79	2.2433,0.1679,4.2065,19.7356,2.4087
sec_contact_sym_mig	Round_2_Replicate_19	-59368.31	118746.62	138099.59	17958.67	0.5043,0.8717,1.3674,21.406,5.9336
