Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T1, T2)
sec_contact_sym_mig	Round_1_Replicate_1	-226591.43	453192.86	1132628.89	13830.58	0.1881,7.0749,0.6405,0.3333,0.9102
sec_contact_sym_mig	Round_1_Replicate_2	-51721.06	103452.12	144358.05	9320.12	2.1898,0.9512,0.6616,2.2799,2.6072
sec_contact_sym_mig	Round_1_Replicate_3	-69820.84	139651.68	220652.32	15166.32	2.6871,0.2365,2.2156,1.4476,2.2162
sec_contact_sym_mig	Round_1_Replicate_4	-140312.93	280635.86	15051683.93	12295.18	5.7343,7.9837,0.1675,0.1339,0.2092
sec_contact_sym_mig	Round_1_Replicate_5	-108292.78	216595.56	537171.4	11375.0	3.0225,3.1003,0.5625,0.4827,0.1805
sec_contact_sym_mig	Round_1_Replicate_6	-134444.46	268898.92	930361.32	6426.44	4.1789,6.0142,1.2276,1.6301,0.1675
sec_contact_sym_mig	Round_1_Replicate_7	-116329.47	232668.94	485389.94	19612.35	0.7023,0.7447,0.4148,0.8057,0.597
sec_contact_sym_mig	Round_1_Replicate_8	-80662.42	161334.84	347043.81	6384.27	3.53,2.7296,0.5725,2.6853,0.8313
sec_contact_sym_mig	Round_1_Replicate_9	-162900.99	325811.98	723799242.73	11557.2	4.3183,1.822,6.465,0.3327,0.3309
sec_contact_sym_mig	Round_1_Replicate_10	-180915.23	361840.46	1022356.24	23038.83	0.3451,0.2717,0.3672,2.5402,0.8809
sec_contact_sym_mig	Round_2_Replicate_1	-51777.87	103565.74	353713.38	5433.91	3.0559,2.4942,0.7761,0.7674,8.9255
sec_contact_sym_mig	Round_2_Replicate_2	-74989.77	149989.54	814433.72	8279.83	6.9203,0.5758,2.4091,0.9919,10.2175
sec_contact_sym_mig	Round_2_Replicate_3	-41822.9	83655.8	97894.24	9170.16	1.2769,1.1566,0.836,5.5074,1.7414
sec_contact_sym_mig	Round_2_Replicate_4	-46576.27	93162.54	333214.06	9524.52	1.7706,1.1609,1.5614,1.3926,7.8181
sec_contact_sym_mig	Round_2_Replicate_5	-218192.17	436394.34	1954290.68	19899.19	0.5531,0.2348,0.205,4.4997,9.8919
sec_contact_sym_mig	Round_2_Replicate_6	-60217.69	120445.38	236412.93	5721.31	3.3846,2.6062,0.5065,0.8856,5.0669
sec_contact_sym_mig	Round_2_Replicate_7	-80035.35	160080.7	244605.38	5493.7	2.5319,2.2311,0.213,7.0729,1.95
sec_contact_sym_mig	Round_2_Replicate_8	-111055.11	222120.22	139398855.31	3818.18	6.0222,3.7335,2.3717,6.6746,0.9309
sec_contact_sym_mig	Round_2_Replicate_9	-73957.95	147925.9	187633.26	13124.55	0.835,1.381,0.655,1.9805,0.9462
sec_contact_sym_mig	Round_2_Replicate_10	-66322.43	132654.86	215165.06	8230.38	3.1278,0.73,0.5138,0.647,5.695
sec_contact_sym_mig	Round_2_Replicate_11	-70243.22	140496.44	221193.76	14653.4	0.6512,1.7396,1.3255,0.5693,1.9164
sec_contact_sym_mig	Round_2_Replicate_12	-109947.27	219904.54	490650.97	17805.71	1.0008,0.3332,0.4317,0.6175,3.9796
sec_contact_sym_mig	Round_2_Replicate_13	-58673.57	117357.14	754893.11	9240.46	2.2755,1.28,1.6471,2.0788,1.4919
sec_contact_sym_mig	Round_2_Replicate_14	-44174.83	88359.66	224885.31	12972.59	1.4848,0.7062,1.9402,1.8673,6.2054
sec_contact_sym_mig	Round_2_Replicate_15	-142803.26	285616.52	469563.09	7532.36	0.8024,3.4622,0.2097,1.0424,6.7995
sec_contact_sym_mig	Round_2_Replicate_16	-121782.42	243574.84	18896869.59	7519.67	4.683,2.1172,1.8747,0.941,1.0665
sec_contact_sym_mig	Round_2_Replicate_17	-141067.3	282144.6	1051457.98	5398.95	5.9521,2.9134,0.205,2.3821,0.7571
sec_contact_sym_mig	Round_2_Replicate_18	-83360.69	166731.38	317866.17	14512.87	1.6746,0.2808,0.7464,4.09,6.4175
sec_contact_sym_mig	Round_2_Replicate_19	-98635.43	197280.86	263515.65	10972.38	0.7498,2.1019,0.4434,1.4122,3.168
sec_contact_sym_mig	Round_2_Replicate_20	-69801.55	139613.1	884077.49	9487.44	2.3347,1.5584,1.396,0.8128,1.7721
sec_contact_sym_mig	Round_3_Replicate_1	-102671.69	205353.38	381668.19	25025.78	0.5301,0.3601,0.5985,2.952,7.011
sec_contact_sym_mig	Round_3_Replicate_2	-96181.51	192373.02	387429.03	11904.05	1.5696,0.5901,0.3873,2.7087,0.8441
sec_contact_sym_mig	Round_3_Replicate_3	-44262.95	88535.9	142017.03	5387.47	3.6573,1.6714,0.5888,5.7901,4.2067
sec_contact_sym_mig	Round_3_Replicate_4	-67240.91	134491.82	2295641.01	5758.63	2.9554,2.7,1.3532,4.4941,1.7075
sec_contact_sym_mig	Round_3_Replicate_5	-35784.8	71579.6	159068.78	9464.74	1.0163,0.9589,1.8408,9.0926,2.046
sec_contact_sym_mig	Round_3_Replicate_6	-76156.77	152323.54	174995.74	4883.44	1.5066,2.596,0.6545,13.2246,0.6114
sec_contact_sym_mig	Round_3_Replicate_7	-70510.24	141030.48	236718.87	5584.0	2.7966,2.0801,0.5646,7.4601,0.611
sec_contact_sym_mig	Round_3_Replicate_8	-95283.01	190576.02	232134.48	5128.14	0.6602,2.7915,0.5878,28.1961,4.2309
sec_contact_sym_mig	Round_3_Replicate_9	-43374.66	86759.32	184561.27	9731.12	2.8569,0.3172,2.797,7.035,1.5533
sec_contact_sym_mig	Round_3_Replicate_10	-58601.19	117212.38	174372.59	7224.09	3.1939,1.1378,0.4594,2.8709,2.5979
sec_contact_sym_mig	Round_3_Replicate_11	-64699.99	129409.98	1185880.45	11820.33	0.6813,1.9599,3.1109,3.9463,2.7978
sec_contact_sym_mig	Round_3_Replicate_12	-106738.65	213487.3	257500.85	8182.72	0.5239,1.6029,0.6185,8.497,0.6367
sec_contact_sym_mig	Round_3_Replicate_13	-39443.59	78897.18	101553.4	6890.21	2.1017,1.3541,0.6785,7.5639,3.6901
sec_contact_sym_mig	Round_3_Replicate_14	-55639.15	111288.3	450985.81	6142.53	0.6929,1.8942,2.1745,13.6435,1.0565
sec_contact_sym_mig	Round_3_Replicate_15	-141241.27	282492.54	545382.3	17513.82	0.3752,0.3746,0.445,6.5976,1.8791
sec_contact_sym_mig	Round_3_Replicate_16	-68228.7	136467.4	2986264.64	6251.57	2.7443,2.3185,1.639,2.7724,4.0418
