Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, T1, T2)
no_mig_size	Round_1_Replicate_1	-219286.08	438584.16	2121120.79	9393.22	3.0286,7.5206,5.651,0.7495,0.2007,0.9885
no_mig_size	Round_1_Replicate_2	-505156.89	1010325.78	61289938.0	37981.75	0.1227,4.5782,0.24,0.2706,0.127,0.6721
no_mig_size	Round_1_Replicate_3	-375574.48	751160.96	12500288.86	14096.96	1.0655,2.1456,0.4803,0.7323,2.2164,0.1746
no_mig_size	Round_1_Replicate_4	-140633.7	281279.4	539666.32	9786.35	1.4702,3.2047,3.8855,5.3629,0.2459,0.5376
no_mig_size	Round_1_Replicate_5	-1554968.42	3109948.84	745174929062235.2	14242.86	0.1527,0.2033,0.3656,0.8857,0.5846,3.9539
no_mig_size	Round_1_Replicate_6	-228427.16	456866.32	1918259.14	17839.5	0.2756,2.4272,0.7585,1.3947,0.1851,0.6628
no_mig_size	Round_1_Replicate_7	-386194.37	772400.74	13512563.9	25900.66	8.0653,5.9775,0.321,0.4426,0.6211,0.7844
no_mig_size	Round_1_Replicate_8	-158178.95	316369.9	709734.3	25833.9	0.5602,0.2074,0.3588,3.3052,0.145,0.1956
no_mig_size	Round_1_Replicate_9	-346839.5	693691.0	12684841.78	15291.06	2.9622,0.496,1.858,0.3092,0.5451,0.6709
no_mig_size	Round_1_Replicate_10	-1142337.88	2284687.76	408811133971.61	11718.14	0.2468,0.2176,0.2825,4.4063,0.8274,1.8611
no_mig_size	Round_2_Replicate_1	-177585.16	355182.32	794196.6	7304.9	0.9079,13.2744,8.4376,11.7605,0.3254,0.6359
no_mig_size	Round_2_Replicate_2	-244649.81	489311.62	2411622.41	6183.21	1.6094,1.8441,11.0787,6.6831,0.9736,0.7654
no_mig_size	Round_2_Replicate_3	-249529.7	499071.4	2812754.59	7313.84	1.6642,3.8669,2.8243,4.147,0.9726,1.299
no_mig_size	Round_2_Replicate_4	-149125.45	298262.9	704364.28	11029.94	1.3972,11.3964,3.8721,1.3699,0.1553,0.7144
