Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, T1, T2)
no_mig_size	Round_1_Replicate_1	-331547.67	663107.34	9114206.8	11426.43	0.2987,7.6484,3.6307,0.7082,0.388,1.091
no_mig_size	Round_1_Replicate_2	-503724.7	1007461.4	55684713.62	6577.59	3.8106,0.7031,1.0892,6.2506,0.1782,3.8906
no_mig_size	Round_1_Replicate_3	-399468.26	798948.52	24175306.7	26270.13	2.7043,0.1474,0.7188,0.1817,0.252,0.4659
no_mig_size	Round_1_Replicate_4	-128692.43	257396.86	479738.45	34544.46	0.3844,2.248,0.2736,0.2088,0.155,0.1237
no_mig_size	Round_1_Replicate_5	-305515.43	611042.86	6096966.04	28386.24	8.195,0.6208,0.4513,0.3209,0.2634,0.6058
no_mig_size	Round_1_Replicate_6	-819875.22	1639762.44	6143612568.52	8377.03	0.4372,1.6904,1.2044,1.8569,1.0262,4.8331
no_mig_size	Round_1_Replicate_7	-111145.46	222302.92	396956.65	20255.67	2.4527,0.3723,0.9073,1.1701,0.1218,0.2842
no_mig_size	Round_1_Replicate_8	-304846.9	609705.8	827185377923.02	9167.52	3.6445,1.6848,0.5307,0.1448,0.7203,3.7232
no_mig_size	Round_1_Replicate_9	-410724.43	821460.86	655511657250745.8	5198.55	7.1155,0.2623,0.6026,0.56,5.1559,0.2105
no_mig_size	Round_1_Replicate_10	-265829.03	531670.06	581157683711.77	3237.3	0.9963,1.793,3.1147,0.2975,3.7771,6.3767
no_mig_size	Round_2_Replicate_1	-115402.02	230816.04	464273.69	19901.67	1.3072,0.5966,2.1742,0.312,0.2193,0.1355
no_mig_size	Round_2_Replicate_2	-61587.95	123187.9	180195.97	23573.65	3.9391,0.3111,0.6479,4.2969,0.0525,0.0931
no_mig_size	Round_2_Replicate_3	-128443.03	256898.06	530821.92	15522.19	0.9351,0.6987,2.3472,1.0194,0.1409,0.3983
no_mig_size	Round_2_Replicate_4	-241005.9	482023.8	3045184.92	21820.88	5.1236,0.1268,0.977,0.4144,0.0909,0.5844
no_mig_size	Round_2_Replicate_5	-174618.56	349249.12	949760.88	22816.88	3.261,0.6033,0.5313,0.9066,0.0618,0.5281
no_mig_size	Round_2_Replicate_6	-57026.33	114064.66	177900.83	23853.78	4.3926,0.1213,1.0821,4.4318,0.0308,0.0682
no_mig_size	Round_2_Replicate_7	-93568.32	187148.64	263154.2	20131.93	1.4988,0.7037,0.7042,3.4485,0.199,0.1352
no_mig_size	Round_2_Replicate_8	-90377.64	180767.28	257848.85	17750.1	2.6148,0.8522,1.064,3.5985,0.0295,0.2804
no_mig_size	Round_2_Replicate_9	-331228.01	662468.02	7234751.03	23751.77	2.1261,0.1789,0.4276,0.8531,0.1202,0.8418
