Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2, T3)
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_9	-62628.46	125274.92	574160.89	7465.11	0.6435,0.8641,3.1052,3.0836,8.3408,0.0941,0.0423,9.8736,0.2416
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_10	-65053.5	130125.0	172742.77	10328.44	0.486,2.3768,1.6969,1.7927,2.3151,0.1357,0.0553,14.9568,0.1991
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_11	-87211.05	174440.1	212158.64	13053.15	0.8917,8.5759,0.7347,2.0024,5.7541,0.0664,0.1665,5.0404,0.29
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_12	-143094.77	286207.54	479923.42	11967.66	1.0835,6.6963,0.5764,2.9384,1.5188,0.1526,0.1289,1.8561,0.2787
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_13	-72423.53	144865.06	228777.85	18268.46	2.6593,3.0168,1.4133,0.9134,4.1709,0.0731,0.1355,11.9671,0.093
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_14	-57231.37	114480.74	268855.17	7014.46	5.6519,0.709,1.8463,3.8697,7.3822,0.0602,0.0222,8.6244,0.2439
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_15	-71971.89	143961.78	3248530.67	6110.84	0.6367,5.1467,3.8617,3.6029,5.591,0.2497,0.0767,14.7345,0.1258
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_16	-103148.64	206315.28	296484.4	10091.93	0.6107,1.0068,0.8059,5.6826,7.1819,0.1587,0.0318,1.379,0.2187
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_17	-153400.11	306818.22	72511870.64	5296.41	5.1996,8.9183,5.8747,8.7505,7.88,0.2657,0.1871,2.1956,0.1801
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_18	-63783.19	127584.38	156294.95	4339.76	5.6406,6.2049,1.8113,6.5253,4.5233,0.5456,0.0598,11.6863,0.4199
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_19	-65831.92	131681.84	1652379.99	6928.24	0.8197,0.7126,2.8919,3.1488,3.3569,0.072,0.055,20.9066,0.0607
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_20	-114992.61	230003.22	371649.86	10438.06	1.809,6.5481,1.1046,2.06,3.5681,0.4175,0.1256,5.2228,0.6178
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_21	-224998.09	450014.18	1482325.62	13575.09	3.0041,2.0367,0.5118,1.8501,7.3255,0.2813,0.028,12.52,0.8389
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_22	-125746.62	251511.24	353674.48	5551.39	1.5542,5.4462,1.0988,6.3584,1.4193,0.1557,0.12,6.3207,0.5655
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_23	-83639.26	167296.52	1736361.52	4142.81	1.0408,0.5741,4.8505,5.5303,1.9974,0.8044,0.1678,6.0545,0.2235
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_24	-106138.82	212295.64	396094.65	11772.7	3.3211,3.633,1.9886,1.2002,1.7537,0.0669,0.0398,7.9531,0.3256
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_25	-68115.55	136249.1	310785.93	4764.67	3.6149,3.4434,1.8664,7.8237,11.1507,0.1976,0.2792,6.9265,0.3171
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_26	-119176.31	238370.62	381046.34	9757.61	1.399,2.7413,0.7728,8.9183,1.5953,0.0662,0.0727,1.1078,0.0592
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_27	-191089.45	382196.9	1509567.12	13829.68	3.0507,1.5005,1.6813,0.8292,2.2745,0.2151,0.255,3.6004,0.7632
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_28	-53825.58	107669.16	387199.33	8444.1	2.3991,5.6065,1.4155,2.6567,3.8066,0.5373,0.023,6.6018,0.0748
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_29	-149601.37	299220.74	812509.17	14707.6	1.2158,5.3723,1.6196,0.7915,3.7834,0.7842,0.0304,3.5618,0.6051
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_30	-66862.31	133742.62	455564.08	7690.76	2.6401,4.56,0.6949,4.8167,10.8428,0.7153,0.2711,4.0454,0.0745
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_1	-57383.7	114785.4	466717.92	6112.29	3.7862,9.3545,2.4064,3.8281,5.3821,0.4788,0.0157,9.5132,0.2124
