Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2, T3)
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_1	-258133.06	516284.12	3029918.98	5787.88	1.0936,4.1861,2.3558,4.3434,1.8403,0.1364,1.9405,0.4565,2.7308
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_2	-496432.83	992883.66	87485944.75	5002.52	1.0146,0.1852,7.5839,0.9847,1.1421,0.793,0.128,0.6806,3.8666
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_3	-276708.35	553434.7	4642959.77	9390.82	7.3875,2.0235,1.7596,0.4489,0.1887,0.1467,3.8425,3.1804,0.5574
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_4	-135237.4	270492.8	707493.52	8261.28	0.3615,0.1701,3.2728,0.298,0.2545,0.618,5.5719,2.5955,0.1295
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_5	-247442.71	494903.42	1438243.73	16220.56	0.2695,0.2719,0.2556,6.4673,2.2931,2.9922,0.2333,1.117,0.298
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_6	-549009.04	1098036.08	100574185.76	49048.72	0.3364,0.5031,0.1558,0.2888,1.097,1.6577,0.4573,2.1361,0.5453
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_7	-868225.23	1736468.46	10434725060.81	46685.64	0.6002,0.579,0.1782,0.1845,1.2589,1.0743,0.3699,6.1174,0.8925
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_8	-95722.14	191462.28	1618502.91	8866.86	2.1186,2.5169,2.8488,4.9463,0.2625,5.0638,1.0051,1.31,0.1915
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_9	-687296.91	1374611.82	637764187.48	37201.18	0.3398,0.1289,0.2024,0.2065,1.0576,0.6346,1.4741,0.8105,0.7317
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_10	-331678.6	663375.2	5130643.72	32202.12	0.2161,1.308,0.1638,0.3172,0.9409,3.1041,1.8292,0.2269,0.3059
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_1	-129321.16	258660.32	395833.64	11389.97	1.7615,1.4851,1.1025,5.0979,0.0793,2.0538,0.4895,3.2947,0.2307
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_2	-130989.68	261997.36	542585.93	10846.16	0.5864,3.4893,2.2702,6.514,0.5205,10.8996,0.642,0.3974,0.4973
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_3	-95759.91	191537.82	279955.29	8443.88	2.4163,1.6263,2.0502,2.3407,0.8236,5.0319,2.4615,2.2809,0.7153
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_4	-99829.51	199677.02	274890.92	11416.93	1.4645,9.3374,1.4979,4.0264,0.1362,9.0702,1.0617,3.0344,0.4594
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_5	-126412.67	252843.34	32946939.93	7191.13	4.5193,0.9299,5.0709,4.3041,0.2308,6.8675,0.2666,1.9298,0.1051
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_6	-93586.88	187191.76	297281.16	9177.92	1.645,0.836,2.6571,3.2747,0.2151,10.9166,1.6547,0.9446,0.5309
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_7	-100922.53	201863.06	375142.06	7121.28	1.3189,4.2152,2.8226,9.0038,0.5229,6.6259,0.273,2.3896,0.5734
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_8	-107184.24	214386.48	392227.0	10854.0	1.7789,7.273,1.0124,14.1396,0.4012,8.1077,2.3814,0.3522,0.2193
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_9	-88155.57	176329.14	493600.78	10925.34	0.6515,1.4697,1.6209,8.9751,0.4948,10.3912,0.3235,4.8895,0.2702
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_10	-81996.48	164010.96	607529.97	6619.57	3.463,1.9892,3.8119,2.743,0.0793,1.548,1.5813,2.6318,0.0804
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_11	-181402.38	362822.76	955638.1	16202.99	4.9601,0.7792,0.7824,1.9839,0.121,4.9062,0.6983,2.0927,0.6363
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_12	-128885.34	257788.68	893065.09	9036.25	1.071,1.6184,2.8918,20.181,0.1506,17.8916,0.8875,0.3895,0.5186
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_13	-65403.33	130824.66	219762.73	10771.88	5.6363,1.3802,1.0063,1.8669,0.0694,6.3145,3.7026,0.5567,0.1212
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_14	-139128.49	278274.98	401415.81	9710.12	5.0568,2.0577,0.8122,16.582,0.8157,2.3372,0.7532,1.7032,0.2487
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_15	-90769.31	181556.62	244066.76	20009.6	1.1392,9.4362,0.8519,2.0869,0.5536,15.1627,0.3601,2.3867,0.2295
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_16	-132934.81	265887.62	1031517.11	7707.4	0.9822,9.7075,7.172,2.6321,0.0878,8.213,0.7518,0.7343,0.4223
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_17	-66943.39	133904.78	212723.05	7115.9	2.0734,0.7674,3.3918,2.0157,0.2487,3.3944,3.9607,2.6401,0.3196
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_18	-111050.88	222119.76	350350.56	10798.64	1.4023,5.9441,1.7787,2.6261,0.1941,2.709,0.6901,0.8713,0.4246
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_19	-85209.37	170436.74	490526.07	9627.32	0.5695,2.5767,2.0809,2.0356,0.3469,1.7012,2.6705,1.3154,0.0485
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_20	-162531.5	325081.0	879153483.13	8648.58	2.337,2.6817,5.2087,19.5803,0.9433,16.5097,1.7972,0.3344,0.0668
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_1	-156939.46	313896.92	484734.98	12429.09	1.8365,0.4406,0.3261,2.7801,0.0361,3.9288,4.1427,0.2024,0.0534
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_2	-178580.46	357178.92	629355.03	15575.12	2.9012,1.3779,0.343,2.0934,0.0695,3.813,9.4308,0.9077,0.0486
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_3	-93596.11	187210.22	39735618.71	5720.15	13.4486,2.0518,1.8453,4.5355,0.079,23.5512,5.4436,0.2995,0.0548
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_4	-55681.84	111381.68	163524.35	16523.84	21.6722,0.5745,0.8028,1.0374,0.1014,9.8563,1.8245,0.6921,0.1004
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_5	-70450.1	140918.2	285607.84	9242.71	5.7969,3.1703,1.2435,2.5622,0.14,5.702,3.1599,0.4825,0.137
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_6	-99697.45	199412.9	1922000.7	53991.86	5.9954,3.6336,0.3315,4.5026,0.0588,27.6615,7.9541,1.931,0.0285
