Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2, T3)
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_1	-198748.17	397514.34	1679650.58	7302.49	6.7915,0.1569,0.608,5.8951,0.4494,0.2054,7.2585,0.675,0.2462
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_2	-218340.62	436699.24	1741786.58	33148.35	1.3044,0.929,0.3949,0.5114,0.4134,2.9234,0.2689,7.8918,0.3416
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_3	-673249.52	1346517.04	955932140.91	6440.95	3.3165,2.0719,2.9135,0.9436,0.5017,0.1971,0.3295,3.8946,5.2401
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_4	-1088612.87	2177243.74	318912147566.37	50957.23	0.1815,0.1318,0.1668,0.1785,0.1741,4.4919,0.4299,2.7894,1.1126
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_5	-614768.05	1229554.1	329531197.37	7215.59	0.4894,0.8667,1.7409,1.8552,2.0357,7.6754,1.9412,0.2689,5.996
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_6	-135172.66	270363.32	599506.7	7757.67	6.5797,3.0155,5.0699,2.4448,0.7637,0.1463,0.5449,0.4858,0.4044
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_7	-432922.61	865863.22	45023716.38	7577.99	0.6325,7.5068,8.0164,0.5021,0.1766,0.126,2.2624,0.196,0.94
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_8	-350140.82	700299.64	12953668.39	6514.16	0.1582,0.7383,4.8513,1.147,4.3387,0.5753,1.7148,1.2138,2.91
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_9	-360426.64	720871.28	15238750.23	13705.25	5.8659,2.1392,1.9755,0.1931,0.3042,7.5066,0.2828,2.6867,0.7341
sec_contact_asym_mig_size_three_epoch	Round_1_Replicate_10	-592806.93	1185631.86	184341324.72	21902.76	3.4562,4.3437,0.392,0.3003,0.1367,0.333,1.9843,3.734,0.8253
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_1	-108561.31	217140.62	393583.01	10950.34	8.9716,1.2975,1.8372,2.9615,0.7042,0.2435,0.4913,0.5145,0.1596
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_2	-130444.28	260906.56	642709.86	3827.05	2.7535,3.4078,11.8855,4.9729,1.1265,0.0489,1.8486,1.8021,0.887
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_3	-154230.03	308478.06	4153124.93	3856.49	3.9926,1.6825,14.8946,6.2548,0.87,0.3485,1.3417,1.7968,0.2671
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_4	-166311.78	332641.56	1387216.62	4864.75	2.3647,4.2157,12.2181,5.4535,0.2198,0.2068,0.1539,1.6044,0.1074
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_5	-141693.07	283404.14	556924.33	9680.72	2.1119,1.1097,12.731,3.1596,0.4337,0.1375,0.3874,0.1613,0.1728
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_6	-167530.9	335079.8	908027.4	7018.13	4.7981,11.4366,7.407,1.8913,1.484,0.0748,0.2394,0.4376,0.8638
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_7	-130821.68	261661.36	617183.47	6523.3	23.7515,6.0622,1.9763,4.4359,0.283,0.2611,1.7755,0.4882,0.1188
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_8	-129120.8	258259.6	788559.32	9442.85	4.4913,10.6908,7.717,2.0632,1.1427,0.1327,0.3587,0.1764,0.1647
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_9	-148795.75	297609.5	784282.71	5383.16	1.7999,8.7731,12.8244,1.7603,0.3329,0.486,0.2993,1.6268,0.189
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_10	-127779.55	255577.1	581444.38	12908.12	17.1773,2.1635,1.9645,0.7045,2.9684,0.3124,0.6212,0.1352,0.3512
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_11	-160411.93	320841.86	906562.58	8920.76	3.8482,2.8541,1.4925,2.7955,0.5001,0.1229,1.6897,0.2379,0.2996
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_12	-144159.57	288337.14	632236.3	9213.34	1.9892,1.6618,1.41,4.3155,0.4262,0.0728,0.5126,1.2111,0.2393
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_13	-133827.52	267673.04	1303522.31	6372.89	6.4734,5.1568,7.8936,3.7736,1.8769,0.0983,0.5823,0.7714,0.3269
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_14	-160999.36	322016.72	786671.14	8389.73	2.4233,2.515,3.3359,4.5353,0.3891,0.3448,0.5911,0.1363,0.6159
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_15	-161537.01	323092.02	905303.69	6734.39	9.7548,2.3838,6.5121,1.5524,2.2422,0.1453,0.851,0.7763,0.966
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_16	-122987.45	245992.9	493751.51	9145.15	2.5899,7.0554,4.132,1.884,1.9406,0.1662,0.4244,0.3424,0.4393
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_17	-261814.22	523646.44	3884638.92	5560.24	2.2792,2.7096,10.2172,0.8221,2.7243,0.4405,1.5022,0.6582,1.4692
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_18	-152422.53	304863.06	776026.85	4563.53	3.4182,4.6385,7.0597,7.1915,2.216,0.4661,1.4464,0.3278,1.2588
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_19	-160861.68	321741.36	895715.02	5893.4	19.8237,3.1846,4.5651,2.8349,1.9351,0.2001,1.3669,0.7986,1.4848
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_20	-123034.84	246087.68	405357.76	10687.5	4.7751,12.5115,1.4624,5.5447,0.7771,0.2935,0.3379,0.3467,0.2382
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_1	-85419.12	170856.24	289940.51	17716.81	4.5275,0.4692,0.8807,0.941,0.5883,0.8146,0.4929,0.4605,0.0344
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_2	-178654.83	357327.66	796573.44	11697.94	5.4741,1.336,0.6896,5.4108,1.2822,0.0653,0.214,0.7011,0.3771
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_3	-137629.75	275277.5	580069.84	8138.89	9.778,3.9514,3.6589,5.4662,0.2345,0.0854,0.2866,0.5976,0.2624
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_4	-143316.68	286651.36	560202.7	9092.69	11.3361,3.1014,0.9555,9.0334,0.6034,0.8773,1.0899,0.2574,0.2674
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_5	-188192.97	376403.94	1390436.25	10389.65	5.114,4.5102,1.8152,1.0253,0.2915,0.0699,1.3341,0.3228,0.4777
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_6	-122649.95	245317.9	577682.82	8692.47	6.7985,1.1965,4.5229,1.3491,0.3476,0.325,0.5608,0.8359,0.1021
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_7	-89938.81	179895.62	341973.45	6000.62	28.0679,4.1548,3.7541,2.5769,0.3581,0.7895,1.7278,1.4611,0.2614
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_8	-193601.44	387220.88	1341600.81	12948.86	3.5472,4.6884,0.9517,0.966,0.2239,0.4073,1.3349,0.1894,0.4281
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_9	-116452.68	232923.36	460705.57	8916.98	25.2012,4.2096,3.7668,1.5701,1.4426,0.8959,0.3435,0.8097,0.4596
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_10	-166553.82	333125.64	765342.7	12093.44	12.0932,0.392,0.7415,3.9558,0.2733,0.3358,0.3415,1.1852,0.1309
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_11	-100359.73	200737.46	367644.96	9408.67	2.771,5.1403,3.5364,1.0784,1.342,0.385,0.7789,0.9741,0.2652
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_12	-113467.16	226952.32	401779.07	11149.64	25.3418,1.5434,1.1015,2.1216,0.6144,0.6753,1.1254,0.5762,0.2662
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_13	-112784.61	225587.22	499962.35	7363.17	11.3712,1.2295,3.769,2.992,0.2909,0.2651,0.1963,1.7491,0.0644
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_14	-110575.74	221169.48	381344.61	12817.33	23.7176,0.5827,1.4537,5.4495,0.1886,0.9011,0.2623,0.3435,0.1149
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_15	-100191.44	200400.88	354271.45	12720.55	5.9758,0.9904,2.3933,1.8848,0.965,0.675,0.4081,0.1489,0.092
