Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, T)
no_mig	Round_1_Replicate_1	-58977.75	117961.5	130641.33	30138.56	0.362,0.464,0.1115
no_mig	Round_1_Replicate_2	-239525.44	479056.88	2402976.32	18309.82	0.7513,1.0726,1.0331
no_mig	Round_1_Replicate_3	-438618.07	877242.14	39597582.19	12261.88	1.953,0.6069,2.2124
no_mig	Round_1_Replicate_4	-246610.18	493226.36	255324912876.44	2881.56	5.1134,0.3539,7.489
no_mig	Round_1_Replicate_5	-231361.3	462728.6	2563050.63	9621.56	5.0819,0.7734,1.1955
no_mig	Round_1_Replicate_6	-86226.44	172458.88	246759.07	18298.32	1.5099,1.1836,0.3319
no_mig	Round_1_Replicate_7	-71281.0	142568.0	201900.57	25065.59	0.4224,2.5136,0.1183
no_mig	Round_1_Replicate_8	-70804.25	141614.5	211616.18	30052.96	0.6327,0.1654,0.1152
no_mig	Round_1_Replicate_9	-250142.21	500290.42	2327176.18	8469.78	1.3374,6.758,1.7517
no_mig	Round_1_Replicate_10	-823892.06	1647790.12	6768486993.25	11005.18	1.0054,0.9782,4.9304
no_mig	Round_2_Replicate_1	-57965.4	115936.8	284457.24	24976.99	0.727,1.018,0.1055
no_mig	Round_2_Replicate_2	-125489.34	250984.68	515577.68	28090.16	0.5403,0.4122,0.3276
no_mig	Round_2_Replicate_3	-54766.7	109539.4	133593.03	29426.77	0.5355,0.2965,0.1121
no_mig	Round_2_Replicate_4	-41948.42	83902.84	102664.62	30975.13	0.4248,0.2159,0.0642
no_mig	Round_2_Replicate_5	-35773.52	71553.04	159321.34	32859.44	0.1813,0.1422,0.0215
no_mig	Round_2_Replicate_6	-182924.45	365854.9	1148330.23	39165.5	0.2779,0.2101,0.2862
no_mig	Round_2_Replicate_7	-54147.29	108300.58	247029.75	25749.23	0.7071,0.778,0.0961
no_mig	Round_2_Replicate_8	-41740.54	83487.08	249294.25	31551.26	0.2252,0.2589,0.0279
no_mig	Round_2_Replicate_9	-39649.04	79304.08	125769.78	29112.53	0.665,0.1698,0.0464
no_mig	Round_2_Replicate_10	-38968.66	77943.32	123218.63	29526.41	0.5821,0.1796,0.047
no_mig	Round_2_Replicate_11	-50375.05	100756.1	302606.48	28752.64	0.3861,0.6423,0.0546
no_mig	Round_2_Replicate_12	-36871.71	73749.42	125280.98	30231.79	0.4926,0.1499,0.0375
no_mig	Round_2_Replicate_13	-55449.32	110904.64	229088.75	24054.41	1.2452,0.5596,0.1086
no_mig	Round_2_Replicate_14	-113059.22	226124.44	396806.16	39364.72	0.2323,0.1861,0.1548
no_mig	Round_2_Replicate_15	-111769.16	223544.32	307922.22	32653.03	0.2204,0.5382,0.1718
no_mig	Round_2_Replicate_16	-37570.25	75146.5	139390.2	32412.29	0.2239,0.1971,0.0307
no_mig	Round_2_Replicate_17	-65708.38	131422.76	172438.38	30583.7	0.4757,0.2764,0.1335
no_mig	Round_2_Replicate_18	-33557.47	67120.94	151151.46	32598.11	0.2053,0.1072,0.0194
no_mig	Round_2_Replicate_19	-59634.67	119275.34	135624.05	28623.15	0.4407,0.5315,0.1266
no_mig	Round_2_Replicate_20	-51486.3	102978.6	275519.1	29599.98	0.2917,0.6854,0.0478
no_mig	Round_3_Replicate_1	-40321.73	80649.46	171796.3	29101.32	0.5734,0.2335,0.0467
no_mig	Round_3_Replicate_2	-36077.59	72161.18	157125.74	30716.71	0.3956,0.1473,0.0303
no_mig	Round_3_Replicate_3	-29513.38	59032.76	88946.23	34469.01	0.1205,0.0455,0.0118
no_mig	Round_3_Replicate_4	-29370.06	58746.12	93250.98	34784.93	0.0968,0.0428,0.0101
no_mig	Round_3_Replicate_5	-32576.27	65158.54	90953.82	33121.9	0.2443,0.0873,0.0246
