Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, T)
no_mig	Round_1_Replicate_1	-97857.68	195721.36	293816.18	17991.8	7.1443,0.3209,0.1904
no_mig	Round_1_Replicate_2	-1224866.03	2449738.06	1819897806736.7	22564.44	0.2144,0.5582,2.5357
no_mig	Round_1_Replicate_3	-559768.39	1119542.78	199677089.47	11058.63	5.5545,0.1605,0.9928
no_mig	Round_1_Replicate_4	-662968.53	1325943.06	874393188.51	6992.58	3.0987,0.98,5.5379
no_mig	Round_1_Replicate_5	-250548.42	501102.84	3266012.99	12279.68	6.18,0.2936,0.6292
no_mig	Round_1_Replicate_6	-166381.05	332768.1	927222.65	9869.05	3.249,2.0006,1.1721
no_mig	Round_1_Replicate_7	-275951.35	551908.7	189878152304478.7	9380.53	0.1174,0.7297,2.8929
no_mig	Round_1_Replicate_8	-254332.67	508671.34	289990468089.83	3679.44	3.1304,0.3562,7.3412
no_mig	Round_1_Replicate_9	-280141.08	560288.16	3766685.7	31197.52	0.3319,0.4504,0.6308
no_mig	Round_1_Replicate_10	-240391.12	480788.24	2375726.18	22526.7	0.5563,0.7823,0.8226
no_mig	Round_2_Replicate_1	-62022.75	124051.5	187253.12	22855.17	5.7678,0.2364,0.0794
no_mig	Round_2_Replicate_2	-120943.3	241892.6	444164.76	17487.4	10.1244,0.2316,0.1996
no_mig	Round_2_Replicate_3	-251104.24	502214.48	3638100.51	18119.7	1.8733,0.2706,0.646
no_mig	Round_2_Replicate_4	-69667.48	139340.96	190999.27	21643.56	11.4896,0.2332,0.0914
no_mig	Round_2_Replicate_5	-151858.89	303723.78	640348.15	11665.86	13.82,0.5836,0.4446
no_mig	Round_2_Replicate_6	-107021.62	214049.24	351311.24	18738.11	10.1719,0.2129,0.1627
no_mig	Round_2_Replicate_7	-185204.46	370414.92	1393084.83	14658.38	3.2633,0.4118,0.5961
no_mig	Round_2_Replicate_8	-137578.64	275163.28	617795.23	13053.67	2.937,1.0777,0.6926
no_mig	Round_2_Replicate_9	-84068.37	168142.74	798415.89	18326.78	3.8935,1.1407,0.1694
no_mig	Round_2_Replicate_10	-88129.69	176265.38	2019548.94	19889.97	19.6699,0.7471,0.0998
no_mig	Round_2_Replicate_11	-68315.98	136637.96	381034.87	21706.51	11.5646,0.3622,0.0829
no_mig	Round_2_Replicate_12	-172028.7	344063.4	868377.14	12088.58	23.5163,0.3766,0.3908
no_mig	Round_2_Replicate_13	-82413.75	164833.5	222349.97	20152.4	11.4488,0.2394,0.1215
no_mig	Round_2_Replicate_14	-82717.2	165440.4	233295.65	18851.82	8.7005,0.3745,0.1503
no_mig	Round_2_Replicate_15	-82857.77	165721.54	677988.22	18807.96	6.854,0.7714,0.1397
no_mig	Round_2_Replicate_16	-205510.66	411027.32	1471170.88	12243.45	23.223,0.2659,0.395
no_mig	Round_2_Replicate_17	-73533.34	147072.68	202345.81	20909.56	20.1886,0.2498,0.0984
no_mig	Round_2_Replicate_18	-56230.06	112466.12	180141.23	24488.42	22.9288,0.1489,0.0483
no_mig	Round_2_Replicate_19	-61193.47	122392.94	298772.72	22783.82	3.3608,0.3754,0.0862
no_mig	Round_2_Replicate_20	-81968.81	163943.62	240576.45	19014.88	22.0993,0.3557,0.1297
no_mig	Round_3_Replicate_1	-56873.84	113753.68	392242.94	24735.56	12.5212,0.2027,0.0435
no_mig	Round_3_Replicate_2	-42312.53	84631.06	177946.76	28439.15	20.3635,0.0372,0.0104
no_mig	Round_3_Replicate_3	-44101.66	88209.32	148990.09	27867.42	7.0479,0.0544,0.0172
no_mig	Round_3_Replicate_4	-43258.67	86523.34	189093.57	28038.02	3.7612,0.0602,0.0163
no_mig	Round_3_Replicate_5	-64822.68	129651.36	481469.68	22978.0	23.7271,0.2962,0.0612
no_mig	Round_3_Replicate_6	-53333.79	106673.58	289369.15	25405.49	23.5997,0.1498,0.0361
no_mig	Round_3_Replicate_7	-66340.42	132686.84	339685.94	22109.83	13.848,0.3182,0.0764
no_mig	Round_3_Replicate_8	-47333.78	94673.56	169109.91	26873.74	24.6775,0.0788,0.024
no_mig	Round_3_Replicate_9	-44846.55	89699.1	164692.22	27612.74	15.0732,0.0597,0.0179
no_mig	Round_3_Replicate_10	-44409.27	88824.54	223755.99	27804.98	5.2738,0.0669,0.0169
no_mig	Round_3_Replicate_11	-49475.51	98957.02	162920.45	26222.51	7.9777,0.1034,0.0329
no_mig	Round_3_Replicate_12	-50714.43	101434.86	172689.66	25862.66	10.1903,0.1144,0.0355
no_mig	Round_3_Replicate_13	-61121.28	122248.56	373708.38	23518.69	12.7762,0.2585,0.0577
no_mig	Round_3_Replicate_14	-53644.86	107295.72	234965.8	25103.53	13.5179,0.1551,0.0412
no_mig	Round_3_Replicate_15	-56958.51	113923.02	271154.05	24294.84	13.0246,0.1969,0.0498
no_mig	Round_3_Replicate_16	-61780.34	123566.68	271058.51	23094.03	18.5442,0.2403,0.0631
no_mig	Round_3_Replicate_17	-54752.59	109511.18	383141.64	25309.44	12.7223,0.1743,0.0374
no_mig	Round_3_Replicate_18	-59768.29	119542.58	330272.61	23638.65	7.9157,0.2573,0.0596
no_mig	Round_3_Replicate_19	-43073.76	86153.52	138954.31	28208.87	3.7022,0.0494,0.0161
no_mig	Round_3_Replicate_20	-66120.74	132247.48	177972.59	22349.3	3.4675,0.2596,0.1064
no_mig	Round_3_Replicate_21	-30372.41	60750.82	87961.86	33413.69	0.1586,0.0342,0.0107
no_mig	Round_3_Replicate_22	-52480.55	104967.1	288526.8	25641.62	21.4257,0.1414,0.0339
no_mig	Round_3_Replicate_23	-51501.95	103009.9	335245.61	26080.62	12.3046,0.1351,0.0301
no_mig	Round_3_Replicate_24	-65871.45	131748.9	317601.43	22168.86	14.2449,0.3061,0.0758
no_mig	Round_3_Replicate_25	-49297.26	98600.52	293209.24	26582.02	12.5373,0.1102,0.0257
no_mig	Round_3_Replicate_26	-43812.06	87630.12	204900.79	28006.07	23.3947,0.0509,0.0135
no_mig	Round_3_Replicate_27	-58872.47	117750.94	197805.39	23746.77	15.9496,0.1849,0.0575
no_mig	Round_3_Replicate_28	-57031.95	114069.9	646509.01	25543.85	14.7919,0.1858,0.0332
