Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
sym_mig_size	Round_1_Replicate_1	-81890.87	163795.74	571867.63	33727.49	0.4104,0.3449,0.1831,1.2699,6.308,6.792,4.8649
sym_mig_size	Round_1_Replicate_2	-195976.38	391966.76	754596.45	11686.68	2.8452,3.4657,0.1854,5.7507,0.901,1.5081,1.903
sym_mig_size	Round_1_Replicate_3	-148478.94	296971.88	930907.81	15373.45	1.6709,0.1755,3.8676,0.1983,0.61,0.3601,0.3954
sym_mig_size	Round_1_Replicate_4	-84174.01	168362.02	477293.68	3270.38	0.2437,0.1616,5.456,7.7995,0.2884,6.9312,7.4651
sym_mig_size	Round_1_Replicate_5	-124581.55	249177.1	365544.95	34428.27	0.1327,1.2926,0.1829,0.4963,1.0676,0.9654,0.4465
sym_mig_size	Round_1_Replicate_6	-292552.9	585119.8	4847929.88	39372.71	4.3833,0.1646,0.1556,0.1632,0.1344,0.7131,0.2333
sym_mig_size	Round_1_Replicate_7	-69482.27	138978.54	2027130.24	5055.14	0.4727,0.7734,3.1999,3.4687,1.0847,7.4752,7.1814
sym_mig_size	Round_1_Replicate_8	-157044.05	314102.1	965528067.88	7930.93	2.5488,1.9383,4.5437,2.1068,6.2701,0.1746,1.7637
sym_mig_size	Round_1_Replicate_9	-208720.16	417454.32	914366.02	8098.35	4.1582,0.9248,0.3836,5.146,0.2496,1.8188,4.2139
sym_mig_size	Round_1_Replicate_10	-268166.12	536346.24	2101184.75	18274.94	4.3135,0.7538,0.1919,0.8839,0.1894,0.8608,6.0596
sym_mig_size	Round_2_Replicate_1	-93058.51	186131.02	17935346.8	6457.64	0.7426,2.7204,1.9202,4.401,2.4329,6.4955,3.1054
sym_mig_size	Round_2_Replicate_2	-67156.89	134327.78	735063.12	7522.16	0.6922,0.5862,3.6808,1.3983,1.2242,7.8046,3.2872
sym_mig_size	Round_2_Replicate_3	-84457.03	168928.06	7306643.71	5579.02	0.9108,1.5089,1.6132,6.2069,2.064,14.7573,7.3329
sym_mig_size	Round_2_Replicate_4	-87110.69	174235.38	2104344.29	2280.86	1.108,0.4467,8.2179,10.0151,0.3656,11.1193,10.8593
sym_mig_size	Round_2_Replicate_5	-55037.92	110089.84	698062.46	6229.29	0.2144,0.459,4.1757,1.2284,1.4208,2.5279,13.9074
sym_mig_size	Round_2_Replicate_6	-89184.31	178382.62	16584416.01	6715.26	1.0846,1.1888,5.5932,1.1888,3.2754,21.1808,4.3667
sym_mig_size	Round_2_Replicate_7	-57111.94	114237.88	239354.52	4639.06	0.5578,0.471,3.5333,3.5228,0.4613,19.8675,8.0878
sym_mig_size	Round_2_Replicate_8	-69391.58	138797.16	4989158.91	6327.34	0.9013,1.0381,1.8108,2.7275,2.2855,14.4526,22.6751
sym_mig_size	Round_2_Replicate_9	-83514.75	167043.5	669934.26	7006.32	0.361,0.3812,1.7042,5.0051,0.9185,19.989,3.6808
sym_mig_size	Round_2_Replicate_10	-60330.41	120674.82	1463276.74	2775.67	0.6662,1.8563,4.6782,5.8357,0.6695,4.6441,25.6686
sym_mig_size	Round_2_Replicate_11	-107510.65	215035.3	66329403.01	3382.75	1.3095,0.2344,10.3685,3.0211,1.9174,24.3909,10.076
sym_mig_size	Round_2_Replicate_12	-139805.68	279625.36	30094120.57	5766.0	0.2878,0.6873,7.9973,2.5703,1.5406,25.6712,2.4758
sym_mig_size	Round_2_Replicate_13	-109952.56	219919.12	26915380.81	4249.63	1.3103,1.7446,6.7921,3.6097,1.3714,3.0441,4.0023
sym_mig_size	Round_2_Replicate_14	-64092.7	128199.4	680950.35	4300.29	0.2816,2.8067,3.7929,4.2084,0.6357,27.4314,7.35
sym_mig_size	Round_2_Replicate_15	-78296.36	156606.72	11168378.53	8765.8	0.1135,1.9756,1.3415,2.1819,3.6615,7.5524,7.6854
sym_mig_size	Round_2_Replicate_16	-90094.8	180203.6	250957.91	7301.89	0.6251,1.7963,0.8909,4.3303,0.6195,8.2655,6.9581
sym_mig_size	Round_2_Replicate_17	-80909.18	161832.36	16056735.58	3823.2	0.2936,0.246,5.8956,2.6741,1.7868,3.2778,16.189
sym_mig_size	Round_2_Replicate_18	-59993.71	120001.42	271653.59	13501.44	0.1884,0.3639,1.6686,0.9266,1.3686,11.7868,2.1009
sym_mig_size	Round_2_Replicate_19	-83300.0	166614.0	205606.64	8587.31	0.156,1.7863,0.8496,2.7465,0.576,18.9677,16.2068
sym_mig_size	Round_2_Replicate_20	-68043.73	136101.46	269494.7	3239.22	0.1385,0.514,5.0461,6.3138,0.2684,2.5346,9.9851
sym_mig_size	Round_3_Replicate_1	-77612.29	155238.58	3409493.72	7809.31	0.4543,0.2825,3.5255,1.3959,2.0118,9.6345,4.1131
sym_mig_size	Round_3_Replicate_2	-46649.83	93313.66	323156.54	5592.01	0.0937,0.5397,2.816,2.1155,0.8968,5.2863,18.1471
sym_mig_size	Round_3_Replicate_3	-54735.95	109485.9	515996.88	5061.32	0.1385,0.1764,3.001,2.987,0.8175,0.886,10.9316
sym_mig_size	Round_3_Replicate_4	-72107.54	144229.08	2894600.15	6016.36	0.2479,0.2192,5.8234,1.1915,2.0258,2.8815,10.0349
sym_mig_size	Round_3_Replicate_5	-60677.39	121368.78	1451806.52	8449.28	0.1016,0.781,1.5243,1.9568,2.0198,7.0953,8.253
sym_mig_size	Round_3_Replicate_6	-76660.89	153335.78	249698.57	12284.35	0.1828,0.1873,1.2796,0.6857,0.4285,0.9743,20.9343
sym_mig_size	Round_3_Replicate_7	-44405.04	88824.08	146020.24	4348.34	0.0798,0.7937,3.6323,2.6568,0.4645,0.651,21.3165
sym_mig_size	Round_3_Replicate_8	-76016.68	152047.36	12368921.17	5492.73	0.5713,0.203,3.9049,1.7521,2.5798,1.5532,16.9297
sym_mig_size	Round_3_Replicate_9	-65147.17	130308.34	950689.63	12167.78	0.0605,0.5689,3.2044,0.4772,3.4224,3.5255,18.1668
sym_mig_size	Round_3_Replicate_10	-80139.73	160293.46	18341005.54	5882.88	0.6495,1.6219,2.4591,2.4742,2.8173,3.3441,10.7939
sym_mig_size	Round_3_Replicate_11	-78160.81	156335.62	2555104.43	7554.6	0.0816,1.1279,7.3158,0.7137,2.899,2.4745,24.7657
sym_mig_size	Round_3_Replicate_12	-55368.16	110750.32	190451.66	5760.72	0.4986,0.2047,3.9992,1.7966,0.5302,4.7904,6.6062
sym_mig_size	Round_3_Replicate_13	-65871.47	131756.94	205784.65	11300.24	0.0954,1.0954,2.9425,0.3802,1.2142,8.7535,24.7657
sym_mig_size	Round_3_Replicate_14	-77948.69	155911.38	421326.35	7390.85	0.3394,0.3769,7.7876,0.6109,1.6364,3.0631,6.3282
sym_mig_size	Round_3_Replicate_15	-96426.83	192867.66	333070.67	6842.84	0.0745,0.1132,10.3466,0.4141,1.2141,3.5638,24.7657
sym_mig_size	Round_3_Replicate_16	-51852.59	103719.18	647926.01	15888.09	0.0606,1.1251,1.4265,0.5228,3.5198,0.8147,7.8741
sym_mig_size	Round_3_Replicate_17	-69784.99	139583.98	5740236.66	4968.18	0.0531,0.3906,2.5889,3.1374,1.8167,0.7346,19.2938
sym_mig_size	Round_3_Replicate_18	-104187.02	208388.04	17180008.52	3079.02	0.0631,0.1087,12.4036,3.3945,1.1243,0.6206,9.7609
sym_mig_size	Round_3_Replicate_19	-74130.47	148274.94	240779.19	4756.56	0.1475,0.3294,9.2809,0.7862,0.6865,1.0423,29.2259
sym_mig_size	Round_3_Replicate_20	-94951.83	189917.66	5957481.35	5203.94	0.0562,0.8123,5.6717,2.5591,1.2219,4.4735,4.9577
sym_mig_size	Round_3_Replicate_21	-107134.79	214283.58	33263990.46	6642.11	0.1532,0.6907,8.221,1.208,3.5315,1.1118,4.8924
sym_mig_size	Round_3_Replicate_22	-56534.34	113082.68	1398270.79	12038.29	0.0876,0.501,1.1601,1.1095,3.0869,2.9105,27.6183
sym_mig_size	Round_3_Replicate_23	-87243.48	174500.96	8727172.4	5249.53	0.4187,0.2851,11.8531,1.0832,2.7002,5.4777,24.7657
sym_mig_size	Round_3_Replicate_24	-87362.89	174739.78	310215.69	4505.17	0.3569,0.2386,9.9701,0.6785,0.5306,0.8748,22.1826
sym_mig_size	Round_3_Replicate_25	-42922.2	85858.4	140052.48	14576.46	0.2295,0.4009,1.0885,0.748,1.6057,3.1636,29.8151
sym_mig_size	Round_3_Replicate_26	-82451.31	164916.62	281190.0	5858.17	0.1155,0.2816,7.4706,0.5558,0.7161,0.6773,27.6183
sym_mig_size	Round_3_Replicate_27	-103430.55	206875.1	41994855.27	8701.72	0.0497,0.2883,1.3371,3.9554,4.0113,6.6399,4.0862
sym_mig_size	Round_3_Replicate_28	-68221.86	136457.72	1913187.34	4427.53	0.558,0.2217,8.3981,1.422,1.4668,0.9894,27.6183
sym_mig_size	Round_3_Replicate_29	-87921.98	175857.96	40782712.35	4682.48	0.3324,0.7312,4.3792,2.2982,2.8124,1.4561,14.312
sym_mig_size	Round_3_Replicate_30	-45151.54	90317.08	125374.63	6343.59	0.2004,0.2,2.9396,1.4447,0.5666,0.6418,14.4883
sym_mig_size	Round_4_Replicate_1	-46806.78	93627.56	391973.56	8745.95	0.2262,0.6271,1.8514,1.2771,1.5511,1.7818,23.231
sym_mig_size	Round_4_Replicate_2	-44063.47	88140.94	237156.18	10584.87	0.4093,0.28,1.5819,1.0015,1.5719,2.395,26.7395
sym_mig_size	Round_4_Replicate_3	-42691.7	85397.4	129646.53	11044.31	0.1316,0.2751,1.5952,0.8684,1.1621,4.7447,18.8216
sym_mig_size	Round_4_Replicate_4	-52736.76	105487.52	964452.55	9207.56	0.1286,0.2539,1.9631,1.1099,2.1997,3.7177,23.2522
sym_mig_size	Round_4_Replicate_5	-43715.8	87445.6	175667.16	12679.03	0.1086,0.4186,1.1902,0.9238,1.5915,3.7556,22.6725
sym_mig_size	Round_4_Replicate_6	-44533.69	89081.38	248974.59	8106.62	0.2176,0.3627,1.9593,1.3868,1.2122,2.9023,28.3884
sym_mig_size	Round_4_Replicate_7	-49827.31	99668.62	182201.37	16922.91	0.2335,0.277,0.6859,0.9298,1.9574,5.7488,28.4631
sym_mig_size	Round_4_Replicate_8	-48789.54	97593.08	211566.73	16683.19	0.1477,0.5964,0.7216,0.9127,2.1392,1.9432,29.215
sym_mig_size	Round_4_Replicate_9	-63899.59	127813.18	153256.38	14755.15	0.3414,0.2624,0.6658,1.1874,0.9869,3.2725,23.2522
sym_mig_size	Round_4_Replicate_10	-46615.03	93244.06	121315.59	14875.67	0.1766,0.3011,1.1341,0.6398,1.1118,4.9478,23.7951
sym_mig_size	Round_4_Replicate_11	-42495.49	85004.98	142838.05	20288.86	0.1451,0.5933,0.8587,0.4849,2.3304,2.4576,22.368
sym_mig_size	Round_4_Replicate_12	-53466.0	106946.0	257568.82	14744.61	0.1782,0.7509,0.7178,1.2111,2.0028,5.5558,18.1384
sym_mig_size	Round_4_Replicate_13	-45279.5	90573.0	118241.59	18454.61	0.1861,0.5419,0.8307,0.5921,1.5268,3.6976,19.9286
sym_mig_size	Round_4_Replicate_14	-43038.3	86090.6	123676.71	14985.75	0.1341,0.322,1.1757,0.6328,1.4778,2.4671,20.673
sym_mig_size	Round_4_Replicate_15	-49600.38	99214.76	246328.74	16219.3	0.1156,0.6956,0.7307,0.9621,2.2323,2.6352,23.2522
sym_mig_size	Round_4_Replicate_16	-43560.17	87134.34	179413.04	9957.54	0.1042,0.2879,1.5469,1.1517,1.2715,3.4798,21.8029
sym_mig_size	Round_4_Replicate_17	-44987.53	89989.06	205236.03	15488.88	0.3662,0.4451,1.3967,0.5202,2.286,1.8833,23.2522
sym_mig_size	Round_4_Replicate_18	-44241.8	88497.6	136405.16	21085.89	0.2412,0.7611,0.6857,0.5721,2.1843,6.5471,21.041
sym_mig_size	Round_4_Replicate_19	-50174.46	100362.92	367173.58	11138.68	0.1257,0.1772,1.1039,1.3589,1.8285,2.451,29.9389
sym_mig_size	Round_4_Replicate_20	-54182.73	108379.46	135438.56	17675.54	0.184,0.3425,0.7767,0.6674,1.0362,5.9104,28.2254
sym_mig_size	Round_4_Replicate_21	-51194.42	102402.84	249779.85	13649.18	0.1909,0.2081,0.8256,1.2132,1.8622,4.9097,21.338
sym_mig_size	Round_4_Replicate_22	-43091.25	86196.5	159931.77	22612.73	0.1264,0.2334,0.6953,0.4922,2.7242,5.971,16.0727
sym_mig_size	Round_4_Replicate_23	-43399.74	86813.48	199761.22	8793.93	0.156,0.2151,1.8931,1.2049,1.2091,2.4952,22.5624
sym_mig_size	Round_4_Replicate_24	-43765.24	87544.48	152302.64	14225.58	0.1463,0.2048,1.4586,0.573,1.7594,1.7408,24.0095
sym_mig_size	Round_4_Replicate_25	-42988.57	85991.14	131056.03	16606.03	0.2668,0.5132,1.139,0.5321,1.7809,6.9677,24.8067
sym_mig_size	Round_4_Replicate_26	-43945.33	87904.66	166378.95	13158.4	0.3532,0.2417,1.588,0.6219,1.7281,1.674,24.8676
sym_mig_size	Round_4_Replicate_27	-42581.58	85177.16	133679.22	12424.68	0.1987,0.2495,1.4291,0.7684,1.3533,6.1378,22.3313
sym_mig_size	Round_4_Replicate_28	-57217.75	114449.5	140697.59	12574.99	0.172,0.5804,0.8553,1.2879,0.9306,4.8159,27.2586
sym_mig_size	Round_4_Replicate_29	-53477.03	106968.06	130021.4	16127.35	0.341,0.2642,0.7747,0.8358,1.073,2.9325,25.4916
sym_mig_size	Round_4_Replicate_30	-55471.63	110957.26	134779.04	12263.96	0.28,0.5918,0.9339,1.223,0.8629,4.0677,27.0399
sym_mig_size	Round_4_Replicate_31	-42540.93	85095.86	147352.25	19475.92	0.4672,0.4642,0.873,0.5206,2.2751,2.4417,23.0864
sym_mig_size	Round_4_Replicate_32	-42592.31	85198.62	144570.96	22597.8	0.1666,0.7462,0.7382,0.4575,2.5906,2.4569,21.5615
sym_mig_size	Round_4_Replicate_33	-44838.18	89690.36	123733.63	10581.88	0.361,0.4322,1.8474,0.7761,0.9676,1.6879,24.4088
sym_mig_size	Round_4_Replicate_34	-48189.25	96392.5	121351.74	16769.02	0.3501,0.3348,0.8823,0.6646,1.1948,2.7886,21.9756
sym_mig_size	Round_4_Replicate_35	-48577.55	97169.1	200002.93	15025.24	0.2974,0.244,0.8044,1.0061,1.8715,3.2041,28.7325
sym_mig_size	Round_4_Replicate_36	-45732.94	91479.88	320801.54	8465.93	0.2213,0.3559,1.9024,1.3205,1.3975,1.9247,21.8861
sym_mig_size	Round_4_Replicate_37	-55870.33	111754.66	456088.73	14517.43	0.1777,0.4468,0.7171,1.2864,2.5155,4.4571,29.4867
sym_mig_size	Round_4_Replicate_38	-44072.29	88158.58	132625.89	16441.71	0.4325,0.627,0.8927,0.7192,1.6682,1.6476,24.9699
sym_mig_size	Round_4_Replicate_39	-46302.03	92618.06	179382.97	13726.56	0.3019,0.3062,0.953,1.0017,1.6574,2.3076,28.1956
sym_mig_size	Round_4_Replicate_40	-56180.41	112374.82	150102.25	17656.67	0.4209,0.5818,0.8674,0.5677,0.9335,4.6203,23.231
