Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
sec_contact_sym_mig_size	Round_1_Replicate_1	-68385.1	136784.2	173908.78	13868.02	2.416,1.673,0.6991,1.3291,0.9083,1.5266,0.6994
sec_contact_sym_mig_size	Round_1_Replicate_2	-89677.55	179369.1	252239.89	18514.5	0.4334,1.8059,2.7679,1.302,0.388,0.1351,0.1547
sec_contact_sym_mig_size	Round_1_Replicate_3	-96142.56	192299.12	463448.05	8970.32	0.6409,1.4008,0.3964,6.3206,1.7717,5.4318,1.1317
sec_contact_sym_mig_size	Round_1_Replicate_4	-63759.03	127532.06	160339.49	12258.19	2.3116,0.4815,0.7885,1.5536,0.9186,1.0786,6.249
sec_contact_sym_mig_size	Round_1_Replicate_5	-145288.99	290591.98	531397.79	15998.32	2.5554,0.2828,0.5587,7.4843,0.3105,0.1278,0.5383
sec_contact_sym_mig_size	Round_1_Replicate_6	-60341.53	120697.06	596218.48	13710.54	0.3737,0.3017,0.7026,1.5566,2.5773,0.2495,7.8846
sec_contact_sym_mig_size	Round_1_Replicate_7	-261749.35	523512.7	5779553.33	9391.15	0.2026,0.4417,5.4973,0.2049,0.6823,8.1774,0.2346
sec_contact_sym_mig_size	Round_1_Replicate_8	-91284.71	182583.42	307894.16	19326.42	1.2033,0.3848,4.6896,0.1569,1.8051,0.1913,0.1653
sec_contact_sym_mig_size	Round_1_Replicate_9	-65924.34	131862.68	162378.6	33730.85	1.7263,4.7333,0.2447,0.2532,1.5662,0.1448,0.1678
sec_contact_sym_mig_size	Round_1_Replicate_10	-125401.64	250817.28	692956.86	10865.15	3.5902,0.9504,2.9343,0.7855,0.2378,0.1473,1.5156
sec_contact_sym_mig_size	Round_2_Replicate_1	-122136.26	244286.52	415017.89	14241.78	1.0081,0.1008,0.2751,5.1547,1.8612,0.7644,5.8541
sec_contact_sym_mig_size	Round_2_Replicate_2	-61855.15	123724.3	443276.7	24001.76	0.4795,0.1073,0.38,0.9566,3.9676,0.2631,3.0496
sec_contact_sym_mig_size	Round_2_Replicate_3	-62558.48	125130.96	2028211.5	8609.31	0.1353,0.1106,1.6589,1.7655,2.2254,0.0609,7.0497
sec_contact_sym_mig_size	Round_2_Replicate_4	-61267.16	122548.32	762143.32	11548.57	0.1687,0.6969,1.9199,1.0329,1.966,0.0668,2.6906
