Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
sec_contact_sym_mig_size	Round_3_Replicate_9	-77915.06	155844.12	262555.85	8634.19	25.391,0.8093,1.9563,0.9441,0.2979,0.0228,10.8445
sec_contact_sym_mig_size	Round_3_Replicate_10	-50271.99	100557.98	125849.36	13294.38	23.3827,0.2435,1.0814,0.8739,0.888,0.0549,8.9127
sec_contact_sym_mig_size	Round_3_Replicate_11	-62119.47	124252.94	1075669.0	6523.48	26.5607,0.7622,5.1012,0.9862,1.827,0.1775,23.0705
sec_contact_sym_mig_size	Round_3_Replicate_12	-57304.47	114622.94	437342.0	9724.12	25.1158,0.6726,3.3872,0.6195,2.0964,0.0173,13.9406
sec_contact_sym_mig_size	Round_3_Replicate_13	-78534.82	157083.64	275784.65	8211.48	18.3882,0.9285,4.0793,0.4365,0.7132,0.1277,23.9965
sec_contact_sym_mig_size	Round_3_Replicate_14	-62129.33	124272.66	206862.36	8790.44	29.5298,0.347,4.1757,0.5281,1.3014,0.0563,29.3552
sec_contact_sym_mig_size	Round_3_Replicate_15	-70868.86	141751.72	6203009.26	5287.55	22.8127,0.4729,2.2197,3.1832,2.0187,0.0553,25.5669
sec_contact_sym_mig_size	Round_3_Replicate_16	-68438.53	136891.06	165736.32	13300.66	8.4823,0.1945,0.7835,1.2322,0.701,0.2262,7.2872
sec_contact_sym_mig_size	Round_3_Replicate_17	-70198.21	140410.42	169561.32	16803.01	29.2148,0.7629,0.6005,0.961,0.8577,0.0349,29.0143
sec_contact_sym_mig_size	Round_3_Replicate_18	-63687.43	127388.86	340868.09	13210.14	24.7003,0.7372,0.6435,1.8187,1.9439,0.0203,10.7553
sec_contact_sym_mig_size	Round_3_Replicate_19	-44847.99	89709.98	227418.41	12453.54	6.9341,0.2634,1.1837,0.9763,1.759,0.0276,17.82
sec_contact_sym_mig_size	Round_3_Replicate_20	-87502.91	175019.82	309060.99	22006.05	29.5298,1.205,0.699,0.3673,0.6513,0.1843,29.3552
sec_contact_sym_mig_size	Round_3_Replicate_21	-56300.65	112615.3	142709.58	4796.32	29.4814,1.0032,2.2501,3.4385,0.3783,0.021,29.2574
sec_contact_sym_mig_size	Round_3_Replicate_22	-57176.87	114367.74	283777.45	6465.82	27.6183,1.6503,5.2756,0.857,1.2001,0.0518,25.7898
sec_contact_sym_mig_size	Round_3_Replicate_23	-77519.46	155052.92	280191.92	8508.32	16.2679,1.7401,3.2476,0.6145,0.4716,0.22,5.3028
sec_contact_sym_mig_size	Round_3_Replicate_24	-70748.06	141510.12	233817.22	6841.0	28.9265,2.0538,2.737,0.9946,0.2913,0.0395,28.2555
sec_contact_sym_mig_size	Round_3_Replicate_25	-52893.34	105800.68	888597.82	8889.89	23.9379,0.2113,1.8959,1.2765,1.9887,0.0205,10.0452
sec_contact_sym_mig_size	Round_3_Replicate_26	-47892.08	95798.16	121752.47	27815.28	22.0395,0.1857,0.555,0.3795,1.9689,0.0249,9.6771
sec_contact_sym_mig_size	Round_3_Replicate_27	-49039.12	98092.24	135806.89	13143.79	29.5298,0.8266,1.6065,0.5451,1.063,0.225,29.3552
sec_contact_sym_mig_size	Round_3_Replicate_28	-80338.7	160691.4	23412269.56	4512.6	28.6403,1.7933,3.4129,2.7624,2.4563,0.2901,27.4475
sec_contact_sym_mig_size	Round_3_Replicate_29	-67929.95	135873.9	173677.04	17167.55	28.9265,1.0036,0.5015,1.2107,1.3668,0.1934,12.1814
sec_contact_sym_mig_size	Round_3_Replicate_30	-137743.86	275501.72	419971.5	7096.87	29.5298,0.3107,0.784,3.0756,0.2175,0.2519,29.3552
sec_contact_sym_mig_size	Round_4_Replicate_1	-56148.79	112311.58	165606.64	7024.9	7.3051,0.2065,3.7602,0.7774,0.641,0.1139,22.3796
sec_contact_sym_mig_size	Round_4_Replicate_2	-53170.97	106355.94	152851.22	7178.56	11.4369,0.1838,3.2311,0.9289,0.567,0.1661,11.2549
sec_contact_sym_mig_size	Round_4_Replicate_3	-42698.17	85410.34	144882.84	6619.38	7.6018,0.1653,2.489,1.5869,0.7558,0.1127,27.3122
sec_contact_sym_mig_size	Round_4_Replicate_4	-45813.44	91640.88	253531.73	6182.12	23.6833,0.1686,2.5045,1.9498,0.8929,0.0719,15.2984
sec_contact_sym_mig_size	Round_4_Replicate_5	-42929.17	85872.34	142217.17	5323.25	11.8036,0.5048,3.0664,2.0033,0.5929,0.1883,26.0651
sec_contact_sym_mig_size	Round_4_Replicate_6	-45391.22	90796.44	259829.02	7342.3	8.9626,0.5022,2.0471,1.6416,1.0944,0.1815,18.501
sec_contact_sym_mig_size	Round_4_Replicate_7	-43890.02	87794.04	217530.29	9642.81	29.3895,0.1743,1.6808,1.1375,1.3662,0.0867,17.0198
sec_contact_sym_mig_size	Round_4_Replicate_8	-53329.84	106673.68	152602.74	6885.04	27.0608,0.1577,3.1038,0.9927,0.4857,0.108,17.7206
sec_contact_sym_mig_size	Round_4_Replicate_9	-44828.93	89671.86	140774.21	6952.81	11.7652,0.2075,2.1128,1.759,0.7184,0.2268,15.0647
sec_contact_sym_mig_size	Round_4_Replicate_10	-42748.74	85511.48	128717.05	6432.83	24.365,0.2555,2.741,1.4885,0.6705,0.0794,29.1451
sec_contact_sym_mig_size	Round_4_Replicate_11	-43335.65	86685.3	127089.95	7761.23	15.3656,0.4696,2.4405,1.1305,0.7928,0.0732,20.4981
sec_contact_sym_mig_size	Round_4_Replicate_12	-43165.76	86345.52	180974.17	6640.93	18.2796,0.3194,2.5135,1.59,0.8667,0.0828,22.1164
