Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1f, nu2f, T)
schange	Round_1_Replicate_1	-1955496.55	3911003.1	50935190.6	174931.33	0.6525,3.624,0.3848,0.5405,1.5497
schange	Round_1_Replicate_2	-2967684.56	5935379.12	620849118.98	96268.57	2.7853,0.2631,2.2516,0.5577,2.1192
schange	Round_1_Replicate_3	-4655925.23	9311860.46	48629020956.74	48196.64	0.412,4.7121,1.1555,5.8302,6.0475
schange	Round_1_Replicate_4	-413504.84	827019.68	951023.22	194157.95	1.981,0.1763,1.1956,0.6012,0.1442
schange	Round_1_Replicate_5	-4111218.07	8222446.14	10472430509.1	108365.89	0.1518,0.1337,1.3183,4.3544,2.0099
schange	Round_1_Replicate_6	-425768.53	851547.06	972947.95	221451.62	0.2184,4.4698,0.5007,0.3986,0.2495
schange	Round_1_Replicate_7	-2169462.0	4338934.0	66107762.46	307191.14	0.5179,2.7773,0.184,0.1529,0.9462
schange	Round_1_Replicate_8	-2647635.73	5295281.46	196527303.98	71868.33	2.5438,1.9974,0.6204,3.958,4.0658
schange	Round_1_Replicate_9	-2227105.59	4454221.18	120016524.3	80946.12	6.4806,0.2105,1.4769,3.3587,2.3222
schange	Round_1_Replicate_10	-3737972.5	7475955.0	2592738366.78	77509.7	1.1602,5.0684,3.4826,0.197,3.846
schange	Round_1_Replicate_11	-4209966.78	8419943.56	22400047559.29	55879.05	2.4101,0.3923,2.4092,2.3104,6.0252
schange	Round_1_Replicate_12	-2062746.14	4125502.28	74996464.84	171475.45	0.8506,0.4771,0.9315,0.3366,1.3143
schange	Round_1_Replicate_13	-1156289.92	2312589.84	6900789.83	118210.78	0.2159,0.7836,1.8103,5.177,0.8106
schange	Round_1_Replicate_14	-2485565.46	4971140.92	116466694.27	61417.41	4.1192,7.5898,7.2046,0.1698,2.4522
schange	Round_1_Replicate_15	-553421.32	1106852.64	1403064.57	136106.78	1.046,0.6929,2.5009,1.1214,0.4767
schange	Round_2_Replicate_1	-540311.04	1080632.08	4216758.14	193342.22	4.0762,0.4683,0.7259,0.7382,0.1247
schange	Round_2_Replicate_2	-1254104.84	2508219.68	9933649.91	154958.75	1.9694,0.0851,2.0261,0.5049,0.4362
schange	Round_2_Replicate_3	-444279.6	888569.2	1491303.01	221111.45	1.4453,0.0842,1.2173,0.3159,0.0572
schange	Round_2_Replicate_4	-363897.75	727805.5	716261.98	194375.02	0.5149,0.6172,0.8654,1.2128,0.2179
schange	Round_2_Replicate_5	-374932.9	749875.8	1694058.85	230559.63	1.1936,0.233,0.5062,0.3546,0.0735
schange	Round_2_Replicate_6	-197700.99	395411.98	402323.53	257238.41	0.9977,0.3243,0.2968,0.2065,0.1187
schange	Round_2_Replicate_7	-427983.81	855977.62	1073138.46	181057.26	6.1108,0.2736,0.7424,0.9887,0.1883
schange	Round_2_Replicate_8	-388625.32	777260.64	852169.15	172656.42	3.8657,0.648,0.9117,0.5559,0.2681
schange	Round_2_Replicate_9	-860526.18	1721062.36	2912157.18	153709.98	6.4646,0.0703,3.2322,0.5862,0.2165
schange	Round_2_Replicate_10	-252125.79	504261.58	544377.97	243566.21	1.5751,0.229,0.3837,0.1834,0.1101
schange	Round_2_Replicate_11	-448954.75	897919.5	1035588.72	184628.73	1.0413,0.1749,2.0514,1.0183,0.1597
schange	Round_2_Replicate_12	-596723.49	1193456.98	1473635.47	168779.65	0.8167,0.0797,4.0993,1.9238,0.2004
schange	Round_2_Replicate_13	-1065777.31	2131564.62	5955615.09	151258.97	1.8585,0.2166,2.7058,0.2352,0.4271
schange	Round_2_Replicate_14	-569881.61	1139773.22	2091791.82	212658.82	0.5972,0.3752,0.8002,0.3868,0.3909
schange	Round_2_Replicate_15	-425161.74	850333.48	995367.14	199685.04	3.9216,0.0924,0.7682,0.8666,0.1343
schange	Round_2_Replicate_16	-432342.14	864694.28	1421264.94	224250.08	2.9741,0.0488,0.5943,0.8363,0.0566
schange	Round_2_Replicate_17	-281166.33	562342.66	570531.73	219997.77	1.4013,0.224,0.4598,0.7789,0.1589
schange	Round_2_Replicate_18	-454092.89	908195.78	1003970.46	172558.73	3.0684,0.4076,1.5551,0.3971,0.2128
schange	Round_2_Replicate_19	-941039.65	1882089.3	110077678.91	189664.61	2.8696,0.3787,1.3373,1.7574,0.0886
schange	Round_2_Replicate_20	-356737.63	713485.26	1421962.62	227625.8	0.8152,0.3248,0.4611,0.7047,0.0972
